cbo,rfc,ca,npm,lcom3,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
9.0,39.0,7.0,34.0,0.794118,False,False,0.4969382286224073,False,0.4,False,0.4000000000000001,AdaBoost,AdaBoost,False,0.4000000000000002
5.0,28.0,4.0,41.0,0.94152,False,False,0.1964238967737788,False,0.1,False,0.2,AdaBoost,AdaBoost,False,0.1980412888622399
12.0,97.0,8.0,12.0,0.9176469999999999,False,True,0.8468266701217214,False,0.5,True,0.6000000000000001,RandomForest,RandomForest,False,0.5002689326394453
6.0,52.0,5.0,1.0,0.7902100000000001,False,False,0.09691418716578674,False,0.3,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,0.0034842835741981924
1.0,4.0,1.0,1.0,1.0,False,False,0.029936598133802683,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.1964961251323852e-16
3.0,19.0,2.0,9.0,0.925,False,False,0.0550420439386566,False,0.0,False,4.967053706610929e-09,AdaBoost,AdaBoost,False,4.928186242210991e-09
9.0,45.0,6.0,8.0,0.5625,True,False,0.4559011798388665,False,0.5,False,0.5,AdaBoost,AdaBoost,False,0.5
9.0,24.0,8.0,3.0,0.851852,False,False,0.1828299021842792,False,0.1,False,0.14285714285714285,AdaBoost,AdaBoost,False,0.14260499227838228
12.0,13.0,12.0,24.0,0.8787879999999999,False,True,0.9187869542125404,True,0.6,False,0.29999999999999993,AdaBoost,AdaBoost,False,0.3015709051297729
4.0,45.0,3.0,4.0,0.875,False,False,0.06784225739542564,False,0.2,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10047253259795594
4.0,40.0,4.0,3.0,0.767857,False,False,0.07663330311657925,False,0.1,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
11.0,124.0,8.0,4.0,0.9120879999999999,False,True,0.9098736131544892,True,0.6,True,0.6202041028867288,AdaBoost,AdaBoost,True,0.6201246175148001
1.0,10.0,1.0,5.0,1.0,False,False,0.033781844926977764,False,0.0,False,2.2204460492503185e-16,AdaBoost,AdaBoost,False,2.2123789232949652e-16
9.0,4.0,9.0,2.0,1.0,False,False,0.1589725091711506,False,0.2,False,0.4000000000000001,AdaBoost,AdaBoost,False,0.3993232116116237
14.0,42.0,11.0,52.0,0.907407,True,True,0.9110834050477981,True,0.6,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8990546816982551
2.0,16.0,2.0,10.0,0.740741,False,False,0.06333496428420267,False,0.1,False,0.10000000000000002,AdaBoost,AdaBoost,False,0.10000000000000002
12.294336,42.867781,6.79789,48.08182100000001,0.7305,True,True,0.8815287150438539,True,0.8,True,0.7101020514433645,AdaBoost,AdaBoost,True,0.7103522922736861
13.24744,49.818737,8.307069,8.0,0.618124,True,True,0.8102624950735939,True,1.0,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.9002634806973099
9.041601,99.122132,7.6054520000000005,5.64922,0.612267,True,True,0.7829620662149906,True,0.6,False,0.5,AdaBoost,AdaBoost,False,0.5002495046987442
10.910421000000001,113.745332,14.836417,5.472892,0.956045,True,False,0.01719620416559773,False,0.1,False,0.4000000000000001,AdaBoost,AdaBoost,False,0.39928987296124985
9.398594000000001,44.171254,9.788619,32.429064000000004,0.6212409999999999,True,True,0.8599008983971226,True,0.7,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.8995489251297741
14.416175,48.561365,10.009253999999999,45.243887,0.778066,True,True,0.9194846948469259,True,1.0,True,0.8999999999999999,AdaBoost,AdaBoost,True,0.9002153245209386
12.151238000000001,44.837976,9.877131,20.865004000000006,0.8971299999999999,True,True,0.7513809975986673,True,0.7,False,0.5,AdaBoost,AdaBoost,False,0.5004119979099008
