dit,ca,ce,lcom3,loc,moa,ic,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
6.0,2.0,10.0,0.833333,557.0,6.0,2.0,False,False,0.008974487511985773,False,0.1,False,0.37979073576859934,RandomForest,RandomForest,False,0.10236270988339397
6.0,4.0,3.0,0.0,162.0,1.0,3.0,False,False,7.863445296503865e-05,False,0.0,False,0.0038496582464882406,RandomForest,RandomForest,False,3.811759799526699e-05
1.0,1.0,0.0,2.0,179.0,0.0,0.0,False,False,0.09727307910252138,False,0.0,False,0.063948668561512,RandomForest,RandomForest,False,0.0009275486916783763
1.0,28.0,0.0,2.0,3.0,0.0,0.0,False,False,0.3191427747975511,False,0.0,False,0.002867348792224317,RandomForest,RandomForest,False,0.0014365350780020983
3.0,1.0,11.0,0.8,195.0,2.0,3.0,False,False,0.005294260183840897,False,0.0,False,0.2947449678944057,RandomForest,RandomForest,False,0.0029322007382712578
5.092564,0.920374,5.814378,1.5865639999999999,320.20238,3.051786,0.40079899999999996,True,True,0.6729359436923743,True,0.7,True,0.7159197845363171,RandomForest,RandomForest,True,0.7000372800543091
2.0,1.0,11.0,1.125,136.0,4.0,1.0,False,False,0.2356065599984778,False,0.0,False,0.4964018087367714,RandomForest,RandomForest,False,0.005874984640003337
3.868466,2.326803,8.683463,1.392675,230.16678599999997,2.62107,0.079552,True,True,0.7744053114299612,False,0.4,True,0.7984628782587976,RandomForest,RandomForest,False,0.4055361325626513
2.0,10.0,9.0,0.805556,193.0,1.0,1.0,False,False,0.04706206055902984,False,0.1,False,0.2648036704382687,RandomForest,RandomForest,False,0.10138281969772983
1.0,1.0,11.0,2.0,119.0,0.0,0.0,False,False,0.4973231281798762,False,0.0,False,0.05337257926526561,RandomForest,RandomForest,False,0.0025454204111191618
2.0,0.0,29.0,2.0,441.0,0.0,0.0,False,True,0.6666393849710386,False,0.2,False,0.4144417988331383,RandomForest,RandomForest,False,0.20417774103629677
1.0,15.0,18.0,0.5,411.0,1.0,0.0,False,True,0.6135449720783192,False,0.0,False,0.3106898907964199,RandomForest,RandomForest,False,0.005776344806675127
3.779833,2.422761,7.162635000000001,1.0158639999999999,342.451135,1.2134690000000001,0.266417,True,True,0.6182709322996397,True,0.6,True,0.6828745972477671,RandomForest,RandomForest,True,0.6008902334635898
1.0,1.0,11.0,0.0,204.0,1.0,0.0,False,False,0.2741220397101862,False,0.0,False,0.02724038502392592,RandomForest,RandomForest,False,0.0014217436776017259
5.0,1.0,4.0,0.0,47.0,1.0,2.0,False,False,0.0008962391828266306,False,0.0,False,0.00848470076053162,RandomForest,RandomForest,False,8.396730199588158e-05
6.0,0.0,2.0,0.571429,264.0,0.0,2.0,False,False,0.0010233580657053767,False,0.0,False,0.038498805697703024,RandomForest,RandomForest,False,0.00038486780303027606
7.0,3.0,8.0,0.777778,780.0,1.0,2.0,False,False,0.007389988764185489,False,0.2,False,0.048117822219105336,RandomForest,RandomForest,False,0.19764950021630556
1.0,1.0,2.0,0.795238,923.0,4.0,0.0,False,False,0.3528336332206545,False,0.0,False,0.0471213060821734,RandomForest,RandomForest,False,0.002022429498249462
1.0,26.0,2.0,2.0,218.0,0.0,0.0,False,False,0.3160777792701995,False,0.0,False,0.2013950788133414,RandomForest,RandomForest,False,0.003384490429271806
5.0,17.0,25.0,0.907143,564.0,4.0,0.0,False,True,0.6595585504512533,True,0.6,True,0.5803306580872013,RandomForest,RandomForest,True,0.6000684663596377
1.0,2.0,11.0,0.5,228.0,0.0,0.0,False,False,0.36375122760835055,False,0.0,False,0.042847421928080484,RandomForest,RandomForest,False,0.0020277937681391165
6.0,1.0,9.0,0.480519,748.0,3.0,2.0,False,False,0.007613776108349825,False,0.1,False,0.12939692093649086,RandomForest,RandomForest,False,0.0998827946789191
4.0,24.0,0.0,2.0,5.0,0.0,0.0,False,False,0.30081516062935804,False,0.0,False,0.003661636262506674,RandomForest,RandomForest,False,0.00136350693961884
1.0,4.0,1.0,2.0,17.0,0.0,0.0,False,False,0.09003748230438029,False,0.0,False,0.023004610086345,RandomForest,RandomForest,False,0.000601096277709805
1.0,2.0,17.0,0.977778,401.0,2.0,0.0,False,True,0.9839182983709897,False,0.3,False,0.4278419175846762,RandomForest,RandomForest,False,0.3042808232951251
3.1160360000000003,18.412051,10.308667,0.687067,747.692461,0.576779,0.560159,True,True,0.6932382479330682,True,0.8,True,0.6393599855505037,RandomForest,RandomForest,True,0.7979417738269988
2.0,1.0,7.0,0.8,541.0,4.0,1.0,False,False,0.1648557328201195,False,0.1,False,0.2556105800282681,RandomForest,RandomForest,False,0.10182362585624967
4.6461760000000005,1.486126,14.749885,1.9522099999999998,234.75184500000003,1.968403,0.008205,True,True,0.980333884396106,True,0.8,True,0.6753868576759361,RandomForest,RandomForest,True,0.7996444831901581
5.0,17.0,25.0,0.9097219999999999,590.0,3.0,0.0,False,True,0.6606866304895584,True,0.6,True,0.5145108173120768,RandomForest,RandomForest,True,0.5994231333098385
1.445741,2.402863,17.922338,1.204887,209.289276,0.20883600000000002,0.093365,True,True,0.9863881537370596,True,0.9,True,0.8520168537391659,RandomForest,RandomForest,True,0.8999070968450099
2.0,1.0,15.0,1.0,179.0,0.0,1.0,False,False,0.3753976630400768,False,0.0,False,0.15767571187990126,RandomForest,RandomForest,False,0.0032119729599059035
2.0,1.0,9.0,0.0,172.0,1.0,1.0,False,False,0.03764625912176847,False,0.0,False,0.038770384331144665,RandomForest,RandomForest,False,0.0005445789123546974
2.0,2.0,10.0,0.666667,94.0,4.0,1.0,False,False,0.11701933284333853,False,0.0,False,0.2004520909442035,RandomForest,RandomForest,False,0.0024945461368270482
1.7626990000000002,4.182793,16.984619,1.431624,209.285172,0.330617,0.19658299999999998,True,True,0.9788162489549816,True,0.9,True,0.9067532453821914,RandomForest,RandomForest,True,0.9004145205861223
6.0,1.0,3.0,0.818182,269.0,0.0,2.0,False,False,0.0017011998936796767,False,0.0,False,0.02077617806924501,RandomForest,RandomForest,False,0.00021277773180288713
1.0,0.0,6.0,2.0,325.0,0.0,0.0,False,False,0.3445075471929637,False,0.1,False,0.27559444802953986,RandomForest,RandomForest,False,0.10280292223474283
2.0,1.0,21.0,0.8,455.0,0.0,1.0,False,True,0.9822169920433405,False,0.2,False,0.42016333924131904,RandomForest,RandomForest,False,0.2056267447257649
8.0,2.0,2.0,2.0,13.0,0.0,0.0,False,False,0.2434135456062707,False,0.0,False,0.12060773203875515,RandomForest,RandomForest,False,0.0021915554802319336
2.0,1.0,2.0,2.0,74.0,0.0,0.0,False,False,0.14255130298540267,False,0.0,False,0.05830640715257615,RandomForest,RandomForest,False,0.0011447598881065453
3.0,1.0,9.0,2.0,113.0,0.0,0.0,False,False,0.44426506116423664,False,0.0,False,0.16927555986295978,RandomForest,RandomForest,False,0.003348908660729698
5.0050930000000005,0.613468,9.036982,1.475966,310.40266,3.2715259999999997,0.36597199999999996,True,True,0.7991468071799893,True,0.9,True,0.8782334341477434,RandomForest,RandomForest,True,0.8993646084278997
2.0,1.0,6.0,0.5,155.0,0.0,0.0,False,False,0.13351120247688875,False,0.0,False,0.10018764748405842,RandomForest,RandomForest,False,0.0015338089344598058
1.0,10.0,11.0,0.712121,533.0,3.0,0.0,False,False,0.4512690275279148,False,0.2,False,0.30956285091757835,RandomForest,RandomForest,False,0.20219120857022937
1.0,5.0,5.0,0.7,551.0,0.0,0.0,False,False,0.200417519644191,False,0.1,False,0.262118898215319,RandomForest,RandomForest,False,0.10193624741057755
2.0,4.0,23.0,0.75,519.0,4.0,0.0,False,True,0.9969733816189744,False,0.5,True,0.5099079277374728,RandomForest,RandomForest,False,0.5022907672885137
1.0,0.0,1.0,0.357143,473.0,0.0,0.0,False,False,0.06787162514791734,False,0.0,False,0.0748353406466227,RandomForest,RandomForest,False,0.0010388637516657705
2.237951,4.462796,11.937363000000001,1.8447639999999998,174.431616,0.525688,0.27924499999999997,True,True,0.7758088183024218,True,0.7,True,0.8852131592166771,RandomForest,RandomForest,True,0.7001615043575479
1.0,14.0,5.0,0.845865,603.0,5.0,0.0,False,False,0.2905836944496851,False,0.1,False,0.12640353971840984,RandomForest,RandomForest,False,0.10040317096425322
1.0,1.0,0.0,0.516667,258.0,0.0,0.0,False,False,0.06540357178725069,False,0.0,False,0.058101646247011925,RandomForest,RandomForest,False,0.00013858182803553175
6.0,1.0,11.0,0.7843140000000001,522.0,2.0,2.0,False,False,0.0672086474449684,False,0.2,False,0.1567049839719949,RandomForest,RandomForest,False,0.1997170852109932
7.0,2.0,12.0,0.782051,799.0,0.0,0.0,False,True,0.6424698337636402,False,0.3,False,0.33366807966284906,RandomForest,RandomForest,False,0.300737629340864
4.355171,4.190224,10.814675,0.762885,367.894093,0.39611999999999997,0.0,True,True,0.8024301598317076,True,0.8,True,0.6084403811798978,RandomForest,RandomForest,True,0.8000024447136947
2.0,3.0,8.0,1.0,61.0,0.0,1.0,False,False,0.04661551350228524,False,0.0,False,0.09668311589482237,RandomForest,RandomForest,False,9.902725930232276e-05
2.163952,2.7207209999999997,17.376982,1.759793,159.764487,0.633798,0.398097,True,True,0.9030109787849008,True,0.8,True,0.7651519465739292,RandomForest,RandomForest,True,0.8002172618449259
2.0,11.0,11.0,0.0,170.0,0.0,1.0,False,False,0.01617376357445456,False,0.0,False,0.11344149149719578,RandomForest,RandomForest,False,3.6041284863389885e-05
4.618138,3.493065,16.737326,1.304291,530.363024,3.102316,0.857461,True,True,0.891284519153898,True,0.9,True,0.7935240817859085,RandomForest,RandomForest,True,0.8999796312202452
2.0,1.0,4.0,2.0,86.0,0.0,1.0,False,False,0.06894679090303325,False,0.0,False,0.09560746446802844,RandomForest,RandomForest,False,0.00014807334181321446
1.0,21.0,0.0,0.666667,28.0,0.0,0.0,False,False,0.02763182669282992,False,0.0,False,0.05398669915533188,RandomForest,RandomForest,False,6.0194219790524946e-05
3.3643739999999998,2.948555,9.73594,0.8875770000000001,323.978408,0.620444,0.026981,True,True,0.7416461876946173,True,0.6,True,0.6398524773562067,RandomForest,RandomForest,True,0.600297244874357
2.0,4.0,2.0,2.0,140.0,0.0,0.0,False,False,0.18100307396247484,False,0.0,False,0.12213967881146402,RandomForest,RandomForest,False,0.0003852047089820991
1.0,3.0,0.0,0.1,514.0,0.0,0.0,False,False,0.08399321851488023,False,0.0,False,0.023925309533505783,RandomForest,RandomForest,False,0.00017942785053640182
2.0,4.0,14.0,0.48214300000000004,252.0,4.0,1.0,False,False,0.07999619437383544,False,0.3,False,0.2505961680729555,RandomForest,RandomForest,False,0.29953212962288117
2.0,2.0,6.0,0.766234,378.0,2.0,1.0,False,False,0.04577539551869623,False,0.0,False,0.0753648634847026,RandomForest,RandomForest,False,9.854532344208445e-05
4.0,1.0,2.0,0.794872,427.0,0.0,1.0,False,False,0.050215725177204185,False,0.0,False,0.12273121005825635,RandomForest,RandomForest,False,0.00010958392663622211
1.0,1.0,12.0,0.5194810000000001,675.0,3.0,0.0,False,True,0.5307716158789327,False,0.2,False,0.25638061377425114,RandomForest,RandomForest,False,0.2007010408750528
2.0,1.0,4.0,0.728395,278.0,1.0,1.0,False,False,0.029504613102325605,False,0.0,False,0.06863869735714401,RandomForest,RandomForest,False,6.481678587689183e-05
7.0,2.0,12.0,0.740741,814.0,3.0,1.0,False,True,0.5410414976123251,False,0.1,False,0.26494072936089397,RandomForest,RandomForest,False,0.10094980296031238
5.0,2.0,2.0,0.333333,148.0,1.0,0.0,False,False,0.12253855644321225,False,0.0,False,0.038666367897888035,RandomForest,RandomForest,False,0.00026466227891014236
4.5057,1.096638,11.458574,1.075323,314.59525099999996,1.151194,0.435658,True,True,0.8056475331537172,True,0.9,True,0.7873941812129075,RandomForest,RandomForest,True,0.8998001033225045
3.205609,0.9718389999999999,12.128419000000001,1.467327,235.33043999999998,0.982612,0.608845,True,True,0.7307181177102082,True,0.8,True,0.9011684130151366,RandomForest,RandomForest,True,0.7998539984003535
1.6145129999999999,0.5220130000000001,11.968757,1.2338770000000001,273.680724,0.691841,0.5128739999999999,True,True,0.7048273698105332,True,0.8,True,0.9148746210792345,RandomForest,RandomForest,True,0.7997962430542517
1.0,1.0,7.0,1.0,318.0,0.0,0.0,False,False,0.2793630788629988,False,0.1,False,0.2290895488372577,RandomForest,RandomForest,False,0.10038475980673306
2.454225,0.370937,13.283941,1.180243,246.17230299999997,0.39848,0.48310299999999995,True,True,0.7689021407503214,True,1.0,True,0.9364644737852528,RandomForest,RandomForest,True,0.9995100425899895
5.354822,1.215487,9.033372,0.9857739999999999,350.778477,1.396585,0.6958409999999999,True,True,0.669486374906136,False,0.5,True,0.5940572690674569,RandomForest,RandomForest,False,0.5003655665304646
1.0,4.0,6.0,0.269231,721.0,1.0,0.0,False,False,0.36905012902239503,False,0.2,False,0.12766738699507332,RandomForest,RandomForest,False,0.20036120571158486
1.0,0.0,0.0,2.0,333.0,0.0,0.0,False,False,0.22026642953552147,False,0.1,False,0.19626253031582053,RandomForest,RandomForest,False,0.10025561445143727
8.0,1.0,9.0,0.8,177.0,1.0,1.0,False,False,0.20581822551522908,False,0.0,False,0.08795774504070586,RandomForest,RandomForest,False,0.00043590262938881483
2.0,2.0,18.0,1.114286,427.0,0.0,0.0,False,True,0.6236279769459353,False,0.3,False,0.2914425091640333,RandomForest,RandomForest,False,0.3006839358762201
7.0,0.0,8.0,0.5,372.0,1.0,0.0,False,False,0.4982546770456074,False,0.1,False,0.2030542190328684,RandomForest,RandomForest,False,0.10083677897109547
2.0,2.0,6.0,2.0,52.0,0.0,1.0,False,False,0.08140503102257639,False,0.0,False,0.04786074974401173,RandomForest,RandomForest,False,0.0002824269342437584
1.0,0.0,0.0,0.0,39.0,0.0,0.0,False,False,0.024077470383784702,False,0.0,False,0.03098166181200138,RandomForest,RandomForest,False,5.228684063821817e-05
7.0,4.0,6.0,0.85,156.0,3.0,0.0,False,False,0.3713935960756915,False,0.1,False,0.1477849167561955,RandomForest,RandomForest,False,0.10057894673818522
7.0,3.0,4.0,0.44444399999999995,401.0,2.0,0.0,False,False,0.3690530229140492,False,0.0,False,0.05432373651117885,RandomForest,RandomForest,False,0.0007951434028724517
4.0,11.0,6.0,0.5,135.0,0.0,1.0,False,False,0.014859600209121684,False,0.0,False,0.07734424316488034,RandomForest,RandomForest,False,3.3146982928790414e-05
5.0,6.0,11.0,0.625,610.0,1.0,0.0,False,True,0.5446969724320385,False,0.4,False,0.4777692734114241,RandomForest,RandomForest,False,0.40031354394944296
2.0,7.0,4.0,0.73,584.0,1.0,0.0,False,False,0.2967161498599232,False,0.2,False,0.2574635210253849,RandomForest,RandomForest,False,0.20020775123026377
2.0,2.0,1.0,0.44444399999999995,148.0,0.0,2.0,False,False,0.0022208182597914052,False,0.0,False,0.021724662037861688,RandomForest,RandomForest,False,4.9902880983036225e-06
2.0,16.0,2.0,2.0,5.0,0.0,0.0,False,False,0.08957868177594197,False,0.0,False,0.03144914734785769,RandomForest,RandomForest,False,0.00018928359022476066
4.729929,8.75135,13.454598999999998,0.7573270000000001,327.50414,0.596364,0.0,True,True,0.8230647032232904,True,0.9,True,0.7959669119557381,RandomForest,RandomForest,True,0.8998326748057525
