rfc,lcom,ca,npm,lcom3,dam,mfa,cbm,amc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
51,228,6,20,0.770833,0.833333,0.333333,6,15.52,True,True,0.9989932458244684,True,0.9,True,0.9306326396552256,AdaBoost,AdaBoost,True,0.9316057841000136
36,11,1,2,0.8,1.0,0.5,1,27.5,False,False,0.11965933290623908,False,0.2,False,0.3782309010709535,AdaBoost,AdaBoost,False,0.372754666938529
20,0,10,9,0.25,1.0,0.0,1,31.444444,False,False,0.3951198759134272,False,0.5,True,0.557102999435461,AdaBoost,AdaBoost,True,0.554005649793761
29,1,7,1,0.0,1.0,0.0,0,35.57142899999999,False,False,0.00966048087687878,False,0.3,False,0.3427699314890374,AdaBoost,AdaBoost,False,0.3368551765396107
46,25,8,11,0.9571430000000001,0.14285699999999998,0.655172,6,31.636364,False,True,0.6672671299787427,True,0.8,True,0.5060842165513859,AdaBoost,AdaBoost,True,0.5106133569611389
10,45,13,10,2.0,0.0,0.0,0,0.0,False,False,0.029033930118565143,False,0.2,False,0.3471444003768535,AdaBoost,AdaBoost,False,0.3408481084028661
51,0,3,26,0.731481,0.75,0.297297,6,7.3214289999999975,True,True,0.9716340247239706,False,0.4,True,0.6190387478061179,AdaBoost,AdaBoost,True,0.6236856084642008
34,41,1,12,0.711538,0.0,0.458333,5,14.785714000000002,True,True,0.9854109027155592,True,0.7166666666666667,True,0.5523196724434242,AdaBoost,AdaBoost,True,0.5609044792102985
18,0,1,4,0.22222199999999998,1.0,0.0,1,30.5,False,False,0.4937703183447162,False,0.3,False,0.42803998976972896,AdaBoost,AdaBoost,False,0.4283690395271112
52,86,4,16,0.673913,0.833333,0.0,0,17.541667,True,True,0.7900312152724309,False,0.4233333333333333,True,0.5823729849840545,AdaBoost,AdaBoost,True,0.584927268929969
12,4,0,4,0.666667,1.0,0.8888889999999999,1,9.75,False,False,0.23423112010941466,False,0.4,False,0.4558022420800208,AdaBoost,AdaBoost,False,0.45167827961640516
41,21,4,14,0.564103,0.0,0.0,0,16.142857,True,True,0.6011715213520216,True,0.5733333333333334,True,0.5699765134933454,AdaBoost,AdaBoost,True,0.5705271862720068
1,0,13,1,2.0,0.0,0.0,0,0.0,False,False,0.002767980296878218,False,0.0,False,0.1016914693766018,AdaBoost,AdaBoost,False,0.09934035198644847
