dit,cbo,lcom,ce,lcom3,loc,moa,ic,cbm,max_cc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1.0,10.0,110.0,1.0,0.877193,204.0,0.0,1.0,1.0,12.0,False,True,0.5225271784757094,False,0.2433333333333333,False,0.4567780109308206,AdaBoost,AdaBoost,False,0.45201843734009856
1.123995,14.022834,2.719335,18.624147,1.2950059999999999,297.767808,1.1524969999999999,0.272419,2.03804,5.0,True,True,0.7501600603617441,True,0.9,True,0.7396887000941892,AdaBoost,AdaBoost,True,0.7440963816590165
1.61201,12.671104,0.26603499999999997,12.516442999999999,0.273163,241.520464,1.582393,0.41744499999999995,0.623365,8.284708,True,True,0.6964399604749373,True,0.6666666666666666,False,0.4768088348656745,AdaBoost,AdaBoost,False,0.48481921038943043
2.0,5.0,1.0,4.0,2.0,76.0,0.0,2.0,2.0,5.0,False,True,0.8253507007845057,True,0.8,False,0.4657561156661921,AdaBoost,AdaBoost,False,0.4793348059271919
1.0,11.078337,104.744584,15.217128,0.8691989999999999,283.176365,1.0,0.40689699999999995,0.172513,4.438317,True,True,0.9622475706248762,True,0.9,True,0.7053008232432066,AdaBoost,AdaBoost,True,0.7140662367875265
2.0,9.508942999999999,75.087365,11.834828,2.0,100.516574,0.0,0.579681,0.35634899999999997,1.0,True,True,0.8992710166770049,True,0.875,True,0.8717819997757345,AdaBoost,AdaBoost,True,0.8722434388529431
1.0,12.331817,20.464406,3.7336940000000003,0.775492,250.1651,0.0,0.37503000000000003,0.9550930000000001,6.742610000000001,True,True,0.5508058360851237,True,0.6,True,0.5239927831933808,AdaBoost,AdaBoost,True,0.5263859608341183
1.0,11.358265,136.289567,3.0,0.8228200000000001,307.864502,1.210963,1.0,1.0,7.0,True,True,0.7374753144007323,True,0.8666666666666666,True,0.6495258349826241,AdaBoost,AdaBoost,True,0.6565291693739252
1.0,5.0,0.0,4.0,0.775,254.0,1.0,0.0,0.0,3.0,True,False,0.4334876867153855,False,0.5,True,0.5043772064711459,AdaBoost,AdaBoost,True,0.5032712781835097
1.0,5.0,0.0,4.0,0.775,254.0,1.0,0.0,0.0,3.0,False,False,0.4334876867153855,False,0.5,True,0.5043772064711459,AdaBoost,AdaBoost,True,0.5032712781835097
1.0,5.0,0.0,4.0,0.775,254.0,1.0,0.0,0.0,3.0,False,False,0.4334876867153855,False,0.5,True,0.5043772064711459,AdaBoost,AdaBoost,True,0.5032712781835097
2.0,13.0,9.0,13.0,1.0625,366.0,4.0,1.0,1.0,4.0,False,True,0.6011290851977261,False,0.4,False,0.3850116907597027,AdaBoost,AdaBoost,False,0.3884025624832376
1.0,17.0,10.0,16.0,0.730159,525.0,3.0,0.0,0.0,3.0,False,True,0.5898119702951944,True,0.7666666666666666,True,0.5243411672885986,AdaBoost,AdaBoost,True,0.531700606079246
2.0,7.0,1.0,7.0,1.0,125.0,0.0,0.0,0.0,1.0,False,False,0.07253000748285217,False,0.0,False,0.07706890453429456,AdaBoost,AdaBoost,False,0.07496895446757183
2.0,7.0,1.0,7.0,1.0,125.0,0.0,0.0,0.0,1.0,False,False,0.07253000748285217,False,0.0,False,0.07706890453429456,AdaBoost,AdaBoost,False,0.07496895446757183
2.0,2.0,11.0,1.0,0.8,105.0,4.0,1.0,1.0,3.0,False,False,0.15707800189593588,False,0.0,False,0.3839764402406726,AdaBoost,AdaBoost,False,0.37059732757981834
2.0,2.0,11.0,1.0,0.8,105.0,4.0,1.0,1.0,3.0,False,False,0.15707800189593588,False,0.0,False,0.3839764402406726,AdaBoost,AdaBoost,False,0.37059732757981834
2.0,2.0,11.0,1.0,0.8,105.0,4.0,1.0,1.0,3.0,False,False,0.15707800189593588,False,0.0,False,0.3839764402406726,AdaBoost,AdaBoost,False,0.37059732757981834
2.0,2.0,11.0,1.0,0.8,105.0,4.0,1.0,1.0,3.0,False,False,0.15707800189593588,False,0.0,False,0.3839764402406726,AdaBoost,AdaBoost,False,0.37059732757981834
2.0,2.0,11.0,1.0,0.8,105.0,4.0,1.0,1.0,3.0,False,False,0.15707800189593588,False,0.0,False,0.3839764402406726,AdaBoost,AdaBoost,False,0.37059732757981834
2.0,2.0,11.0,1.0,0.8,105.0,4.0,1.0,1.0,3.0,False,False,0.15707800189593588,False,0.0,False,0.3839764402406726,AdaBoost,AdaBoost,False,0.37059732757981834
1.868746,6.884759,64.665812,7.554500999999999,1.9613040000000002,109.404774,0.179739,0.943392,0.50594,6.287048,True,True,0.8935526924452422,True,0.6125,True,0.626007552786468,AdaBoost,AdaBoost,True,0.6293994631210161
1.0,7.7989570000000015,13.237673000000001,4.084525,0.746574,254.996454,0.8325739999999999,0.0,0.0,4.545286,True,False,0.4526515381130818,False,0.5,True,0.5198778048423621,AdaBoost,AdaBoost,True,0.518411803042575
3.0,2.0,1.0,2.0,2.0,70.0,0.0,1.0,2.0,3.0,False,False,0.4731790145835928,True,0.6,False,0.40562661237271214,AdaBoost,AdaBoost,False,0.4116547315516461
1.0,2.568942,0.33278800000000003,0.203978,0.698124,146.282609,0.45961899999999994,1.0,1.0,11.17526,True,False,0.344521846424212,False,0.4,False,0.4389822304815671,AdaBoost,AdaBoost,False,0.4366268006771942
2.0,21.122346,0.522366,10.151,0.9357629999999999,268.33504,1.0,1.0,1.9171169999999997,5.089805,True,False,0.4285586657325813,True,0.8,True,0.6023076474141865,AdaBoost,AdaBoost,True,0.6051354782431823
1.0,9.899137,9.998431,6.578380999999999,0.667018,239.353098,0.774978,0.0,0.0,3.017521,True,False,0.4448963747119012,False,0.2,False,0.4877282522452547,AdaBoost,AdaBoost,False,0.47949818543317074
2.0,5.0,1.0,4.0,2.0,81.0,0.0,1.0,2.0,2.0,False,False,0.4897137395842954,True,0.7,False,0.4808375846531012,AdaBoost,AdaBoost,False,0.4866401440389828
1.921776,15.402782,3.589086,8.157134,1.266674,280.225758,1.0,0.812469,0.072401,5.0,True,True,0.8505047164778522,True,1.0,True,0.7210533940969072,AdaBoost,AdaBoost,True,0.730279589356882
1.0,16.29938,5.13995,6.8124160000000025,0.769935,254.985779,0.052808,0.0,0.0,4.806038,True,False,0.4925189383599797,False,0.5,True,0.5665083958633739,AdaBoost,AdaBoost,True,0.5638397450292462
