dit,rfc,cam,amc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
1,66,0.416667,96.8,True,True,0.9626602526167592,True,0.7,True,0.6681917269648112,Voting,Voting,True,0.9486763295746721
1,8,1.0,0.0,False,False,0.07385565194769443,False,0.3,True,0.6533805949581333,Voting,Voting,False,0.09291431504926193
2,31,0.4,113.0,False,False,0.4082646015749594,True,0.6,True,0.5315747529147187,Voting,Voting,False,0.41651772415000915
1,42,0.3,78.57142900000002,True,True,0.8832241983697487,True,0.7,True,0.6554664611583904,Voting,Voting,True,0.8730000225061804
1,26,0.2,27.166666999999997,True,False,0.35387000979762434,False,0.4,False,0.3861071925943402,Voting,Voting,False,0.3558435328205976
1,26,0.6,56.2,False,False,0.29344306634072764,False,0.2,False,0.060406131686465935,Voting,Voting,False,0.28573173491889586
1,31,0.333333,42.75,False,False,0.3869875609926942,False,0.3,False,0.4537846160771638,Voting,Voting,False,0.3858736235138848
1,17,0.333333,13.5,False,False,0.17698361479646807,False,0.1,False,0.4377526552608049,Voting,Voting,False,0.18058722266074967
2,35,0.5,84.2,False,True,0.6597043326657475,True,0.6,True,0.6420202619351251,Voting,Voting,True,0.6575727029029389
1,23,0.4375,14.2,False,False,0.18679769955689784,False,0.1,False,0.07223718891087208,Voting,Voting,False,0.18181301188717577
1,12,0.555556,7.8333330000000005,False,False,0.09599256415377566,False,0.2,False,0.1988044300413603,Voting,Voting,False,0.10116514772432478
2,39,0.24285700000000002,19.8,True,True,0.5939666830388788,True,0.9,True,0.7023967174816508,Voting,Voting,True,0.6052539762438363
1,43,0.4,33.857143,True,True,0.8088414337921951,True,0.6,True,0.7656704866179429,Voting,Voting,True,0.8018543953754792
1,28,0.3,25.5,False,False,0.3284041331134953,False,0.3,False,0.3215232931267121,Voting,Voting,False,0.32805927677156077
1,6,1.0,7.0,True,False,0.02713417736911629,False,0.0,False,0.03475191998695766,Voting,Voting,False,0.026982191323931187
1,22,0.5,24.5,False,False,0.15781299053685824,False,0.0,False,0.0277366406288142,Voting,Voting,False,0.1547544813134153
1,45,0.3,31.8,True,True,0.9078353631811092,True,1.0,True,0.9679145835670404,Voting,Voting,True,0.9094258956507195
1,6,0.458333,0.0,False,False,0.0759277984368034,False,0.0,False,0.07389847199408972,Voting,Voting,False,0.07521121426682639
2,42,0.5,73.0,False,True,0.7078800424637918,True,0.8,False,0.4851421987799059,AdaBoost,AdaBoost,False,0.7066761261681533
2,32,0.555556,75.333333,True,False,0.21375809699077106,False,0.5,False,0.14693962819752907,Voting,Voting,False,0.21553582572334665
1,37,0.25974,24.75,True,True,0.8276340789496331,True,1.0,True,0.908221324451063,Voting,Voting,True,0.830206770136516
1,20,0.475,13.5,False,False,0.14956030285634622,False,0.0,False,0.07405388058364655,Voting,Voting,False,0.14725394250684545
1,45,0.4,37.77777800000001,True,True,0.8895042727670158,True,0.9,True,0.7295206639321296,Voting,Voting,True,0.8876052743627982
1,33,0.314815,23.1,True,False,0.40759902072040105,False,0.0,False,0.15948922673140367,Voting,Voting,False,0.4009140429954671
1,5,1.0,28.5,True,False,0.3534810903957559,True,0.6,False,0.34262145642048264,RandomForest,RandomForest,True,0.5460328937459171
1,13,0.361111,4.8333330000000005,False,False,0.1309578593092217,False,0.1,False,0.22420619569840936,Voting,Voting,False,0.13183836031596582
1,31,0.5,24.6,False,True,0.6789682043378273,False,0.4,True,0.5060701374127965,RandomForest,RandomForest,False,0.4043923782819206
1,21,0.6,37.0,False,True,0.501041081455518,False,0.2,False,0.003666889260202443,Voting,Voting,True,0.4989225512523379
1,8,0.428571,14.285714000000002,False,False,0.1028197647376316,False,0.4,False,0.21491968558376032,Voting,Voting,False,0.10405283918125516
1,4,1.0,5.3333330000000005,False,False,0.3816254619274069,False,0.2,False,0.4021031635425023,Voting,Voting,False,0.38107269199448185
2,16,0.75,24.0,True,False,0.023164688985695767,False,0.0,False,0.0034079426270225447,Voting,Voting,False,0.023043795236153606
3,8,0.555556,15.0,False,False,0.0026815040551937115,False,0.1,False,0.2617876003761058,Voting,Voting,False,0.0035896291208369407
2,4,0.75,4.0,False,False,0.010477096306733038,False,0.0,False,2.0588288562848e-05,Voting,Voting,False,0.010422379172257103
2,36,0.666667,89.25,True,False,0.198515435011844,True,0.6,False,0.308872643438143,RandomForest,RandomForest,True,0.5888946259726429
3,24,0.5,46.0,False,False,0.0079883562125752,False,0.0,False,5.506547532213416e-08,Voting,Voting,False,0.00794392893021327
1,35,0.666667,64.333333,False,False,0.4055471062811277,True,0.9,False,0.4200863792636056,Voting,Voting,False,0.4072053799894384
3,19,0.75,30.6,False,False,0.005818894801048136,False,0.0,False,0.0011074467059592127,Voting,Voting,False,0.00578906409476456
2,33,0.625,39.4,False,False,0.4384464358094272,True,0.7,True,0.5163413260233998,Voting,Voting,False,0.4394854177502823
2,31,0.555556,74.0,False,False,0.4528516854840183,False,0.5,True,0.6205488218593113,Voting,Voting,False,0.4533861841261728
1,19,0.583333,27.4,False,False,0.14702885736763552,False,0.2,False,0.03510904717218651,Voting,Voting,False,0.1471991844925164
3,4,0.75,3.5,False,False,0.003817043888033698,False,0.0,False,2.5966612246197877e-05,Voting,Voting,False,0.003778066343786305
2,14,0.75,22.0,False,False,0.3636915848237075,False,0.4,True,0.5943114162606704,Voting,Voting,False,0.3644588523936721
1,22,0.6,32.333333,False,False,0.1752202475616104,False,0.3,False,0.017835325746153964,Voting,Voting,False,0.17586108735273068
1,1,1.0,0.0,False,False,0.049147821145575615,False,0.0,False,4.181804344904327e-05,Voting,Voting,False,0.0486440088088145
2,9,0.75,9.0,False,False,0.02244396510014394,False,0.1,False,0.35300174364968445,Voting,Voting,False,0.023809508719141254
1,22,0.6,31.0,False,False,0.17410223722060988,False,0.3,False,0.018492626528926786,Voting,Voting,False,0.17471216760550465
3,29,0.666667,52.75,False,False,0.019514174898544488,False,0.0,False,9.862910358171376e-06,Voting,Voting,False,0.019314317409986452
3,28,0.555556,46.333333,False,False,0.019477738906817317,False,0.0,False,0.0008187267758344468,Voting,Voting,False,0.01928025968209775
3,29,0.666667,51.25,False,False,0.019688006015104263,False,0.0,False,9.862910358171376e-06,Voting,Voting,False,0.01948629284298032
3,27,0.555556,47.333333,False,False,0.01794161462950624,False,0.1,False,4.030473535752547e-05,Voting,Voting,False,0.018558595149173043
1,2,0.75,0.0,False,False,0.053517656031778264,False,0.0,False,0.0009666106286761252,Voting,Voting,False,0.05298198446227272
1,3,0.666667,0.0,False,False,0.05914069392264446,False,0.0,False,1.6933731231029722e-05,Voting,Voting,False,0.05853476772910338
1,22,0.5,23.333333,False,False,0.1823299939074168,False,0.1,False,5.481064799897646e-07,Voting,Voting,False,0.1818074223964161
1,2,1.0,3.0,False,False,0.060544598937894385,False,0.2,False,0.30944358947960976,Voting,Voting,False,0.061335668606817766
1,2,1.0,3.0,False,False,0.060544598937894385,False,0.2,False,0.30944358947960976,Voting,Voting,False,0.061335668606817766
1,2,1.0,3.0,False,False,0.060544598937894385,False,0.2,False,0.30944358947960976,Voting,Voting,False,0.061335668606817766
1,2,1.0,3.0,False,False,0.060544598937894385,False,0.2,False,0.30944358947960976,Voting,Voting,False,0.061335668606817766
3,9,0.666667,6.25,False,False,0.005252398429852835,False,0.0,False,9.462158739382622e-11,Voting,Voting,False,0.0052290211624924305
3,9,0.666667,6.25,False,False,0.005252398429852835,False,0.0,False,9.462158739382622e-11,Voting,Voting,False,0.0052290211624924305
3,9,0.666667,6.25,False,False,0.005252398429852835,False,0.0,False,9.462158739382622e-11,Voting,Voting,False,0.0052290211624924305
1,29,0.5,46.333333,False,False,0.2929139696739525,False,0.1,False,3.0877435627461347e-06,Voting,Voting,False,0.2918977253839507
3,9,0.666667,6.5,False,False,0.005242517176588523,False,0.0,False,4.4752711278451386e-07,Voting,Voting,False,0.005219292808369295
3,9,0.666667,6.5,False,False,0.005242517176588523,False,0.0,False,4.4752711278451386e-07,Voting,Voting,False,0.005219292808369295
3,5,0.5,6.0,False,False,0.004026086286753017,False,0.0,False,8.550025605744146e-11,Voting,Voting,False,0.004008161037588889
2,29,0.555556,37.75,False,False,0.098339161422767,False,0.0,False,0.16016373076380847,Voting,Voting,False,0.09815110871184443
1,26,0.583333,28.8,True,False,0.1871025227737019,False,0.0,False,0.2,Voting,Voting,False,0.18680090271404914
2,28,0.666667,62.75,False,False,0.42433326596494814,False,0.1,False,0.4000000000000001,Voting,Voting,False,0.4237511324711659
1,22,0.333333,29.5,False,False,0.2300630118526436,False,0.2,False,0.10000000000000002,Voting,Voting,False,0.22984637199151797
1,26,0.5,51.333333,False,False,0.24823216277376145,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.2474935654132831
2,31,0.555556,47.0,True,False,0.10171705471832228,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.10141475561718331
1,1,1.0,0.0,False,False,0.0692386490925499,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06903278933325516
1,1,1.0,0.0,False,False,0.0692386490925499,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06903278933325516
1,1,1.0,0.0,False,False,0.0692386490925499,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06903278933325516
1,1,1.0,0.0,False,False,0.0692386490925499,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06903278933325516
2,27,0.666667,40.0,False,False,0.3979445842074935,False,0.1,True,0.6000000000000001,Voting,Voting,False,0.3976959530292651
1,37,0.266667,34.5,True,True,0.8048840480331005,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.8054643000756111
2,21,0.555556,34.666667,False,False,0.04622163876968472,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.046084279600067
2,8,0.666667,5.5,False,False,0.01969605784381193,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.019696588136394466
1,25,0.333333,34.75,False,False,0.3080694301177114,False,0.2,False,0.01539257500654772,Voting,Voting,False,0.308066939224345
2,25,0.555556,51.0,False,False,0.08109447468535429,False,0.1,False,5.9663685153301025e-05,Voting,Voting,False,0.08109408148107515
1,2,0.833333,0.0,True,False,0.0367692733672562,False,0.0,False,6.016594445871744e-05,Voting,Voting,False,0.03676883332801489
1,21,0.4,31.75,False,False,0.20957532219685704,False,0.1,False,0.004789340138750943,Voting,Voting,False,0.20957337833866915
1,6,0.5,9.5,False,False,0.06425385204425457,False,0.3,False,0.3608707904755279,Voting,Voting,False,0.06425713896541052
1,16,0.333333,17.75,True,False,0.17407487640801025,False,0.2,True,0.5072820036757864,AdaBoost,AdaBoost,True,0.48875674929019075
1,1,1.0,0.0,False,False,0.03747735278005192,False,0.0,False,0.00015792814569416354,Voting,Voting,False,0.03747689246384934
1,1,1.0,0.0,False,False,0.03747735278005192,False,0.0,False,0.00015792814569416354,Voting,Voting,False,0.03747689246384934
1,1,1.0,0.0,False,False,0.03747735278005192,False,0.0,False,0.00015792814569416354,Voting,Voting,False,0.03747689246384934
1,28,0.3125,23.2,False,True,0.6848499333087302,False,0.4,False,0.20481042314779693,Voting,Voting,True,0.684845279917058
1,8,0.5,5.6666669999999995,False,False,0.0706446011674436,False,0.1,False,0.08711838341750576,Voting,Voting,False,0.07064488173496179
3,12,0.555556,10.0,False,False,0.0056482300344917365,False,0.0,False,2.379863681285716e-06,Voting,Voting,False,0.005648160545533748
1,1,1.0,0.0,False,False,0.03747735278005192,False,0.0,False,0.00015792814569416354,Voting,Voting,False,0.03747689246384934
2,22,0.666667,42.0,False,False,0.06186654350429944,False,0.0,False,6.083373515629971e-09,Voting,Voting,False,0.0618659516148698
1,18,0.5,28.0,False,False,0.16112990623138876,False,0.2,False,8.525324369291465e-09,Voting,Voting,False,0.1611293055302012
2,16,0.555556,17.666667,False,False,0.044163652056844666,True,0.7,False,0.3716802602939628,Voting,Voting,False,0.044167252854476265
2,24,0.555556,30.333333000000003,False,False,0.07859125132888756,False,0.0,False,1.28621973812008e-12,Voting,Voting,False,0.07859050078875762
2,29,0.666667,34.0,False,False,0.1015483369401149,False,0.1,False,0.17912878400870158,Voting,Voting,False,0.10154870792170775
2,27,0.555556,41.666667,False,False,0.10326974006993496,False,0.0,False,0.1347330214251542,Voting,Voting,False,0.1032694068770455
1,23,0.333333,23.25,False,False,0.27219422506788465,False,0.1,False,5.5148447685611694e-05,Voting,Voting,False,0.2721920900112868
2,15,0.555556,15.666667000000002,False,False,0.04132361213595235,True,0.6,False,0.340792552991855,Voting,Voting,False,0.0413254776087831
2,29,0.666667,51.75,False,False,0.11172499436236076,False,0.0,False,4.96705370346796e-09,Voting,Voting,False,0.11172392466534233
3,14,0.555556,14.0,False,False,0.009836539383612184,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.009836468335542952
3,14,0.555556,14.0,False,False,0.009836539383612184,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.009836468335542952
2,16,0.666667,21.5,False,False,0.03920140469629798,True,0.9,False,0.26120387425783337,Voting,Voting,False,0.03920414957958828
2,13,0.555556,12.666667,False,False,0.03627457035112094,False,0.1,False,1.0501940217891774e-12,Voting,Voting,False,0.03627469362429085
2,30,0.666667,38.0,False,False,0.11080073097138964,False,0.0,False,0.08204591520525763,Voting,Voting,False,0.1108002648172439
2,25,0.555556,45.333333,False,False,0.08736091279216755,False,0.0,False,0.07001059419306073,Voting,Voting,False,0.08736056419122548
3,15,0.555556,14.333332999999998,False,False,0.010306690572464165,False,0.1,False,0.027598732598917892,Voting,Voting,False,0.010306912662937184
3,15,0.555556,14.333332999999998,False,False,0.010306690572464165,False,0.1,False,0.027598732598917892,Voting,Voting,False,0.010306912662937184
3,15,0.555556,14.333332999999998,False,False,0.010306690572464165,False,0.1,False,0.027598732598917892,Voting,Voting,False,0.010306912662937184
1,8,0.5,15.5,True,False,0.4106291771120764,True,0.7,True,0.5285814830883344,Voting,Voting,False,0.4106305382969005
2,19,0.666667,14.75,False,False,0.04742455502268505,False,0.1,False,0.09295036063174146,Voting,Voting,False,0.04742488570531338
2,24,0.555556,37.0,False,False,0.07709333026726642,False,0.1,False,0.11607899248297494,Voting,Voting,False,0.07709353951191385
2,11,0.666667,10.75,False,False,0.026369385855840213,False,0.0,False,0.08785448482570242,Voting,Voting,False,0.026369508147168878
1,11,0.5,7.3333330000000005,False,False,0.09108148942916196,False,0.0,False,0.08066806897339837,Voting,Voting,False,0.09108115045645813
2,21,0.555556,35.666667,False,False,0.060733268822790426,False,0.2,False,0.2608401633393904,Voting,Voting,False,0.06073439624652816
2,19,0.555556,28.333333000000003,False,False,0.0513569832761626,False,0.0,False,0.1157381826590078,Voting,Voting,False,0.051357032363867745
2,29,0.666667,32.0,False,False,0.10080187054295288,False,0.2,False,0.16859642192216015,Voting,Voting,False,0.10080243060671945
1,15,0.5,15.333332999999998,True,False,0.10726347276498764,False,0.3,False,0.10000000000000002,Voting,Voting,False,0.10726394866278782
1,4,0.6875,0.0,False,False,0.05299153083762389,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.052991242258015506
1,2,0.666667,0.0,False,False,0.05049470552783816,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.050494435435569376
1,4,0.7,0.0,False,False,0.05246105748673737,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05246077178869121
1,17,0.566667,19.571429000000002,False,False,0.44397399745698135,False,0.2,False,0.2,Voting,Voting,False,0.4439726606805156
2,29,0.666667,46.25,False,False,0.0757537927634333,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.07575340144794236
2,25,0.666667,51.5,False,False,0.057625545625540085,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05762523102408289
2,27,0.666667,36.25,True,False,0.0614971158237777,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.06149677998737709
1,2,0.75,0.0,False,False,0.04724357147414137,False,0.0,False,0.2,Voting,Voting,False,0.04724385836890527
1,3,0.666667,0.0,False,False,0.05209797311649345,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.052097688696850546
1,3,0.666667,0.0,False,False,0.05209797311649345,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.052097688696850546
