wmc,loc,cam,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
3,230,0.666667,False,False,0.301682454673645,False,0.1,False,0.2,Voting,Voting,False,0.2976180122214163
2,31,0.75,False,False,0.05361370314208519,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05276728829516093
5,88,0.8,True,False,0.05987401869881991,False,0.2,False,0.29999999999999993,Voting,Voting,False,0.06261657944650996
6,225,0.416667,False,True,0.5262850700355037,True,0.9,True,0.7,Voting,Voting,True,0.5278073976401562
8,509,0.291667,True,True,0.9655920081854379,True,0.8,True,0.7,Voting,Voting,True,0.963516566170642
1,1,1.0,False,False,0.032332629369305435,False,0.0,False,2.2579801760688662e-07,Voting,Voting,False,0.03214230957911522
2,2,0.833333,False,False,0.04107435602024765,False,0.0,False,0.2,Voting,Voting,False,0.041875019838951345
5,430,0.6,True,True,0.900551749949093,False,0.5,False,0.39564392373896,Voting,Voting,True,0.898314264605703
2,81,0.75,False,False,0.07129126444316529,False,0.3,False,0.2,Voting,Voting,False,0.07179889143952828
7,217,0.333333,False,True,0.8821028998523263,True,1.0,True,0.8999999999999999,Voting,Voting,True,0.8821664881578205
4,48,0.625,False,False,0.41772070335928585,False,0.5,True,0.7,Voting,Voting,False,0.4186307788150832
2,2,0.75,False,False,0.04569849053942337,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.04556364307621092
2,16,0.666667,False,False,0.05545001466806007,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05529852603768793
4,55,0.333333,True,False,0.1101980146866567,False,0.2,False,0.0015477969463540938,Voting,Voting,False,0.1099216682717568
3,172,0.555556,True,False,0.4740205932062051,False,0.3,False,3.4421309639627984e-06,Voting,Voting,False,0.47401251983178844
4,4,0.666667,False,False,0.06402512595857925,False,0.4,False,0.2,Voting,Voting,False,0.06402715222960072
7,34,0.14285699999999998,False,True,0.7989927930756031,False,0.3,False,0.29999999999999993,Voting,Voting,True,0.7989862163476138
1,5,1.0,False,False,0.03315397339979883,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03315358329095053
4,114,0.5,True,False,0.4577303922277103,False,0.4,True,0.75,AdaBoost,AdaBoost,True,0.7347754871071915
1,1,1.0,False,False,0.03233262937540809,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.03233232123991116
2,16,0.666667,False,False,0.05545001466803697,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.055449536412741716
2,72,1.0,False,False,0.05261043811404803,False,0.1,False,0.2,Voting,Voting,False,0.05261160351331496
2,16,0.666667,False,False,0.055450014668029984,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05544961536519786
2,16,0.666667,False,False,0.055450014668029984,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.05544964808499933
7,693,0.333333,True,True,0.6556777039419984,False,0.5,False,0.5,Voting,Voting,True,0.6556767511074233
2,2,0.666667,False,False,0.051697940612718346,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.0516976491057786
3,168,0.666667,False,False,0.14693033422812052,False,0.3,False,4.967053706610929e-09,Voting,Voting,False,0.14692956233775822
4,151,0.75,False,False,0.12289264537713653,False,0.5,False,0.3112003646653101,Voting,Voting,False,0.1228935652657159
1,40,1.0,False,False,0.041294370460055616,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.041294183688889805
13,215,0.338462,True,False,0.4027706904631365,False,0.1,False,0.29999999999999993,Voting,Voting,False,0.4027702529127452
