cbo,mfa,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
8,0.0,True,True,0.8251827243680755,True,0.71,False,0.4992987341230271,RandomForest,RandomForest,True,0.7103227970280065
2,0.9215690000000001,True,True,0.9758711189494929,True,1.0,True,0.8381099049142815,RandomForest,RandomForest,True,0.9982756435870199
1,0.764706,True,True,0.7508968756507084,True,0.8586538461538462,True,0.5663754406459337,RandomForest,RandomForest,True,0.8544144841462079
10,0.0,True,True,0.9999689942750672,True,1.0,True,0.8349766507546714,RandomForest,RandomForest,True,0.9986718471415861
0,0.8,False,True,0.520983023989099,False,0.42888449071778745,True,0.5459873685589438,RandomForest,RandomForest,False,0.4314400423040619
11,0.6875,True,True,0.9999981965610302,True,1.0,True,0.8915917059168391,RandomForest,RandomForest,True,0.9991278418152524
2,0.886792,True,True,0.9742321747484786,True,1.0,True,0.8381099049142815,RandomForest,RandomForest,True,0.9982469829307269
6,0.8947370000000001,True,True,0.9996853646046082,True,0.9571428571428572,True,0.8134983282775698,RandomForest,RandomForest,True,0.9567322204843586
0,0.8947370000000001,False,True,0.5369869454936965,False,0.42888449071778745,True,0.5459873685589438,RandomForest,RandomForest,False,0.4317203270137011
0,0.0,True,False,0.07293060132927423,False,0.046455838841379486,False,0.4837086578433839,RandomForest,RandomForest,False,0.050437836467927336
0,0.0,True,False,0.07293060132927423,False,0.046455838841379486,False,0.4837086578433839,RandomForest,RandomForest,False,0.050437836467927336
1,0.555556,True,True,0.721679329276919,True,0.8586538461538462,True,0.5663754406459337,RandomForest,RandomForest,True,0.8539024210277335
4,0.0,True,True,0.6502065768433523,True,1.0,True,0.905457638880702,RandomForest,RandomForest,True,0.9931164276458206
5,0.0,True,True,0.6249393620401359,True,0.8523773448773448,True,0.511360987522159,RandomForest,RandomForest,True,0.8456515128943526
2,0.979167,True,True,0.9783753799385132,True,1.0,True,0.8381099049142815,RandomForest,RandomForest,True,0.99831943657928
2,0.979167,True,True,0.9783753799385132,True,1.0,True,0.8381099049142815,RandomForest,RandomForest,True,0.99831943657928
6,0.0,True,True,0.5791529479671695,True,0.6428571428571429,True,0.5021895835327842,RandomForest,RandomForest,True,0.6406099041767557
13,0.0,True,True,0.9999992137136916,True,1.0,True,0.8349766507546714,RandomForest,RandomForest,True,0.9986724026765541
0,0.0,False,False,0.07293060132927423,False,0.046455838841379486,False,0.4837086578433839,RandomForest,RandomForest,False,0.050437836467927336
3,0.959184,True,True,0.992300432178452,True,1.0,True,0.8434676647446953,RandomForest,RandomForest,True,0.9986062403641754
0,0.0,False,False,0.07293060132927423,False,0.046455838841379486,False,0.4837086578433839,RandomForest,RandomForest,False,0.050437836467927336
2,0.0,True,True,0.5445021123252644,True,0.9775418474510932,True,0.5224872336312983,RandomForest,RandomForest,True,0.9663075427605855
