cbo,rfc,loc,cam,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble,PredictedEnsemble,DSE_Prediction,DSE_Pred_Prob
0,27,177,1.0,False,False,0.10939636572097636,False,0.1,False,0.2,Voting,Voting,False,0.10939636572097636
14,11,72,0.533333,False,False,0.3069794117795217,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.3069794117795217
7,49,424,0.355556,True,True,0.8719854823652899,False,0.4,False,0.4000000000000001,Voting,Voting,True,0.8719854823652899
4,32,169,0.229814,True,False,0.18067965398505936,False,0.4,False,0.3797958971132713,Voting,Voting,False,0.18067965398505936
8,93,1412,0.21818200000000001,True,True,0.994009234175904,True,1.0,True,0.9999999950329462,Voting,Voting,True,0.994009234175904
5,44,276,0.5,True,False,0.1798590760074478,False,0.4,False,0.2,Voting,Voting,False,0.1798590760074478
3,12,69,0.545455,False,False,0.08255076743061128,False,0.0,False,2.2204460492503185e-16,Voting,Voting,False,0.08255076743061128
0,42,841,1.0,False,True,0.6446190631806573,True,0.8,True,0.7,Voting,Voting,True,0.6446190631806573
1,14,66,0.458333,False,False,0.09510221139867947,False,0.0,False,0.10000000000000002,Voting,Voting,False,0.09510221139867947
15,44,1760,0.315789,True,True,0.8693914851237435,True,0.9,True,0.9999999999999998,Voting,Voting,True,0.8693914851237435
8,36,375,0.461538,False,False,0.2983352234116234,True,0.9,True,0.7,Voting,Voting,False,0.2983352234116234
10,80,938,0.230769,True,True,0.9843145310870686,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9843145310870686
2,17,160,0.375,False,False,0.12143903287544199,False,0.3,False,0.2500000000000001,Voting,Voting,False,0.12143903287544199
6,14,66,0.458333,False,False,0.10403950081595784,False,0.2,False,2.2204460492503185e-16,Voting,Voting,False,0.10403950081595784
10,56,1606,0.277778,True,True,0.9614202196771284,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9614202196771284
11,63,836,0.231579,True,True,0.9641208835011515,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9641208835011515
20,67,665,0.23,True,True,0.9627476373113382,True,1.0,True,0.9999999999999998,Voting,Voting,True,0.9627476373113382
