wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
5,3,0,7,10,0,1,7,4,0.25,43,1.0,1,0.921052632,0.36,1,2,7.4,1,0.6,False,False,0.0,False,0.0,False,0.4,FMeasure,FMeasure,False,0.011997032271062864
4,1,0,3,5,4,1,2,3,0.666666667,17,1.0,1,0.0,0.5,0,0,3.0,1,0.5,False,False,0.16666666666666666,False,0.0,False,0.1,FMeasure,FMeasure,False,0.005651258988622301
20,4,0,26,95,144,2,26,13,0.842105263,433,1.0,0,0.727272727,0.197368421,4,5,20.3,3,1.0,False,False,0.5,False,0.1,False,0.0,FMeasure,FMeasure,False,0.10858650699986057
3,2,0,8,22,3,2,6,2,2.0,165,0.0,0,0.75,0.666666667,1,3,54.0,15,5.3333,True,False,0.3,True,0.7,True,0.7,FMeasure,FMeasure,True,0.6888673303113604
8,1,0,25,20,22,22,3,6,0.571428571,176,1.0,0,0.0,0.25,0,0,20.875,1,0.75,True,False,0.5,True,0.6,False,0.4,FMeasure,FMeasure,True,0.5921245072002854
3,1,0,6,3,3,5,2,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.1,False,0.0,False,0.0,FMeasure,FMeasure,False,0.002587925910721019
1,1,0,0,2,0,0,0,0,2.0,9,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,False,0.1,False,0.0,False,0.0,FMeasure,FMeasure,False,0.002365577328866207
6,1,0,9,17,15,2,7,6,2.0,46,0.0,0,0.0,0.333333333,0,0,6.666666667,4,1.3333,True,False,0.2,False,0.3,False,0.0,FMeasure,FMeasure,False,0.28987911688982315
0,1,0,0,0,0,0,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
4,1,0,7,8,6,0,7,3,2.0,22,0.0,0,0.0,0.375,0,0,4.5,1,0.75,False,False,0.1,False,0.0,False,0.0,FMeasure,FMeasure,False,0.002491692675968415
10,1,0,11,20,45,1,10,9,2.0,52,0.0,0,0.0,0.15,0,0,4.2,1,0.9,True,False,0.2,False,0.1,False,0.2,FMeasure,FMeasure,False,0.1053280792947775
10,3,0,10,33,25,3,10,7,0.222222222,165,1.0,1,0.833333333,0.3,2,3,15.4,3,0.9,False,False,0.3,False,0.3,False,0.1,FMeasure,FMeasure,False,0.2949085545714693
23,2,0,13,49,201,2,13,21,0.918181818,266,1.0,0,0.545454545,0.17676767699999998,1,1,10.13043478,1,0.8696,False,False,0.3,False,0.2,False,0.0,FMeasure,FMeasure,False,0.19769084204460216
8,4,0,18,33,22,4,18,7,0.14285714300000002,141,1.0,0,0.872340426,0.3125,0,0,16.5,1,0.75,False,False,0.4,False,0.5,False,0.3,FMeasure,FMeasure,False,0.49212513020225684
9,3,0,3,15,6,0,3,8,0.4375,82,1.0,2,0.666666667,0.4166666670000001,1,2,7.888888888999999,3,0.8889,True,False,0.0,False,0.2,False,0.0,FMeasure,FMeasure,False,0.18946970832700794
3,1,2,8,16,3,2,6,2,2.0,96,0.0,0,0.0,0.533333333,0,0,31.0,3,1.6667,False,False,0.1,False,0.3,False,0.2,FMeasure,FMeasure,False,0.29188906703598017
10,4,0,6,27,5,1,5,8,0.5277777779999999,168,1.0,2,0.75862069,0.25,2,2,15.4,3,1.1,True,False,0.0,False,0.1,False,0.3,FMeasure,FMeasure,False,0.10230914482718768
8,2,0,7,33,26,0,7,1,0.571428571,415,1.0,0,0.588235294,0.390625,1,1,50.75,8,3.625,False,False,0.1,False,0.1,False,0.5,FMeasure,FMeasure,False,0.11018465075511533
4,1,0,17,8,6,11,6,4,2.0,53,0.0,0,0.0,0.45,0,0,12.25,5,2.0,False,True,0.6,True,0.7,False,0.3,GMean,FMeasure,True,0.6870369885290851
2,1,0,3,5,1,3,2,2,2.0,17,0.0,0,0.0,0.666666667,0,0,7.5,2,1.0,False,False,0.0,False,0.1,False,0.3,FMeasure,FMeasure,False,0.10172267332897648
14,1,0,6,18,61,2,5,14,0.8307692309999999,81,1.0,5,0.0,0.297619048,0,0,4.428571429,1,0.9286,False,False,0.2,False,0.0,False,0.4,FMeasure,FMeasure,False,0.015748296726818486
16,1,0,8,36,62,2,6,11,0.72,184,1.0,3,0.0,0.229166667,0,0,10.1875,4,1.3125,False,True,0.6,False,0.1,False,0.4,FMeasure,FMeasure,False,0.1215542606220448
4,4,17,66,8,6,66,0,4,1.333333333,21,1.0,0,1.0,0.666666667,0,0,4.0,0,0.0,False,False,0.2,False,0.2,False,0.3,FMeasure,FMeasure,False,0.2025461626887788
6,1,0,4,10,1,2,2,6,0.6,50,1.0,1,0.0,0.5,0,0,7.0,2,1.1667,False,False,0.5,False,0.0,False,0.2,FMeasure,FMeasure,False,0.017632648853302433
3,1,0,3,20,3,1,2,3,2.0,127,0.0,0,0.0,0.666666667,0,0,41.33333333,13,4.6667,False,False,0.2,False,0.2,False,0.2,FMeasure,FMeasure,False,0.20000000000000004
11,2,0,11,17,25,3,11,8,0.7666666670000001,73,1.0,0,0.75,0.25,0,0,5.363636364,1,0.7273,True,False,0.2,False,0.2,False,0.2,FMeasure,FMeasure,False,0.20000000000000004
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.2,False,0.0,False,0.1,FMeasure,FMeasure,False,0.005448026700405931
3,3,0,2,4,1,1,1,3,0.5,15,1.0,0,0.818181818,0.666666667,0,0,3.666666667,1,0.6667,True,False,0.39166666666666666,False,0.4666666666666666,True,0.5333333333333333,GMean,FMeasure,False,0.4670617073845592
3,2,0,6,4,3,2,4,3,2.0,10,0.0,0,0.666666667,0.5555555560000001,0,0,2.333333333,1,0.6667,True,False,0.0,False,0.1,False,0.1,FMeasure,FMeasure,False,0.09747569707506411
5,1,0,6,15,10,3,4,4,2.0,60,0.0,0,0.0,0.45,0,0,11.0,2,1.6,False,False,0.4,False,0.3,False,0.0,FMeasure,FMeasure,False,0.29560564387980215
33,1,0,17,33,528,11,6,33,2.0,33,0.0,0,0.0,0.387205387,0,0,0.0,1,1.0,True,False,0.1,True,0.6,False,0.4,FMeasure,FMeasure,True,0.580991837511643
3,1,0,5,3,3,2,4,3,2.0,3,0.0,0,0.0,0.7777777779999999,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.1,FMeasure,FMeasure,False,0.001987028200316154
7,1,0,32,61,0,3,32,3,0.6333333329999999,204,1.0,2,0.0,0.4166666670000001,0,0,27.42857143,1,0.7143,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
8,2,0,13,33,0,1,12,3,0.464285714,294,1.0,2,0.7,0.371428571,1,1,35.25,2,0.875,True,False,0.0,False,0.2,False,0.2,FMeasure,FMeasure,False,0.1944336652561091
3,1,0,5,7,3,0,5,3,2.0,19,0.0,0,0.0,0.533333333,0,0,5.333333333,1,0.6667,False,False,0.0,False,0.0,False,0.1,FMeasure,FMeasure,False,0.0019708910952108026
11,3,0,14,63,7,1,14,5,0.35,416,1.0,1,0.7,0.25,0,0,36.63636364,11,1.8182,False,False,0.3,False,0.5,False,0.2,FMeasure,FMeasure,False,0.4867952069011344
2,4,0,5,7,1,2,3,1,2.0,24,0.0,0,0.956521739,0.666666667,1,1,11.0,1,0.5,True,False,0.0,False,0.0,False,0.1,FMeasure,FMeasure,False,0.0019150411966617914
1,1,0,9,1,0,4,5,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.3,FMeasure,FMeasure,False,0.006077282273620375
4,1,0,4,10,0,1,3,4,0.0,39,1.0,0,0.0,0.583333333,0,0,8.5,1,0.75,True,False,0.5,False,0.3,False,0.1,FMeasure,FMeasure,False,0.28208540638912466
12,3,13,22,24,30,15,8,10,0.5,114,1.0,1,0.956521739,0.226190476,1,3,8.333333332999999,2,0.8333,False,False,0.3,True,0.6,False,0.2,FMeasure,FMeasure,True,0.5814658472132185
14,3,0,21,43,59,9,13,13,0.641025641,208,1.0,1,0.936170213,0.261538462,1,3,13.64285714,3,1.1429,False,False,0.4,False,0.3,False,0.3,FMeasure,FMeasure,False,0.3027831212920063
4,4,8,13,10,0,11,2,3,0.833333333,39,1.0,1,0.894736842,0.625,0,0,8.25,1,0.5,True,False,0.3,False,0.4,False,0.3,FMeasure,FMeasure,False,0.3946304047949319
3,4,0,8,15,3,0,8,1,2.0,49,0.0,0,0.95,0.666666667,2,2,15.33333333,1,0.6667,False,False,0.1,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0025317194665138796
