wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
28.0,1.0,0.0,32.0,82.0,374.0,26.0,7.0,24.0,1.012346,926.0,0.166667,0.0,0.0,0.22633699999999998,0.0,0.0,31.642857,23.0,2.6786,True,True,0.7,True,0.7,True,0.9,FMeasure,FMeasure,True,0.7045738627973952
6.0,1.0,2.0,3.0,7.0,3.0,2.0,1.0,4.0,0.6,36.0,1.0,0.0,0.0,0.44444399999999995,0.0,0.0,4.6666669999999995,1.0,0.6667,False,False,0.1,False,0.0,False,0.1,FMeasure,FMeasure,False,0.002269110691828389
4.0,2.0,0.0,5.0,6.0,4.0,1.0,4.0,2.0,0.666667,21.0,1.0,1.0,0.5,0.5,0.0,0.0,4.0,1.0,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
4.0,1.0,0.0,9.0,4.0,6.0,9.0,0.0,4.0,2.0,4.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,1.0,1.0,False,True,0.8,True,0.9,False,0.5,GMean,FMeasure,True,0.8930345987542911
1.0,1.0,0.0,8.0,1.0,0.0,6.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
23.0,2.0,0.0,150.0,67.0,235.0,147.0,5.0,20.0,0.852273,653.0,0.75,1.0,0.28,0.280303,1.0,1.0,26.869565,9.0,1.8696,True,True,0.7,False,0.4,False,0.2,Accuracy,FMeasure,False,0.4032221525054462
5.0,1.0,0.0,8.0,26.0,0.0,1.0,7.0,4.0,0.625,127.0,1.0,2.0,0.0,0.314286,0.0,0.0,23.6,4.0,1.6,False,False,0.1,False,0.1,False,0.1,FMeasure,FMeasure,False,0.09999999999999998
25.0,4.0,0.0,18.0,73.0,200.0,1.0,0.0,18.0,0.854167,666.0,1.0,0.0,0.736264,0.38,0.0,0.0,25.32,13.0,1.92,True,True,0.7,False,0.5,False,0.1,Accuracy,FMeasure,False,0.49604961794043745
7.0,1.0,0.0,2.0,13.0,0.0,1.0,1.0,7.0,0.694444,86.0,1.0,0.0,0.0,0.571429,0.0,0.0,10.428571,1.0,0.8571,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
21.0,1.0,0.0,7.0,22.0,154.0,5.0,2.0,21.0,0.905,141.0,1.0,2.0,0.0,0.184524,0.0,0.0,5.2380949999999995,1.0,0.9524,False,False,0.1,False,0.3,False,0.3,FMeasure,FMeasure,False,0.29480265646477266
2.0,2.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,11.0,0.0,0.0,0.666667,0.666667,1.0,1.0,4.5,1.0,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
8.0,1.0,0.0,10.0,21.0,28.0,5.0,5.0,7.0,2.0,130.0,0.0,0.0,0.0,0.3125,0.0,0.0,15.25,5.0,2.625,False,False,0.1,False,0.1,False,0.2,FMeasure,FMeasure,False,0.1022865103350505
32.0,4.0,0.0,16.0,81.0,406.0,2.0,0.0,27.0,0.925558,504.0,1.0,0.0,0.683673,0.3,1.0,3.0,14.34375,1.0,0.9688,False,False,0.3,False,0.0,False,0.1,FMeasure,FMeasure,False,0.010082946701538687
13.0,1.0,2.0,4.0,44.0,70.0,2.0,2.0,9.0,0.833333,208.0,1.0,0.0,0.0,0.5625,0.0,0.0,14.846154,1.0,0.8462,False,False,0.4,False,0.1,False,0.2,FMeasure,FMeasure,False,0.11008206379842948
19.0,1.0,0.0,8.0,42.0,99.0,2.0,7.0,3.0,0.7888890000000001,329.0,1.0,1.0,0.0,0.263158,0.0,0.0,16.052632,5.0,1.5789,True,False,0.2,False,0.0,True,0.7,GMean,FMeasure,False,0.02120586332611022
2.0,1.0,0.0,6.0,21.0,1.0,3.0,3.0,1.0,2.0,144.0,0.0,0.0,0.0,0.5,0.0,0.0,71.0,10.0,5.0,False,False,0.1,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0025986717676136184
1.0,1.0,0.0,4.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
