wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
54.0,1.0,3,13.0,56.0,1411.0,4.0,9.0,54.0,0.924528,170.0,0.0,1.0,0.0,0.140432,0,0,2.12963,2.0,0.9815,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
2.0,4.0,0,4.0,17.0,0.0,1.0,3.0,2.0,0.0,220.0,1.0,1.0,0.9838709999999999,0.75,0,0,105.5,1.0,0.5,True,True,1.0,True,0.9,True,0.8,Accuracy,Accuracy,True,0.9954814260845662
1.0,4.0,0,1.0,6.0,0.0,1.0,0.0,1.0,2.0,42.0,0.0,0.0,1.0,1.0,0,0,41.0,0.0,0.0,False,False,0.29999999999999993,True,0.525,False,0.4083333333333333,Accuracy,Accuracy,False,0.30382597500545566
2.0,2.0,0,3.0,5.0,1.0,0.0,3.0,2.0,1.0,16.0,0.0,0.0,1.0,0.75,0,0,6.5,0.0,0.0,False,False,0.45,False,0.2,False,0.1,Accuracy,Accuracy,False,0.44549574423694516
1.0,4.0,0,4.0,10.0,0.0,1.0,3.0,1.0,2.0,138.0,1.0,2.0,1.0,1.0,0,0,129.0,0.0,0.0,True,True,0.8800000000000001,True,0.8,True,0.9,Accuracy,Accuracy,True,0.8797868470024526
5.0,1.0,0,10.0,31.0,0.0,3.0,7.0,5.0,0.0,232.0,1.0,0.0,0.0,0.366667,0,0,45.2,1.0,0.6,False,False,0.2,False,0.1,False,0.2,Accuracy,Accuracy,False,0.19963156123041587
7.0,2.0,0,10.0,57.0,9.0,0.0,10.0,2.0,0.848485,609.0,1.0,10.0,0.625,0.4,0,0,84.42857099999998,40.0,6.4286,True,False,0.3,False,0.5,True,0.8,GMean,GMean,True,0.7566594356984722
2.0,4.0,0,1.0,10.0,0.0,1.0,0.0,2.0,0.0,45.0,1.0,0.0,0.9838709999999999,0.75,0,0,21.0,1.0,0.5,False,False,0.25,False,0.5,False,0.0,Accuracy,Accuracy,False,0.2495558839903501
7.0,2.0,0,4.0,10.0,1.0,2.0,2.0,7.0,0.416667,98.0,0.0,1.0,0.545455,0.571429,1,2,12.714286,2.0,0.8571,False,False,0.1,False,0.1,False,0.0,Accuracy,Accuracy,False,0.09959861624962231
2.0,4.0,0,3.0,23.0,0.0,1.0,2.0,2.0,0.2,139.0,1.0,2.0,0.9838709999999999,0.75,0,0,66.0,1.0,0.5,True,True,0.6,True,0.7,True,0.9,Accuracy,Accuracy,True,0.6013004542923603
