wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
5,2,0,19,18,0,8,15,4,0.7857142859999999,84,0.0,7,0.5,0.4,0,0,14.4,3,1.2,True,True,0.7,True,0.6,True,0.7,GMean,GMean,True,0.6944281732647868
10,3,0,13,41,7,1,12,9,0.638888889,286,0.5,0,0.72,0.28571428600000004,2,6,27.2,6,1.4,True,True,0.8,True,0.9,True,1.0,GMean,GMean,True,0.9868804586135481
10,1,0,4,38,0,0,4,9,0.388888889,287,1.0,0,0.0,0.34,0,0,27.5,5,1.6,False,False,0.5,True,0.9,True,0.6,Accuracy,GMean,True,0.6129388566441685
4,4,0,3,7,6,2,2,1,2.0,26,0.0,0,0.98125,0.5,2,3,5.5,3,1.25,False,False,0.5,False,0.3,False,0.3,GMean,GMean,False,0.30831881704764513
25,2,2,20,82,160,5,18,8,0.881944444,596,0.833333333,5,0.768421053,0.197916667,2,8,22.36,3,1.08,True,True,0.8,True,1.0,True,1.0,GMean,GMean,True,0.992453258592361
5,1,3,13,6,10,10,3,0,2.0,8,0.0,0,0.0,0.6,0,0,0.6,1,0.8,False,False,0.4,False,0.0,False,0.1,GMean,GMean,False,0.1063944819122285
13,1,0,13,61,0,4,9,0,0.881944444,553,0.333333333,3,0.0,0.179487179,0,0,40.61538462,4,1.0,True,True,0.6,True,0.7,False,0.5,GMean,GMean,False,0.5149171836007708
17,2,0,6,34,34,1,6,7,0.7222222220000001,323,0.7777777779999999,1,0.444444444,0.173611111,1,2,17.47058824,3,1.0,True,False,0.3,True,1.0,True,0.7,FMeasure,GMean,True,0.7016222292042
13,1,0,8,36,58,1,7,13,0.791666667,191,1.0,2,0.0,0.201923077,0,0,13.38461538,1,0.9231,False,True,0.7,True,0.6,True,1.0,GMean,GMean,True,0.9663922620946388
8,1,0,30,8,28,28,2,8,2.0,8,0.0,0,0.0,0.3,0,0,0.0,1,1.0,False,True,0.9,True,0.6,True,0.9,GMean,GMean,True,0.8832842806545937
3,1,0,3,7,0,2,1,3,0.14285714300000002,125,0.14285714300000002,1,0.0,0.5555555560000001,0,0,38.33333333,3,1.6667,False,False,0.2,False,0.3,False,0.1,GMean,GMean,False,0.1149161679356345
8,2,0,2,19,0,1,1,8,0.428571429,65,0.0,1,0.708333333,0.3,1,4,6.875,1,0.875,False,True,0.7,True,0.6,False,0.5,GMean,GMean,False,0.5131286342706385
6,1,1,5,7,15,3,3,0,2.0,9,0.0,0,0.0,0.4166666670000001,0,0,0.5,1,0.8333,False,False,0.2,False,0.1,False,0.0,GMean,GMean,False,0.014489104385665513
7,1,2,10,8,21,7,3,0,2.0,10,0.0,0,0.0,0.4,0,0,0.428571429,1,0.8571,False,False,0.1,False,0.1,False,0.1,GMean,GMean,False,0.09999999999999999
6,2,0,10,25,0,2,10,6,0.666666667,91,0.0,3,0.5,0.333333333,0,0,13.66666667,1,0.8333,True,False,0.5,False,0.4,False,0.4,GMean,GMean,False,0.40381167109821575
6,2,0,2,17,0,0,2,6,0.1,90,1.0,1,0.5,0.583333333,1,1,13.66666667,2,1.1667,True,True,0.7,False,0.4,False,0.4,Accuracy,GMean,False,0.41154307185812683
2,1,0,7,5,0,4,5,1,0.833333333,57,0.0,3,0.0,0.75,0,0,24.5,1,0.5,True,False,0.4,False,0.5,True,0.7,GMean,GMean,True,0.6776494689203206
27,2,0,20,64,167,13,11,22,0.7615384620000001,446,1.0,0,0.333333333,0.102564103,2,6,15.33333333,12,1.5926,True,True,0.9,True,1.0,True,0.9,GMean,GMean,True,0.9055719064484757
2,4,0,2,4,1,1,1,1,2.0,13,0.0,0,0.923076923,0.666666667,1,1,5.5,2,1.0,True,False,0.2,False,0.3,False,0.0,GMean,GMean,False,0.0199503261197984
5,1,0,8,6,0,8,0,0,0.125,100,0.0,0,0.0,0.55,0,0,18.2,1,0.4,False,False,0.4,False,0.5,True,0.7,GMean,GMean,True,0.6775309786189964
13,1,0,79,22,0,79,0,10,0.125,145,0.0,0,0.0,0.294871795,1,1,10.0,6,1.2308,True,True,0.8,False,0.5,True,0.7,GMean,GMean,True,0.6926295578068683
2,1,2,7,16,0,2,5,1,0.0,66,1.0,1,0.0,0.666666667,0,0,31.5,1,0.5,False,True,0.6,True,0.6,False,0.5,GMean,GMean,False,0.5086881057807169
8,2,0,16,22,0,11,6,6,0.14285714300000002,100,1.0,1,0.6315789470000001,0.232142857,2,2,11.375,4,1.375,True,True,0.9,True,0.8,True,0.9,GMean,GMean,True,0.8944283421050955
7,3,2,4,21,13,2,2,3,0.875,185,0.75,0,0.583333333,0.3666666670000001,1,2,24.28571429,1,0.7143,True,True,0.7,True,0.8,True,0.6,GMean,GMean,True,0.616836161386595
1,4,0,36,2,0,36,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,False,False,0.4,True,0.9,True,0.6,Accuracy,GMean,True,0.6091689785008682
12,2,0,9,33,34,0,9,5,0.590909091,453,1.0,0,0.885057471,0.283333333,1,5,36.58333333,3,1.0,False,True,0.6,True,0.6,True,0.8,GMean,GMean,True,0.7813095751967774
4,1,0,16,6,6,15,3,3,1.0,15,0.0,2,0.0,0.833333333,0,0,2.25,1,0.75,False,True,0.8,True,0.7,True,0.7,GMean,GMean,True,0.7038216987997198
7,1,0,4,17,5,1,4,5,0.666666667,109,1.0,2,0.0,0.392857143,0,0,14.14285714,2,1.2857,True,True,0.7,True,0.9,True,0.6,GMean,GMean,True,0.6217753739342509
5,1,2,11,6,10,8,4,2,2.0,8,0.0,0,0.0,0.466666667,0,0,0.6,1,0.8,False,True,0.6,False,0.1,False,0.5,FMeasure,GMean,False,0.4835956767634629
20,1,3,57,36,176,52,5,19,0.894736842,193,0.5,1,0.0,0.291666667,0,0,8.55,1,0.95,True,True,0.9,True,0.9,True,1.0,GMean,GMean,True,0.990654722847705
21,2,2,10,47,108,3,8,15,0.920833333,817,0.333333333,1,0.24,0.26875,0,0,37.33333333,2,1.0,True,True,0.8,True,1.0,True,0.9,GMean,GMean,True,0.9017985357446562
5,1,5,10,6,4,9,1,5,0.5,19,1.0,0,0.0,0.8,0,0,2.6,1,0.8,True,True,0.9,True,0.7,False,0.3,GMean,GMean,False,0.3448349693340138
4,3,0,4,14,4,1,3,2,0.833333333,74,0.0,0,0.7777777779999999,0.4166666670000001,1,2,17.0,1,0.5,False,False,0.3,False,0.2,False,0.3,GMean,GMean,False,0.29478627258556267
6,3,0,4,10,15,1,3,6,2.0,31,0.0,0,0.615384615,0.666666667,1,3,4.166666667,1,0.8333,True,True,0.6,False,0.5,False,0.5,Accuracy,GMean,False,0.5037873195514865
