dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
2,0,5,9,1,1,4,1,2.0,49,0.0,0,0.909090909,0.75,1,1,23.5,1,0.5,True,False,0.4,True,0.6,True,0.6133333333333333,FMeasure,FMeasure,True,0.5971906784426056
1,0,1,3,3,1,0,3,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.13333333333333333,False,0.2428571428571429,False,0.2845238095238095,FMeasure,FMeasure,False,0.24183611213433728
2,0,5,7,1,1,4,1,2.0,17,0.0,0,0.909090909,0.75,1,2,7.5,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,10,23,253,2,8,23,2.0,23,0.0,0,0.0,0.255434783,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,3,18,26,3,0,13,0.75,134,1.0,0,0.0,0.512820513,0,0,8.923076923,1,0.8462,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,8,45,0,4,5,10,0.651515152,234,1.0,1,0.0,0.309090909,0,0,18.0,3,1.5833,True,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
1,0,23,48,274,22,1,23,0.8769841270000001,459,1.0,0,0.0,0.310344828,0,0,14.51724138,3,1.1724,False,False,0.5,False,0.0,False,0.0,FMeasure,FMeasure,False,0.006937082186181116
2,0,8,14,3,1,7,3,2.0,55,0.0,0,0.75,0.5555555560000001,0,0,17.33333333,2,1.0,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
2,0,8,17,78,0,8,13,2.0,49,0.0,0,0.5862068970000001,1.0,1,3,2.769230769,1,0.9231,False,False,0.13333333333333333,False,0.2428571428571429,False,0.2845238095238095,FMeasure,FMeasure,False,0.24183611213433728
2,0,7,6,1,6,1,2,2.0,16,0.0,0,0.923076923,1.0,0,0,7.0,1,0.5,False,False,0.0,False,0.0,False,0.0,FMeasure,FMeasure,False,0.0
