wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
20,1,0,8,65,28,6,4,16,0.706766917,465,1.0,2,0.0,0.30526315800000003,0,0,21.9,1,0.8,True,True,1.0,True,1.0,True,0.9,FMeasure,FMeasure,True,0.9932689319643606
4,2,0,2,7,4,2,0,2,0.944444444,78,0.166666667,6,0.846153846,0.444444444,1,1,17.0,1,0.5,False,False,0.3,False,0.4,False,0.2,FMeasure,FMeasure,False,0.37899642466263744
29,1,1,12,57,250,6,8,27,0.8898809520000001,417,1.0,3,0.0,0.183673469,0,0,12.96551724,6,1.2414,False,True,1.0,True,1.0,True,1.0,FMeasure,FMeasure,True,1.0
9,4,0,0,13,18,0,0,9,0.75,78,1.0,0,0.901234568,0.518518519,2,5,7.222222222,2,1.0,False,False,0.0,False,0.3,False,0.4,FMeasure,FMeasure,False,0.2969399227025683
1,1,0,3,18,0,2,2,1,2.0,82,0.0,0,0.0,1.0,0,0,81.0,0,0.0,False,True,0.6,False,0.5,False,0.3,FMeasure,FMeasure,False,0.4989043884748695
16,1,0,8,82,0,1,8,14,0.066666667,684,1.0,1,0.0,0.395833333,0,0,41.6875,3,1.6875,True,True,1.0,True,0.8,True,1.0,FMeasure,FMeasure,True,0.8039603957299609
25,1,0,10,33,170,10,0,25,0.85,603,1.0,0,0.0,0.5066666670000001,0,0,22.72,22,3.36,True,False,0.5,False,0.3,True,0.9,GMean,GMean,True,0.8019314953192805
16,1,0,5,59,0,4,3,13,0.56,410,1.0,2,0.0,0.375,0,0,24.3125,2,0.875,True,True,0.8,True,1.0,True,0.9,FMeasure,FMeasure,True,0.997746692869026
5,1,0,4,18,0,3,2,5,0.5,69,1.0,1,0.0,0.6,0,0,12.4,3,1.0,True,False,0.1,False,0.0,False,0.1,FMeasure,FMeasure,False,0.0013247632681499203
6,2,0,5,40,0,1,5,5,0.2,283,1.0,1,0.8620689659999999,0.444444444,1,1,46.0,1,0.6667,True,True,0.7,True,0.9,True,0.9,FMeasure,FMeasure,True,0.8987663356744817
6,2,0,0,31,15,0,0,3,2.0,442,0.0,0,0.583333333,0.566666667,0,0,72.66666667,11,2.5,False,True,0.6,False,0.1,True,0.9,FMeasure,FMeasure,False,0.10702844862687576
8,1,0,5,13,0,4,1,6,0.5,162,1.0,1,0.0,0.5,0,0,19.0,5,1.75,False,True,0.7,False,0.3,False,0.5,FMeasure,FMeasure,False,0.3030313318197456
59,1,0,16,92,1541,13,14,59,0.948275862,729,1.0,12,0.0,0.107344633,0,0,10.83050847,12,1.4576,True,True,0.7,True,0.9,True,0.8,FMeasure,FMeasure,True,0.8985989114106518
8,1,1,5,28,0,4,3,8,0.5,137,0.0,1,0.0,0.4166666670000001,0,0,15.875,4,1.5,False,False,0.3,True,0.6,True,0.6,Accuracy,Accuracy,False,0.3294768867417663
36,1,0,7,49,238,4,4,36,0.853571429,2509,0.125,1,0.0,0.513888889,0,0,68.47222222,38,10.4722,True,False,0.5,True,0.7,True,0.6,FMeasure,FMeasure,True,0.698789883921316
5,1,0,4,10,0,4,1,4,0.0,33,1.0,0,0.0,0.7,0,0,5.4,1,0.8,False,True,0.6,False,0.2,True,0.6,FMeasure,FMeasure,False,0.20300514482296
6,1,0,5,33,5,4,4,5,0.466666667,350,1.0,3,0.0,0.4166666670000001,0,0,56.83333333,1,0.6667,True,True,0.8,True,0.8,True,0.8,FMeasure,FMeasure,True,0.7999999999999999
8,2,0,8,53,0,1,8,5,0.428571429,456,0.0,1,0.5,0.28571428600000004,1,4,55.875,3,1.5,True,True,0.7,True,0.9,False,0.4,FMeasure,FMeasure,True,0.8976820099166397
49,1,0,9,87,650,8,3,44,0.851851852,1232,1.0,1,0.0,0.243055556,0,0,23.7755102,19,1.8776,True,True,0.9,True,1.0,True,0.7,FMeasure,FMeasure,True,0.9987461438115751
14,1,0,10,57,0,1,10,14,0.076923077,383,1.0,1,0.0,0.535714286,0,0,26.28571429,3,1.2857,True,True,0.9,True,0.7,True,1.0,FMeasure,FMeasure,True,0.7015010565849005
