wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
15.0,1.0,0.0,18.0,52.0,37.0,3.0,15.0,14.0,0.75,271.0,1.0,4.0,0.0,0.255102,0.0,0.0,16.533333,13.0,2.0667,True,True,0.8,True,0.9,True,0.7,Accuracy,Accuracy,True,0.8006150719764554
3.0,3.0,0.0,2.0,8.0,3.0,1.0,1.0,3.0,1.5,60.0,0.0,0.0,1.0,0.555556,0.0,0.0,15.0,0.0,0.0,False,False,0.2,False,0.5,False,0.5,Accuracy,Accuracy,False,0.2157330935003523
15.0,1.0,18.0,23.0,33.0,7.0,18.0,5.0,5.0,0.47618999999999995,229.0,1.0,0.0,0.0,0.380952,0.0,0.0,14.066667,4.0,2.3333,True,False,0.2,True,0.6,True,0.7,FMeasure,Accuracy,False,0.22328032517248567
2.0,3.0,0.0,6.0,5.0,1.0,2.0,4.0,2.0,2.0,14.0,0.0,0.0,0.8,0.5,0.0,0.0,6.0,1.0,0.5,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
2.0,1.0,0.0,11.0,2.0,1.0,8.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,1.0,1.0,True,False,0.1,False,0.0,False,0.0,Accuracy,Accuracy,False,0.09369333312336604
4.0,2.0,0.0,8.0,29.0,4.0,0.0,8.0,3.0,0.666667,141.0,1.0,0.0,0.6,0.666667,0.0,0.0,34.0,6.0,1.75,False,False,0.5,False,0.1,False,0.1,Accuracy,Accuracy,False,0.47890347801704486
4.0,2.0,0.0,7.0,19.0,4.0,1.0,7.0,1.0,0.666667,78.0,1.0,1.0,0.818182,0.44444399999999995,1.0,1.0,18.25,5.0,1.5,True,True,0.7,False,0.5,True,0.7,Accuracy,Accuracy,True,0.6930912670627473
51.0,1.0,0.0,4.0,71.0,1025.0,1.0,3.0,47.0,0.86,481.0,1.0,0.0,0.0,0.23666700000000002,0.0,0.0,8.274510000000001,3.0,1.2157,False,False,0.4,False,0.3,True,0.6,Accuracy,Accuracy,False,0.4016982642941534
14.0,1.0,0.0,14.0,46.0,0.0,5.0,9.0,9.0,0.730769,544.0,1.0,0.0,0.0,0.28571399999999997,0.0,0.0,37.285714,8.0,3.2857,False,True,0.9,False,0.5,True,0.7,Accuracy,Accuracy,True,0.8836596944705278
4.0,1.0,0.0,4.0,31.0,0.0,4.0,0.0,2.0,0.5,179.0,1.0,0.0,0.0,0.333333,0.0,0.0,42.75,4.0,2.0,False,False,0.3,False,0.5,False,0.4,Accuracy,Accuracy,False,0.30817015286150806
