wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
5,1,0,7,5,10,6,1,5,2.0,5,0.0,0,0.0,0.6,0,0,0.0,1,1.0,False,False,0.1,False,0.0,False,0.3,Accuracy,Accuracy,False,0.10220695823853321
6,1,0,3,14,0,0,3,6,0.2,43,0.0,0,0.0,0.5555555560000001,0,0,6.0,1,0.8333,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
43,5,0,7,86,683,2,6,1,0.906692407,1962,1.0,3,0.917485265,0.5,0,0,43.76744186,14,1.7209,True,True,0.6,True,0.8,False,0.5,Accuracy,Accuracy,True,0.6003431298111324
26,1,0,16,30,301,14,3,26,0.95,154,1.0,3,0.0,0.208791209,0,0,4.461538462,2,1.0,False,False,0.2,False,0.2,False,0.3,Accuracy,Accuracy,False,0.20038424611203481
4,1,0,8,4,6,7,1,4,2.0,4,0.0,0,0.0,0.875,0,0,0.0,1,1.0,False,False,0.1,False,0.2,False,0.3,Accuracy,Accuracy,False,0.10087485910713036
17,1,0,10,19,122,9,1,17,0.919642857,91,1.0,1,0.0,0.16993464100000005,0,0,3.941176471,2,1.0,False,False,0.1,False,0.1,False,0.2,Accuracy,Accuracy,False,0.10025728089976922
5,5,0,10,43,0,3,9,2,0.5,489,1.0,1,0.993617021,0.44,0,0,94.8,6,1.8,False,False,0.2,False,0.2,False,0.2,Accuracy,Accuracy,False,0.19999999999999998
5,1,0,1,6,6,1,0,5,0.75,24,1.0,0,0.0,0.466666667,0,0,3.4,1,0.8,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
5,1,0,1,6,6,1,0,5,0.75,24,1.0,0,0.0,0.466666667,0,0,3.4,1,0.8,False,False,0.0,False,0.0,False,0.1,Accuracy,Accuracy,False,0.00017175752467117302
8,5,0,12,39,6,5,9,3,0.782312925,844,1.0,2,0.985232068,0.3125,0,0,101.875,2,1.25,False,True,0.6,False,0.5,False,0.5,FMeasure,FMeasure,False,0.5091394695686753
5,2,0,3,9,0,2,1,5,0.75,43,1.0,1,0.636363636,0.4,0,0,7.0,1,0.8,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
4,2,0,5,7,4,5,0,2,0.8888888890000001,57,0.333333333,3,0.846153846,0.444444444,1,1,12.5,1,0.5,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
7,5,0,1,22,9,1,0,1,0.783333333,454,1.0,0,0.987315011,1.0,0,0,62.42857143,2,1.5714,False,False,0.0,False,0.0,False,0.1,Accuracy,Accuracy,False,0.00011952549662570572
