wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
14,2,0,11,52,43,0,11,12,0.955128205,467,0.166666667,1,0.5,0.276923077,2,3,31.5,12,2.2143,True,False,0.5,True,0.8,False,0.0,GMean,GMean,False,0.12494992055604728
3,3,0,7,6,3,4,4,3,2.0,16,0.0,0,0.972222222,0.533333333,1,1,4.333333333,1,0.3333,False,False,0.0,False,0.0,False,0.0,GMean,GMean,False,0.0
25,1,0,7,78,194,2,5,17,0.8787878790000001,530,0.727272727,3,0.0,0.261904762,0,0,19.76,3,1.04,False,False,0.2,False,0.4,False,0.3,GMean,GMean,False,0.3061487191903961
18,3,0,10,62,149,0,10,6,1.019607843,417,0.444444444,1,0.6,0.338235294,1,2,21.66666667,5,1.1111,False,False,0.3,False,0.5,False,0.2,GMean,GMean,False,0.24175697819668848
16,2,0,3,24,106,1,2,11,0.333333333,151,1.0,1,0.605263158,0.5,1,6,8.25,2,1.0625,False,False,0.5,False,0.3,False,0.3,GMean,GMean,False,0.31165540946925924
11,2,0,7,39,7,1,6,9,0.666666667,245,0.0,1,0.72972973,0.333333333,0,0,21.0,5,1.9091,True,True,0.6,True,0.7,False,0.3,GMean,GMean,False,0.36538881332044315
8,2,0,14,43,8,4,12,8,0.628571429,376,1.0,1,0.833333333,0.265625,1,2,45.375,5,1.875,False,False,0.5,True,0.8,False,0.5,GMean,GMean,False,0.5359292729377821
3,2,0,5,6,3,4,3,3,2.0,17,0.0,0,0.967741935,0.533333333,0,0,4.666666667,1,0.3333,False,False,0.0,False,0.0,False,0.0,GMean,GMean,False,0.0
4,1,0,4,17,0,1,3,4,0.333333333,120,0.75,1,0.0,0.583333333,0,0,28.0,4,1.5,False,False,0.1,False,0.4,False,0.1,GMean,GMean,False,0.13572246762204704
3,2,0,2,6,3,0,2,1,2.0,12,0.0,0,0.7142857140000001,0.666666667,1,2,3.0,1,0.6667,False,False,0.0,False,0.0,False,0.0,GMean,GMean,False,0.0
8,2,0,18,41,0,5,15,8,0.642857143,218,1.0,1,0.833333333,0.28125,1,1,25.75,1,0.75,True,False,0.4,True,0.8,False,0.2,GMean,GMean,False,0.283513956392598
12,1,0,21,35,66,6,15,9,2.0,337,0.0,0,0.0,0.295454545,0,0,27.08333333,7,2.0,False,False,0.1,True,0.9,False,0.0,GMean,GMean,False,0.11361552427731515
13,2,1,5,18,58,1,4,13,0.666666667,103,1.0,1,0.6333333329999999,0.461538462,0,0,6.846153846,4,1.4615,False,False,0.4,False,0.1,False,0.5,GMean,GMean,False,0.44626659868621316
6,3,0,2,19,15,2,0,4,1.12,184,0.0,0,0.8125,0.5,1,1,28.83333333,14,2.8333,False,False,0.2,False,0.2,False,0.4,GMean,GMean,False,0.36439425427494115
4,2,0,4,18,0,1,3,2,0.5555555560000001,116,0.333333333,0,0.571428571,0.45,0,0,27.25,6,2.0,True,False,0.5,True,0.6,True,0.75,FMeasure,GMean,True,0.7174995407202499
37,1,0,16,92,0,3,13,34,0.5,438,1.0,1,0.0,0.177777778,1,1,10.78378378,12,1.1351,False,True,0.9,True,0.6,True,1.0,GMean,GMean,True,0.9462665974565406
9,1,1,12,51,0,1,11,6,0.7142857140000001,316,0.571428571,1,0.0,0.377777778,0,0,33.33333333,3,1.6667,True,True,0.7,False,0.5,True,0.8,GMean,GMean,True,0.7582430218033736
1,1,0,7,1,0,7,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.1,GMean,GMean,False,0.08596714141540819
5,2,0,11,18,10,4,9,5,2.0,129,0.0,0,0.909090909,0.4,1,1,24.8,1,0.6,True,True,0.9,True,1.0,True,1.0,GMean,GMean,True,0.9951971451079975
6,2,0,11,24,15,4,9,5,2.0,207,0.0,0,0.882352941,0.333333333,2,2,33.5,2,0.8333,False,False,0.1,False,0.1,False,0.1,GMean,GMean,False,0.1
153,1,0,68,250,8092,49,61,50,0.7434210529999999,8270,0.807692308,10,0.0,0.145559211,0,0,52.88235294,12,2.6275,True,True,0.8,True,0.6,True,1.0,GMean,GMean,True,0.9404388923001655
12,1,0,3,19,42,1,2,9,0.818181818,159,0.5,0,0.0,0.361111111,0,0,11.91666667,5,1.6667,True,False,0.5,True,1.0,True,0.7,FMeasure,GMean,True,0.7242738627275633
9,4,0,5,19,8,1,4,8,0.75,263,1.0,0,0.75,0.333333333,1,2,28.0,10,2.0,False,True,0.6,True,0.6,False,0.3,GMean,GMean,False,0.35341238885344634
5,2,0,9,8,10,0,9,5,2.0,22,0.0,0,0.692307692,0.44,0,0,3.4,1,0.8,True,True,0.8,False,0.3,True,1.0,GMean,GMean,True,0.9894764537195929
4,4,6,38,7,0,37,1,4,0.666666667,35,1.0,0,0.928571429,0.666666667,0,0,7.25,1,0.25,False,False,0.2,False,0.1,False,0.4,GMean,GMean,False,0.39431744205701624
4,2,0,7,10,6,4,5,4,2.0,28,0.0,0,0.9375,0.392857143,0,0,6.0,1,0.5,True,False,0.1,True,0.6,True,0.5666666666666667,FMeasure,FMeasure,True,0.5875159261188544
89,1,0,5,123,492,1,4,10,0.80815508,13175,0.382352941,1,0.0,0.33901515200000004,0,0,146.6516854,209,13.4831,True,True,0.7,False,0.4,False,0.5,Accuracy,Accuracy,True,0.6940388173073708
5,1,0,6,9,0,2,4,4,0.25,37,1.0,1,0.0,0.433333333,0,0,6.2,1,0.8,True,False,0.5,False,0.4,False,0.4,GMean,GMean,False,0.40101457853766903
3,3,0,9,14,3,4,6,3,2.0,48,0.0,0,0.972222222,0.533333333,2,2,15.0,3,1.0,False,False,0.1,False,0.0,False,0.0,GMean,GMean,False,0.0010188216957065753
7,2,0,21,44,0,5,18,6,0.5,427,1.0,1,0.857142857,0.387755102,1,2,59.42857143,2,0.8571,True,False,0.4,False,0.3,False,0.1,GMean,GMean,False,0.105481035034195
7,2,1,8,13,0,1,7,7,0.166666667,71,1.0,1,0.571428571,0.476190476,0,0,9.0,1,0.8571,True,False,0.3,False,0.2,False,0.4,GMean,GMean,False,0.39655358725685974
19,2,0,1,29,61,1,0,14,0.7098765429999999,342,0.666666667,0,0.464285714,0.305555556,1,2,16.52631579,2,0.8421,False,False,0.4,False,0.2,False,0.0,GMean,GMean,False,0.006499481782288669
2,1,0,6,13,1,1,5,2,2.0,53,0.0,0,0.0,0.5,0,0,25.5,1,0.5,True,False,0.2,False,0.2,False,0.0,GMean,GMean,False,0.004478539142426848
3,2,0,5,6,3,4,3,3,2.0,17,0.0,0,0.967741935,0.533333333,0,0,4.666666667,1,0.3333,False,False,0.0,False,0.0,False,0.0,GMean,GMean,False,0.0
9,2,0,9,55,2,0,9,6,0.583333333,476,1.0,0,0.6,0.377777778,2,2,51.55555556,9,3.1111,True,False,0.2,False,0.3,False,0.3,GMean,GMean,False,0.2989819637955388
5,1,0,4,5,10,2,2,5,2.0,5,0.0,0,0.0,0.5,0,0,0.0,1,1.0,False,True,0.5583333333333333,False,0.1,False,0.1,FMeasure,FMeasure,False,0.11125190846203484
43,2,0,44,52,897,0,44,41,0.011904762,340,1.0,0,0.505882353,0.06760411,0,0,6.860465116,4,1.0698,True,False,0.5,True,1.0,True,0.6,FMeasure,FMeasure,True,0.9866020381663319
1,1,0,8,1,0,7,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.1,GMean,GMean,False,0.09844434231850299
4,2,0,9,19,6,4,7,4,2.0,133,0.0,0,0.9375,0.4166666670000001,1,1,32.25,1,0.5,False,False,0.2,False,0.4,False,0.0,GMean,GMean,False,0.006888378772187809
5,3,2,16,18,0,15,1,4,0.666666667,388,0.5,1,0.8666666670000001,0.4,1,1,75.4,14,4.8,False,False,0.5,False,0.4,False,0.4,GMean,GMean,False,0.401019885090587
5,1,3,6,6,0,5,1,4,0.625,30,1.0,1,0.0,0.466666667,0,0,4.6,2,1.0,False,False,0.0,False,0.2,False,0.0,GMean,GMean,False,0.002427296674234644
3,2,0,5,15,0,1,4,2,0.25,116,1.0,1,0.666666667,0.611111111,0,0,37.0,2,1.0,False,False,0.3,False,0.3,False,0.1,GMean,GMean,False,0.10447168197656105
10,2,0,9,46,0,1,8,8,0.5555555560000001,296,0.5,1,0.75,0.385714286,0,0,28.2,9,2.6,True,False,0.3,False,0.5,False,0.5,GMean,GMean,False,0.49796858100153096
20,2,0,8,27,118,5,3,17,0.473684211,129,1.0,1,0.5476190479999999,0.316666667,1,3,5.4,1,0.95,False,True,0.7,False,0.5,False,0.1,FMeasure,FMeasure,False,0.5042403196168009
6,2,0,11,24,15,4,9,5,2.0,197,0.0,0,0.882352941,0.333333333,2,2,31.83333333,2,0.8333,False,False,0.0,False,0.1,False,0.1,GMean,GMean,False,0.09898103177251279
9,1,0,2,27,18,0,2,7,0.825,236,0.4,0,0.0,0.4,0,0,24.66666667,5,1.8889,True,True,0.6,False,0.4,False,0.3,Accuracy,Accuracy,True,0.5951804502197913
28,1,0,12,60,0,3,9,28,0.0,278,1.0,1,0.0,0.25,0,0,8.892857142999999,2,0.9286,True,True,0.9,True,0.8,True,0.8,GMean,GMean,True,0.8004989566675709
6,1,0,2,20,3,0,2,5,0.95,110,0.25,0,0.0,0.466666667,0,0,16.66666667,3,1.5,False,False,0.0,False,0.2,False,0.5,GMean,GMean,False,0.49267876402649574
3,1,1,6,9,1,1,5,1,0.5,52,1.0,2,0.0,0.466666667,0,0,15.66666667,1,0.6667,False,False,0.2,False,0.2,False,0.4,GMean,GMean,False,0.39577709589350024
5,2,0,11,12,10,5,8,5,2.0,62,0.0,0,0.909090909,0.4,1,2,11.4,1,0.6,False,False,0.2,False,0.4,False,0.0,GMean,GMean,False,0.007439315674343586
5,1,0,4,26,0,0,4,5,0.916666667,121,0.333333333,0,0.0,0.48,0,0,22.6,2,1.4,True,False,0.1,False,0.3,False,0.3,GMean,GMean,False,0.29900177780045833
8,5,0,46,14,6,43,3,8,0.80952381,79,1.0,0,0.666666667,0.375,1,1,8.125,1,0.875,False,True,0.7,False,0.4,False,0.3,FMeasure,FMeasure,False,0.40395888569452226
1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,GMean,GMean,False,0.0
25,1,2,80,46,298,76,5,21,0.166666667,198,1.0,1,0.0,0.213333333,0,0,6.88,3,1.04,False,True,1.0,True,0.9,True,0.8,GMean,GMean,True,0.8026093762027217
6,1,0,7,27,5,4,4,3,1.076923077,151,0.307692308,2,0.0,0.333333333,0,0,22.0,5,2.1667,True,False,0.4,False,0.4,False,0.4,GMean,GMean,False,0.40000000000000013
4,2,0,9,8,6,4,7,4,2.0,23,0.0,0,0.9375,0.392857143,0,0,4.75,1,0.5,True,False,0.2,False,0.5,True,0.8,GMean,GMean,True,0.7924547461310109
24,1,0,11,74,274,11,0,23,0.956521739,731,1.0,0,0.0,0.16847826100000002,0,0,29.41666667,8,2.5833,False,False,0.5,False,0.4,True,0.6,GMean,GMean,True,0.5962875248323752
