wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
3.0,1.0,0.0,2.0,11.0,1.0,1.0,1.0,3.0,0.5,68.0,1.0,0.0,0.0,0.666667,0.0,0.0,21.333333,3.0,1.3333,False,False,0.0,False,0.1,False,0.0,GMean,GMean,False,0.0
9.0,1.0,0.0,8.0,28.0,2.0,8.0,0.0,7.0,0.55,274.0,1.0,0.0,0.0,0.722222,0.0,0.0,28.888889000000002,2.0,1.0,True,True,0.7,False,0.4,False,0.4,Accuracy,Accuracy,True,0.40000000000000896
32.0,6.0,0.0,27.0,118.0,390.0,15.0,27.0,3.0,0.908113,992.0,0.666667,11.0,0.9330450000000001,0.46875,0.0,0.0,28.96875,2.0,1.25,True,True,0.9,True,0.7,False,0.5,GMean,GMean,False,0.5148421655991524
2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,21.0,1.0,0.0,0.0,0.75,0.0,0.0,7.5,1.0,0.5,False,False,0.0,False,0.2,False,0.0,GMean,GMean,False,0.0
8.0,6.0,0.0,9.0,57.0,28.0,4.0,8.0,3.0,0.8857139999999999,245.0,0.8,0.0,0.9840549999999999,0.35,0.0,0.0,29.0,2.0,1.0,True,True,0.9,True,0.7,True,1.0,GMean,GMean,True,0.9991153922955168
8.0,6.0,0.0,5.0,55.0,26.0,4.0,4.0,3.0,0.795918,387.0,1.0,0.0,0.9840549999999999,0.375,0.0,0.0,46.5,6.0,1.5,True,True,1.0,True,0.9,True,0.8,GMean,GMean,True,0.8014805182974355
7.0,6.0,0.0,6.0,51.0,13.0,4.0,4.0,2.0,0.685185,265.0,1.0,2.0,0.988558,0.428571,0.0,0.0,35.57142899999999,1.0,0.7143,True,True,0.8,True,0.8,True,0.9,GMean,GMean,True,0.899362918145654
12.0,6.0,0.0,7.0,70.0,40.0,4.0,6.0,3.0,0.692308,412.0,0.769231,2.0,0.977376,0.31666700000000003,0.0,0.0,32.25,1.0,0.8333,True,True,0.6,True,0.6,True,0.8,GMean,GMean,True,0.7988833939605219
7.0,6.0,0.0,7.0,35.0,21.0,5.0,5.0,2.0,0.833333,148.0,0.5,2.0,0.986301,0.428571,0.0,0.0,19.571429000000002,1.0,0.8571,True,True,1.0,True,1.0,True,0.6,GMean,GMean,True,0.6019886071095134
4.0,6.0,0.0,3.0,23.0,6.0,2.0,2.0,1.0,0.666667,88.0,1.0,0.0,0.9931030000000001,0.5,0.0,0.0,20.75,1.0,0.75,False,False,0.2,False,0.2,False,0.3,GMean,GMean,False,0.2995514027745597
3.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,14.0,1.0,0.0,0.0,0.666667,0.0,0.0,3.0,1.0,0.6667,False,False,0.0,False,0.1,False,0.0,GMean,GMean,False,0.0
8.0,6.0,0.0,7.0,46.0,18.0,5.0,5.0,3.0,0.693878,227.0,1.0,2.0,0.986301,0.325,0.0,0.0,26.5,1.0,0.75,True,True,1.0,True,1.0,True,0.9,GMean,GMean,True,0.9003745200673915
4.0,1.0,0.0,8.0,41.0,0.0,2.0,6.0,1.0,0.333333,355.0,1.0,1.0,0.0,0.625,0.0,0.0,85.5,5.0,2.0,True,False,0.4,True,0.7,False,0.5,GMean,GMean,False,0.49965423346497495
2.0,2.0,0.0,2.0,15.0,0.0,1.0,1.0,2.0,0.0,103.0,0.0,0.0,0.666667,0.75,1.0,1.0,50.0,2.0,1.0,False,False,0.0,False,0.0,False,0.1,GMean,GMean,False,0.09967828765476987
