wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected,PredictedTechnique,DSF_Prediction,DSF_Pred_Prob
12,1,0,35,75,14,16,21,7,0.965786901,4202,0.559139785,19,0.0,0.20979021,0,0,341.4166667,31,6.6667,True,True,1.0,True,1.0,True,0.9,Accuracy,Accuracy,True,0.9992917686050219
3,4,0,6,12,3,2,4,2,2.0,68,0.0,0,0.985714286,0.428571429,1,7,21.66666667,1,0.3333,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,1.0000000000000002
5,4,0,2,11,10,0,2,5,2.0,30,0.0,0,0.959183673,0.45,0,0,5.0,1,0.8,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999997
6,1,0,2,6,15,1,1,6,2.0,6,0.0,0,0.0,0.75,0,0,0.0,1,1.0,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999999
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
5,1,0,0,5,10,0,0,5,2.0,5,0.0,0,0.0,0.7,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.1,Accuracy,Accuracy,False,0.0008095715173672707
15,1,2,26,41,37,7,19,12,0.825396825,870,1.0,4,0.0,0.181818182,0,0,55.8,11,2.4,True,True,0.9,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9011095105191752
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.17963924963924965,False,0.0,False,0.0,Accuracy,Accuracy,False,0.17514002167636322
5,4,0,2,8,10,0,2,5,2.0,28,0.0,0,0.959183673,0.6,0,0,4.6,1,0.8,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999999
9,1,0,4,15,0,2,2,8,0.1875,243,1.0,1,0.0,0.422222222,0,0,25.77777778,6,2.1111,True,True,1.0,True,0.9,True,0.9,Accuracy,Accuracy,True,0.9988904892966471
6,1,0,2,19,13,1,2,5,0.8,127,0.0,1,0.0,0.533333333,0,0,20.0,11,3.0,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,1.0000000000000002
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999999
5,4,0,3,8,10,0,3,5,2.0,28,0.0,0,0.953488372,0.6,1,4,4.6,1,0.8,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999998
3,4,0,2,7,3,1,2,3,2.0,19,0.0,0,0.979166667,0.666666667,0,0,5.333333333,1,0.6667,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999998
7,1,0,0,7,21,0,0,7,2.0,7,0.0,0,0.0,0.428571429,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
7,1,0,0,7,21,0,0,7,2.0,7,0.0,0,0.0,1.0,0,0,0.0,1,1.0,False,False,0.0,False,0.1,False,0.0,Accuracy,Accuracy,False,0.0009607568457757099
14,4,1,4,19,79,3,2,14,0.945054945,133,0.857142857,0,0.858695652,0.392857143,2,6,8.0,2,1.7143,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,1.0
1,4,0,0,2,0,0,0,1,2.0,10,0.0,0,1.0,1.0,0,0,7.0,0,0.0,False,False,0.00909090909090909,False,0.1,False,0.1,Accuracy,Accuracy,False,0.009772032644883683
5,3,0,5,13,0,1,5,1,0.75,59,0.5,0,0.921568627,0.466666667,2,6,10.4,1,0.8,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,1.0
2,1,0,0,2,1,0,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,False,False,0.0,False,0.0,False,0.0,Accuracy,Accuracy,False,0.0
10,1,0,2,10,45,1,1,10,2.0,10,0.0,0,0.0,0.5,0,0,0.0,1,1.0,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999998
38,2,2,13,98,421,10,4,24,0.817567568,1100,0.75,1,0.556962025,0.174174174,1,17,27.84210526,11,2.6053,True,True,1.0,True,0.9,True,1.0,Accuracy,Accuracy,True,0.9995987208758029
2,1,0,2,2,1,1,1,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,True,True,1.0,True,1.0,True,1.0,Accuracy,Accuracy,True,0.9999999999999999
