dit,ca,ce,lcom3,loc,moa,ic,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob
6.0,2.0,10.0,0.833333,557.0,6.0,2.0,False,False,0.00897449777674,False,0.3,False,0.323923455827
6.0,4.0,3.0,0.0,162.0,1.0,3.0,False,False,7.86344708772e-05,False,0.0,False,0.00635159504826
1.0,1.0,0.0,2.0,179.0,0.0,0.0,False,False,0.0972730845018,False,0.0,False,0.0370869407865
1.0,28.0,0.0,2.0,3.0,0.0,0.0,False,False,0.319142774908,False,0.0,False,0.0386077454429
3.0,1.0,11.0,0.8,195.0,2.0,3.0,False,False,0.00529426293094,False,0.2,False,0.164554439146
5.092564,0.920374,5.814378,1.586564,320.20238,3.051786,0.400799,True,True,0.672935976781,False,0.5,True,0.744175013469
2.0,1.0,11.0,1.125,136.0,4.0,1.0,False,False,0.235606622345,False,0.2,False,0.454192777619
3.868466,2.326803,8.683463,1.392675,230.166786,2.62107,0.079552,True,True,0.774405344353,False,0.4,True,0.738069752574
2.0,10.0,9.0,0.805556,193.0,1.0,1.0,False,False,0.0470620638243,False,0.0,False,0.146068518796
1.0,1.0,11.0,2.0,119.0,0.0,0.0,False,False,0.49732312525,False,0.0,False,0.105335337253
2.0,0.0,29.0,2.0,441.0,0.0,0.0,False,True,0.666639384957,False,0.0,False,0.317181366073
1.0,15.0,18.0,0.5,411.0,1.0,0.0,False,True,0.61354496701,False,0.2,False,0.37040039125
3.779833,2.422761,7.162635,1.015864,342.451135,1.213469,0.266417,True,True,0.618270938848,False,0.5,True,0.712176009354
1.0,1.0,11.0,0.0,204.0,1.0,0.0,False,False,0.274122039609,False,0.0,False,0.0688869577271
5.0,1.0,4.0,0.0,47.0,1.0,2.0,False,False,0.00089623930723,False,0.0,False,0.0171040223201
6.0,0.0,2.0,0.571429,264.0,0.0,2.0,False,False,0.00102335801008,False,0.0,False,0.0258839408027
7.0,3.0,8.0,0.777778,780.0,1.0,2.0,False,False,0.00738998933434,False,0.0,False,0.0156833371028
1.0,1.0,2.0,0.795238,923.0,4.0,0.0,False,False,0.352833655466,False,0.1,False,0.0664829251343
1.0,26.0,2.0,2.0,218.0,0.0,0.0,False,False,0.316077779493,False,0.1,False,0.118518269153
5.0,17.0,25.0,0.907143,564.0,4.0,0.0,False,True,0.659558552549,True,0.8,True,0.65821870945
1.0,2.0,11.0,0.5,228.0,0.0,0.0,False,False,0.363751212522,False,0.1,False,0.0390545065126
6.0,1.0,9.0,0.480519,748.0,3.0,2.0,False,False,0.00761378039499,False,0.0,False,0.0314617863567
4.0,24.0,0.0,2.0,5.0,0.0,0.0,False,False,0.30081516032,False,0.0,False,0.0483400712287
1.0,4.0,1.0,2.0,17.0,0.0,0.0,False,False,0.0900374855134,False,0.0,False,0.0431999848602
1.0,2.0,17.0,0.977778,401.0,2.0,0.0,False,True,0.650584967375,False,0.5,False,0.30803825951
3.116036,18.412051,10.308667,0.687067,747.692461,0.576779,0.560159,True,True,0.693238246276,True,0.9,True,0.673259606
2.0,1.0,7.0,0.8,541.0,4.0,1.0,False,False,0.164855754963,False,0.1,False,0.154035031215
4.646176,1.486126,14.749885,1.95221,234.751845,1.968403,0.008205,True,True,0.647000552132,True,0.8,True,0.610317952629
5.0,17.0,25.0,0.909722,590.0,3.0,0.0,False,True,0.660686630824,True,0.7,True,0.589772412432
1.445741,2.402863,17.922338,1.204887,209.289276,0.208836,0.093365,True,True,0.986388151936,False,0.5,True,0.802045859866
2.0,1.0,15.0,1.0,179.0,0.0,1.0,False,False,0.375397650902,False,0.0,False,0.179863162856
2.0,1.0,9.0,0.0,172.0,1.0,1.0,False,False,0.0376462620107,False,0.0,False,0.0213950404647
2.0,2.0,10.0,0.666667,94.0,4.0,1.0,False,False,0.117019368186,False,0.0,False,0.103945951865
1.762699,4.182793,16.984619,1.431624,209.285172,0.330617,0.196583,True,True,0.97881624654,True,0.7,True,0.922814204025
6.0,1.0,3.0,0.818182,269.0,0.0,2.0,False,False,0.0017011997908,False,0.0,False,0.0218365623487
1.0,0.0,6.0,2.0,325.0,0.0,0.0,False,False,0.344507547646,False,0.0,False,0.255051865261
2.0,1.0,21.0,0.8,455.0,0.0,1.0,False,True,0.982216988619,False,0.0,False,0.297914090786
8.0,2.0,2.0,2.0,13.0,0.0,0.0,False,False,0.243413528243,False,0.0,False,0.0813181766135
2.0,1.0,2.0,2.0,74.0,0.0,0.0,False,False,0.142551303452,False,0.0,False,0.0809283270624
3.0,1.0,9.0,2.0,113.0,0.0,0.0,False,False,0.444265052508,False,0.0,False,0.322635048347
5.005093,0.613468,9.036982,1.475966,310.40266,3.271526,0.365972,True,True,0.799146852075,True,0.8,True,0.857482707439
2.0,1.0,6.0,0.5,155.0,0.0,0.0,False,False,0.133511191357,False,0.0,False,0.0232736045963
1.0,10.0,11.0,0.712121,533.0,3.0,0.0,False,False,0.451269072963,False,0.2,False,0.390273453104
1.0,5.0,5.0,0.7,551.0,0.0,0.0,False,False,0.200417517724,False,0.1,False,0.332039287804
2.0,4.0,23.0,0.75,519.0,4.0,0.0,False,True,0.996973383149,False,0.3,False,0.452570704554
1.0,0.0,1.0,0.357143,473.0,0.0,0.0,False,False,0.0678716255765,False,0.0,False,0.0663219783325
2.237951,4.462796,11.937363,1.844764,174.431616,0.525688,0.279245,True,True,0.77580882082,True,0.9,True,0.90836204808
1.0,14.0,5.0,0.845865,603.0,5.0,0.0,False,False,0.290583694993,False,0.2,False,0.33733662676
1.0,1.0,0.0,0.516667,258.0,0.0,0.0,False,False,0.0654035670281,False,0.0,False,0.0367558715703
