ce,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob,selectedEnsemble
4,True,True,0.9625421038950001,True,1.0,True,0.9562639614730001,Voting
8,True,True,0.9975566027230001,True,1.0,True,0.937196062314,Voting
0,True,False,0.158704239956,False,0.1,False,2.22044604925e-16,Voting
3,True,True,0.93452122281,True,0.9,True,0.962740903088,Voting
2,True,True,0.533883188629,False,0.025,False,0.24322796083,Voting
0,False,True,0.824690936486,True,0.7,True,0.8,Voting
1,False,False,0.32641233934,False,0.3,False,0.253870634821,Voting
1,False,False,0.32641233934,False,0.34333333333300003,False,0.210794555611,Voting
4,True,True,0.9625421038950001,True,1.0,True,0.9278681716249999,Voting
10,True,True,0.999382056091,True,1.0,True,0.955101232146,Voting
