wmc,lcom,amc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob
6,15,0.0,False,False,0.405672645518,True,0.9,True,0.9
9,28,3.444444,False,False,0.0395639883419,False,0.0,False,0.2
9,28,3.444444,False,False,0.0395639883419,False,0.1,False,2.22044604925e-16
3,1,10.0,True,True,0.936588967993,True,0.6,True,0.7
9,0,7.888889,False,True,0.767399093262,False,0.3,False,0.4
6,3,10.0,True,True,0.905148462925,True,1.0,True,1.0
5,4,13.0,True,True,0.936335615778,True,0.9,True,1.0
7,21,0.0,False,False,0.0437620239388,False,0.5,False,0.2
5,6,3.4,True,True,0.745143593704,False,0.5,True,0.8
7,9,11.571429,True,True,0.581648600144,True,0.8,True,0.8
13,66,3.769231,False,False,0.000972490029827,False,0.0,False,2.22044604925e-16
4,0,6.0,False,True,0.919235367558,True,0.6,True,0.7
2,1,6.5,False,True,0.947817005292,True,0.7,True,0.7
4,0,18.0,True,True,0.980734812815,True,0.8,True,1.0
3,3,0.0,True,True,0.757707650807,True,0.7,True,0.9
4,0,11.5,True,True,0.949319908011,True,0.7,False,0.5
6,0,4.333333,True,False,0.418068803289,False,0.4,False,0.2
3,3,0.0,True,True,0.757707650807,True,1.0,True,0.7
