wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy Prediction,Accuracy Prob,fMeasure Prediction,fMeasure Prob,gMean Prediction,gMean Prob,Function to be selected
3.0,1.0,0,6.0,26.0,3.0,1.0,5.0,3.0,2.0,230.0,0.0,0.0,0.0,0.666667,0.0,0.0,75.666667,2.0,1.3333,False,False,0.5,False,0.2,False,0.2,GMean
2.0,1.0,0,10.0,3.0,0.0,8.0,2.0,1.0,0.8,31.0,0.2,2.0,0.0,0.75,0.0,0.0,12.0,1.0,0.5,False,False,0.1,False,0.0,False,0.3,GMean
5.0,1.0,0,11.0,9.0,0.0,10.0,3.0,4.0,0.5,88.0,0.0,1.0,0.0,0.8,0.0,0.0,14.8,3.0,1.0,True,False,0.4,False,0.1,False,0.1,GMean
6.0,1.0,0,10.0,13.0,0.0,6.0,4.0,6.0,0.0,225.0,1.0,1.0,0.0,0.416667,0.0,0.0,36.166667,1.0,0.6667,False,False,0.4,False,0.4,False,0.5,GMean
3.0,2.0,0,7.0,7.0,0.0,1.0,6.0,3.0,0.0,30.0,0.0,1.0,0.666667,0.555556,1.0,3.0,8.666667,2.0,1.0,True,True,0.7,False,0.3,False,0.2,Accuracy
8.0,6.0,0,9.0,52.0,24.0,4.0,9.0,3.0,0.6,509.0,1.0,1.0,0.9858819999999999,0.291667,0.0,0.0,60.75,2.0,0.875,True,True,0.9,True,0.8,True,0.9,GMean
1.0,1.0,0,3.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,False,False,0.0,False,0.0,False,0.0,GMean
6.0,2.0,0,13.0,26.0,0.0,1.0,12.0,6.0,0.8,184.0,0.0,1.0,0.44444399999999995,0.43333299999999997,1.0,3.0,29.5,1.0,0.8333,False,True,0.6,False,0.5,True,0.6,GMean
2.0,1.0,0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,1.0,1.0,False,False,0.0,False,0.0,False,0.0,GMean
5.0,1.0,0,5.0,26.0,10.0,1.0,4.0,5.0,2.0,430.0,0.0,0.0,0.0,0.6,0.0,0.0,85.0,2.0,1.0,True,False,0.4,False,0.4,False,0.5,GMean
2.0,1.0,0,4.0,20.0,1.0,1.0,3.0,2.0,2.0,81.0,0.0,0.0,0.0,0.75,0.0,0.0,39.5,2.0,1.0,False,False,0.3,False,0.0,False,0.1,GMean
7.0,6.0,0,9.0,41.0,11.0,3.0,9.0,1.0,0.633333,217.0,0.8,2.0,0.9858819999999999,0.333333,0.0,0.0,29.285714000000002,1.0,0.8571,False,True,1.0,True,0.9,True,1.0,GMean
4.0,1.0,0,11.0,7.0,4.0,10.0,1.0,2.0,1.233333,48.0,0.1,0.0,0.0,0.625,0.0,0.0,8.5,1.0,0.5,False,True,0.6,True,0.7,True,0.6,GMean
5.0,2.0,0,12.0,22.0,0.0,1.0,11.0,5.0,0.75,167.0,1.0,1.0,0.5,0.44,1.0,3.0,32.2,1.0,0.8,False,False,0.2,False,0.4,False,0.0,GMean
2.0,1.0,0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,21.5,7.0,3.5,False,False,0.3,False,0.1,False,0.0,GMean
7.0,6.0,0,6.0,51.0,11.0,3.0,6.0,1.0,0.635417,590.0,1.0,2.0,0.9858819999999999,0.333333,0.0,0.0,81.0,8.0,1.8571,True,True,0.8,True,0.9,True,0.7,GMean
6.0,2.0,0,7.0,9.0,7.0,7.0,0.0,4.0,0.857143,116.0,0.28571399999999997,6.0,0.733333,0.4,1.0,1.0,17.166667,3.0,1.0,False,False,0.1,False,0.0,False,0.2,GMean
2.0,1.0,0,5.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,1.0,False,False,0.0,False,0.0,False,0.0,GMean
5.0,1.0,4,10.0,11.0,0.0,6.0,4.0,5.0,0.0,64.0,1.0,1.0,0.0,0.6,0.0,0.0,11.6,1.0,0.8,False,False,0.3,False,0.4,True,0.7,GMean
