dit,cbo,rfc,ca,moa,ic,max_cc,buggy,Voting_Prediction,Voting_Pred_Prob,RandomForest_Prediction,RandomForest_Pred_Prob,AdaBoost_Prediction,AdaBoost_Pred_Prob
1.0,2.0,4.0,1.0,0.0,0.0,0.0,False,False,0.370691276571,False,0.4,False,0.349895643257
2.0,5.0,66.0,1.0,0.0,0.0,16.0,False,False,0.376430881451,False,0.0,False,0.0380708493733
2.0,12.0,81.0,4.0,5.0,1.0,3.0,False,True,0.831327469473,False,0.5,True,0.728487367736
3.0,3.0,21.0,2.0,1.0,1.0,14.0,False,False,0.109882254145,False,0.0,False,0.0069210357649
1.0,13.0,60.0,13.0,0.0,0.0,8.0,True,True,0.736442688197,True,0.6,False,0.316111228141
1.0,7.0,66.0,1.0,1.0,0.0,6.0,False,False,0.433290582669,False,0.0,False,0.0801584383015
1.0,2.0,25.0,1.0,0.0,0.0,3.0,False,False,0.0435230850366,False,0.1,False,0.171931508122
2.0,15.415937,65.903873,7.317078,2.82505,1.0,8.106042,True,True,0.819139557341,True,0.6,True,0.709814372899
2.755534,8.409193,48.300549,0.0,3.332747,1.710371,1.988618,True,False,0.0965023717303,False,0.0,False,0.318176475961
1.0,3.0,11.0,1.0,0.0,0.0,2.0,False,False,0.0442172690646,False,0.0,False,0.125838999974
1.0,1.0,22.0,0.0,0.0,0.0,1.0,False,False,0.038737300768,False,0.0,False,0.014527111775
1.907809,17.0,63.091413,2.898057,5.0,0.172956,4.568545,True,True,0.922302865757,True,0.7,True,0.675243223987
2.0,3.0,16.0,2.0,5.0,0.0,1.0,False,False,0.368714722219,False,0.2,False,0.255960271749
1.488743,15.581262,82.68233,2.871927,2.474314,0.015759,5.21773,True,True,0.910527967582,True,0.8,True,0.730403714799
2.0,8.0,60.0,1.0,1.0,0.0,2.0,False,False,0.390793823306,False,0.1,False,0.143298115181
2.0,10.970802,65.076823,2.140195,3.328381,1.0,10.975096,True,True,0.794963276014,False,0.5,True,0.581637138045
2.0,7.0,28.0,2.0,1.0,1.0,3.0,False,False,0.059276700425,False,0.0,False,0.295991230309
2.0,5.0,31.0,0.0,0.0,0.0,5.0,False,False,0.0746118798214,False,0.0,False,0.0444296655237
1.14503,18.700368,64.56422,1.29683,1.0,0.222591,11.719567,True,True,0.943206208762,True,0.6,True,0.508903876304
1.0,16.0,74.0,4.0,7.0,0.0,7.0,False,True,0.92943750799,True,0.8,True,0.605434222074
2.975131,9.510381,17.133176,0.635335,0.0,0.69091,3.142675,True,False,0.0722804818934,False,0.1,True,0.546583106679
1.0,17.0,53.0,2.0,1.0,0.0,16.0,True,True,0.907510261554,True,1.0,True,0.56094184925
1.0,1.0,9.0,1.0,0.0,0.0,1.0,False,False,0.0307938836089,False,0.0,False,0.0180406760624
1.0,1.100261,13.195816,1.0,0.0,0.0,9.221588,True,False,0.0901985104461,False,0.4,True,0.575023286961
2.0,7.0,12.0,2.0,0.0,1.0,1.0,False,False,0.0505953067059,False,0.0,False,0.0362096667777
1.0,1.0,3.0,1.0,0.0,0.0,0.0,False,False,0.0310977563282,False,0.02,False,0.141317461282
1.0,17.0,57.927669,2.0,2.06108,0.0,15.568043,True,True,0.916025670529,True,1.0,True,0.579987415176
1.0,17.0,59.0,2.0,5.0,0.0,11.0,True,True,0.936308659012,True,0.9,True,0.629424917051
1.292023,14.84288,96.897148,2.289086,0.690614,0.319296,7.139658,True,True,0.902919513998,True,0.9,True,0.770710441126
1.0,2.0,11.0,0.0,0.0,0.0,2.0,False,False,0.0404055529707,False,0.0,False,0.0328210588164
1.0,9.0,48.0,5.0,5.0,0.0,10.0,True,False,0.433072524127,False,0.4,False,0.411427911679
1.0,8.0,0.0,8.0,0.0,0.0,0.0,False,False,0.0849875957806,False,0.4,False,0.377828752993
3.0,1.0,22.0,1.0,0.0,1.0,14.0,False,False,0.0673825357256,False,0.0,False,0.0749246608172
2.389628,17.183633,100.501695,0.542165,2.753408,0.198644,6.052479,True,True,0.606244779898,True,0.6,True,0.79162990692
2.889204,10.470502,27.721245,0.20129,0.0,1.315697,1.0,True,False,0.428372988129,True,0.7,True,0.724225446809
1.0,16.0,73.0,2.0,5.0,0.0,3.0,False,True,0.942324052264,True,0.8,True,0.568585492363
2.0,17.0,67.0,9.0,5.0,1.0,3.0,True,True,0.52114416809,True,0.6,True,0.671388659472
1.0,9.0,34.0,8.0,1.0,0.0,17.0,False,False,0.376829751936,False,0.1,False,0.309072723691
1.59554,14.636887,77.616291,7.248589,3.413151,0.754126,9.608251,True,True,0.827821671114,True,1.0,True,0.873290855715
2.0,5.0,12.0,1.0,0.0,1.0,1.0,False,False,0.0386643596466,False,0.0,False,0.0286553955584
5.0,2.0,7.0,2.0,0.0,0.0,0.0,False,False,0.00715660206481,False,0.2,False,0.327428331608
5.0,2.0,37.0,0.0,0.0,1.0,12.0,False,False,0.0077677244584,False,0.0,False,0.0533963647647
1.834749,17.612616,67.779844,12.323626,4.451695,0.12453,11.475123,True,True,0.816224165179,True,0.9,True,0.880382668077
1.010708,19.227503,81.717081,9.851558,1.464269,0.364799,7.677132,True,True,0.895505621658,False,0.5,True,0.722309653222
1.0,18.0,68.0,13.0,4.0,0.0,13.0,True,True,0.834694329562,True,1.0,True,0.690900085036
1.0,15.0,89.0,6.0,5.0,0.0,10.0,True,True,0.888928979514,True,0.9,True,0.64897863015
1.0,15.0,16.0,15.0,0.0,0.0,1.0,False,False,0.359648018434,False,0.0,False,0.0657693861828
2.0,6.0,14.0,1.0,0.0,1.0,1.0,False,False,0.04774751765,False,0.0,False,0.0245911144155
1.864991,5.782682,23.55482,1.608265,0.461345,1.045135,2.153632,True,False,0.380789527123,True,0.8,True,0.651901602775
1.0,14.0,71.0,2.0,6.0,0.0,6.0,False,True,0.915899480341,True,0.8,True,0.561502674186
1.0,2.0,52.0,1.0,0.0,0.0,18.0,False,False,0.360991205267,False,0.2,False,0.203676191451
1.0,17.0,1.0,15.0,0.0,0.0,1.0,False,False,0.407790572264,False,0.0,False,0.0222564728295
1.0,6.0,17.0,5.0,1.0,0.0,10.0,False,False,0.272530529746,False,0.0,False,0.13742806278
1.0,12.097037,67.917948,9.637043,1.992533,0.0,8.523437,True,True,0.767142173677,True,0.7,True,0.51359502325
1.0,16.0,89.0,7.0,1.0,0.0,5.0,False,True,0.550279573953,True,0.6,False,0.487879203598
1.0,1.0,15.0,1.0,0.0,0.0,1.0,False,False,0.0324358025019,False,0.0,False,0.0705892395519
1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0950438788754,False,0.150598829275,False,0.36421833406
1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0950438788754,False,0.150598829275,False,0.36421833406
2.0,5.0,8.0,1.0,0.0,0.0,1.0,False,False,0.0481099452502,False,0.0,False,0.0419997584653
1.0,16.0,1.0,15.0,0.0,0.0,1.0,False,False,0.382408465016,False,0.0,False,0.0265676258353
1.0,6.0,9.0,4.0,2.0,0.0,1.0,False,False,0.126728677804,False,0.0,False,0.0444420092549
1.0,1.0,0.0,1.0,0.0,0.0,0.0,False,False,0.0309529977549,False,0.02,False,0.0750458993485
1.0,3.0,30.0,0.0,0.0,0.0,15.0,False,False,0.366628191628,False,0.3,False,0.122608137579
1.0,5.0,13.0,1.0,1.0,0.0,7.0,False,False,0.101742425652,False,0.3,False,0.432157699552
2.0,18.0,83.0,3.0,2.0,1.0,8.0,True,True,0.926802250498,True,0.9,True,0.824161509606
1.0,2.0,74.0,0.0,1.0,0.0,6.0,False,False,0.373426071201,False,0.0,False,0.0141177431007
1.0,3.0,0.0,3.0,0.0,0.0,0.0,False,False,0.0300891588912,False,0.1,False,0.136961851404
1.0,0.0,17.0,0.0,3.0,0.0,12.0,False,False,0.338298104417,False,0.0,False,0.201148023208
1.0,13.0,34.0,13.0,0.0,0.0,3.0,False,False,0.40196229101,True,0.6,False,0.494691023016
3.0,5.0,11.0,3.0,0.0,1.0,10.0,False,False,0.0409468294741,False,0.1,False,0.112887323688
1.0,14.664366,19.98923,2.75321,0.152055,0.0,3.0,True,False,0.361665207232,False,0.3,False,0.496287893354
1.0,12.707318,19.512397,1.0,0.252082,0.0,2.951712,True,True,0.577569245142,False,0.3,True,0.564445359384
1.322414,10.509353,15.198758,0.698371,0.0,0.012215,1.776476,True,False,0.484867797004,True,0.7,True,0.655192700159
1.0,11.76161,45.26952,1.200959,2.897573,0.0,15.538443,True,False,0.496015806749,True,0.6,True,0.545973531879
2.0,9.0,57.0,0.0,1.0,0.0,2.0,False,False,0.357982209593,False,0.0,False,0.335749423523
1.0,14.359575,87.557649,9.719381,1.761892,0.0,9.537297,True,True,0.821504813554,True,0.7,True,0.748437162239
1.679317,10.29456,66.092125,4.870759,2.562936,0.74946,14.318367,True,False,0.441369200733,True,0.6,True,0.662223198623
1.0,12.0,95.0,5.0,2.0,0.0,12.0,True,False,0.497750475852,False,0.5,False,0.479879034436
1.0,2.0,7.0,1.0,4.0,0.0,1.0,False,False,0.287301032286,False,0.0,False,0.0234349377316
1.0,15.097694,56.932969,1.851875,4.819269,0.0,12.127745,True,True,0.884688172848,True,0.6,True,0.65870437981
2.0,3.0,12.0,2.0,0.0,1.0,1.0,False,False,0.0295784143311,False,0.0,False,0.016877731699
2.0,9.0,49.0,1.0,0.0,0.0,10.0,False,False,0.409822084781,False,0.2,False,0.35519447817
2.0,3.0,25.0,1.0,0.0,1.0,1.0,False,False,0.0367989930955,False,0.0,False,0.07086421626
1.0,2.0,34.0,2.0,1.0,0.0,1.0,False,False,0.0422342417268,False,0.1,False,0.455163101257
1.0,11.0,75.0,5.0,1.0,0.0,4.0,False,False,0.467801787476,False,0.1,False,0.232669173054
1.0,14.0,16.0,13.0,0.0,0.0,4.0,False,False,0.404061152471,False,0.1,False,0.336296729367
1.0,8.0,29.0,4.0,4.0,0.0,2.0,True,False,0.392097111541,False,0.2,False,0.311607860712
1.0,5.0,52.0,0.0,1.0,0.0,1.0,False,True,0.501387084447,False,0.1,False,0.247016099667
1.425914,17.0,61.351243,5.289061,5.0,0.965501,6.813853,True,True,0.884975576179,True,0.8,True,0.81626794446
1.0,15.400224,46.200975,2.656531,0.0,0.0,1.454714,True,True,0.529154675026,False,0.4,True,0.531533959631
1.0,7.0,71.0,3.0,2.0,0.0,14.0,False,False,0.418536989826,False,0.2,False,0.362468262848
1.0,10.174901,51.887426,6.225351,4.127896,0.0,12.989786,True,True,0.757037938263,True,0.8,True,0.863362062058
3.0,13.0,7.0,13.0,0.0,0.0,1.0,False,True,0.617020707773,False,0.3,False,0.231607033849
2.0,12.228951,15.070242,12.312598,1.841875,0.0,1.397993,True,True,0.70081540994,False,0.4,False,0.257852492639
1.0,2.315781,29.555102,1.0,0.0,0.0,9.621075,True,False,0.101639940791,False,0.2,False,0.142378069726
1.960614,17.786882,66.14888,10.221757,1.22738,0.094364,8.0,True,True,0.846612420233,True,0.9,True,0.865557966226
5.0,2.0,34.0,0.0,0.0,1.0,1.0,False,False,0.0169719446693,False,0.0,False,0.100190188445
2.0,4.0,5.0,0.0,0.0,0.0,0.0,False,False,0.37312501775,False,0.2,False,0.295013151832
1.0,1.0,20.0,1.0,1.0,0.0,1.0,False,False,0.0291665170062,False,0.0,False,0.159308598635
1.0,3.0,32.0,2.0,1.0,0.0,14.0,False,False,0.349857259673,False,0.1,False,0.183824608408
3.0,3.0,13.0,1.0,0.0,1.0,10.0,False,False,0.36532173636,False,0.3,False,0.387433252346
1.0,8.0,70.0,5.0,0.0,0.0,5.0,False,False,0.413144391567,False,0.1,False,0.229541714141
1.0,0.0,39.0,0.0,0.0,0.0,6.0,False,False,0.052455789726,False,0.0,False,0.0614708845106
2.0,16.0,65.0,1.0,1.0,0.0,10.0,False,True,0.901780149293,True,0.6,False,0.477633976382
2.583513,11.743702,29.354413,1.576495,0.0,1.470418,1.0,True,False,0.482870577273,True,0.6,True,0.684449546853
1.585724,10.666207,66.257812,1.412772,2.957659,0.128296,4.404768,True,False,0.476544982149,False,0.5,True,0.61805494563
1.0,16.0,13.0,14.0,0.0,0.0,1.0,False,False,0.429895973065,False,0.0,False,0.116032281801
1.0,11.0,29.0,10.0,0.0,0.0,7.0,False,False,0.36228053014,False,0.0,False,0.211512207612
1.0,15.0,2.0,15.0,0.0,0.0,1.0,False,False,0.402900291301,False,0.0,False,0.0158013210739
1.0,0.0,20.0,0.0,0.0,0.0,3.0,False,False,0.0265546652146,False,0.0,False,0.0315608200749
1.0,14.698177,76.317516,12.312452,1.948246,0.0,8.702695,True,True,0.79393680173,True,0.7,True,0.664378862672
1.0,12.603407,77.87218,9.950529,1.632484,0.0,11.598909,True,True,0.782698199562,True,0.9,True,0.675972184098
1.0,16.0,11.0,15.0,0.0,0.0,1.0,False,False,0.421540754865,False,0.0,False,0.0516352886413
1.030204,3.221182,16.023259,1.646054,0.909077,0.907209,2.078155,True,False,0.373838679382,False,0.2,True,0.551108085544
1.0,17.0,6.0,15.0,0.0,0.0,1.0,False,False,0.434108166144,False,0.0,False,0.04362252422
4.0,4.0,12.0,4.0,0.0,1.0,4.0,False,False,0.0172194229242,False,0.0,False,0.101115694259
2.0,4.0,21.0,1.0,1.0,1.0,6.0,False,False,0.0481931156382,False,0.0,False,0.0564053028369
1.0,13.613662,48.518447,2.232495,0.0,0.0,2.542993,True,True,0.813694402642,True,0.7,True,0.718300558512
1.0,6.0,33.0,0.0,4.0,0.0,11.0,False,True,0.737950349739,False,0.0,False,0.16838113416
5.0,2.0,10.0,0.0,0.0,1.0,1.0,False,False,0.0140754461549,False,0.0,False,0.058902043429
5.0,2.0,11.0,0.0,0.0,1.0,1.0,False,False,0.014186080755,False,0.0,False,0.0586615585174
5.0,2.0,12.0,0.0,0.0,1.0,1.0,False,False,0.0142975466079,False,0.0,False,0.0584180520207
1.0,11.0,37.0,6.0,0.0,0.0,7.0,False,False,0.355320426888,False,0.0,False,0.202907889321
2.967874,11.67583,29.656847,1.279847,0.0,1.034993,1.0,True,False,0.469817501638,False,0.5,True,0.58236804069
2.0,9.0,11.0,6.0,4.0,0.0,2.0,False,False,0.373005792463,False,0.2,False,0.136286616613
2.0,0.0,32.0,0.0,0.0,1.0,3.0,False,False,0.0262674314005,False,0.1,False,0.0492979508196
5.0,2.0,13.0,0.0,0.0,1.0,1.0,False,False,0.0144098493585,False,0.0,False,0.0594727243736
5.0,2.0,13.0,0.0,0.0,1.0,1.0,False,False,0.0191565792369,False,0.0,False,0.0429228628791
5.0,2.0,13.0,0.0,0.0,1.0,1.0,False,False,0.0191565792369,False,0.0,False,0.0429228628791
5.0,2.0,13.0,0.0,0.0,1.0,1.0,False,False,0.0191565792369,False,0.0,False,0.0429228628791
2.0,6.0,33.0,1.0,1.0,1.0,1.0,False,False,0.143486826776,False,0.4,False,0.295712087004
1.0,12.371396,51.883054,6.368682,4.053437,0.0,11.361657,True,True,0.826834557177,True,1.0,True,0.95919450684
1.0,1.0,17.0,0.0,0.0,0.0,1.0,False,False,0.0291428582468,False,0.0,False,0.01317784451
5.0,1.0,7.0,1.0,0.0,1.0,1.0,False,False,0.0130522132346,False,0.0,False,0.0498094999772
1.0,12.0,17.0,10.0,0.0,0.0,1.0,False,False,0.198477952999,False,0.1,False,0.147649910973
5.0,2.0,25.0,0.0,0.0,1.0,1.0,False,False,0.0212390372152,False,0.0,False,0.020528933077
3.0,12.0,66.0,0.0,1.0,0.0,11.0,False,True,0.511511182634,False,0.3,False,0.413010717901
1.346081,16.245794,87.009784,4.39194,2.010693,0.000231,9.933356,True,True,0.922152302798,True,0.9,True,0.753335600148
5.0,2.0,5.0,0.0,0.0,1.0,1.0,False,False,0.017877403057,False,0.0,False,0.0326887894672
5.0,2.0,5.0,0.0,0.0,1.0,1.0,False,False,0.017877403057,False,0.0,False,0.0326887894672
5.0,2.0,5.0,0.0,0.0,1.0,1.0,False,False,0.017877403057,False,0.0,False,0.0326887894672
1.0,2.0,30.0,1.0,1.0,0.0,6.0,False,False,0.0503055858797,False,0.1,False,0.314767688188
1.0,2.0,29.0,2.0,0.0,0.0,10.0,False,False,0.0938162351938,False,0.3,False,0.328689121087
5.0,2.0,16.0,0.0,0.0,1.0,1.0,False,False,0.0196582634767,False,0.0,False,0.0483092618896
5.0,2.0,14.0,0.0,0.0,1.0,1.0,False,False,0.0193224447691,False,0.0,False,0.0425109621998
2.0,0.0,46.0,0.0,1.0,1.0,5.0,False,False,0.157293790208,False,0.3,False,0.207068771141
2.0,1.0,25.0,0.0,0.0,1.0,6.0,False,False,0.0664274171347,False,0.0,False,0.0227616271516
5.0,3.0,32.0,0.0,0.0,1.0,1.0,False,False,0.0277016696263,False,0.1,False,0.0378447760531
1.0,2.0,10.0,0.0,2.0,0.0,3.0,False,False,0.0418967380032,False,0.0,False,0.00673575702429
1.0,8.0,23.0,4.0,2.0,0.0,6.0,False,False,0.172657377113,False,0.1,False,0.196238723314
1.0,15.0,6.0,14.0,0.0,0.0,1.0,False,False,0.384578105122,False,0.0,False,0.0617044040838
1.0,19.0,46.0,3.0,3.0,0.0,1.0,False,True,0.608046305112,True,0.6,False,0.335269613211
1.0,0.0,17.0,0.0,0.0,0.0,1.0,False,False,0.0239727346776,False,0.0,False,0.0504195049851
2.0,8.0,11.0,3.0,0.0,1.0,1.0,False,False,0.117534735759,False,0.0,False,0.0852171161122
2.0,5.0,51.0,1.0,2.0,0.0,2.0,False,False,0.187870766547,False,0.1,False,0.303297362254
1.0,2.0,10.0,1.0,2.0,0.0,3.0,False,False,0.0387359239983,False,0.0,False,0.0269956887455
2.0,3.0,10.0,0.0,0.0,1.0,1.0,False,False,0.0556742445965,False,0.0,False,0.0495670571764
2.0,3.0,10.0,0.0,0.0,1.0,1.0,False,False,0.0556742445965,False,0.0,False,0.0495670571764
2.0,15.0,55.0,1.0,1.0,0.0,1.0,False,True,0.86877352736,False,0.5,True,0.6314718242
1.0,13.0,35.0,1.0,0.0,0.0,1.0,True,True,0.622944549954,False,0.4,False,0.430065868269
1.0,0.0,33.0,0.0,0.0,0.0,8.0,False,False,0.0507542456021,False,0.1,False,0.179738997029
1.0,6.0,64.0,2.0,1.0,0.0,12.0,False,False,0.42814503811,False,0.1,False,0.25214419536
1.0,13.0,55.0,5.0,2.0,0.0,11.0,False,True,0.850391593727,True,0.9,True,0.818017250009
1.0,4.0,36.0,4.0,0.0,0.0,8.0,False,False,0.0975377429544,False,0.1,False,0.0940609453181
5.0,3.0,23.0,0.0,0.0,1.0,1.0,False,False,0.0256775514127,False,0.0,False,0.0290026672328
2.0,9.0,13.0,9.0,0.0,0.0,2.0,False,False,0.0718510543221,False,0.0,False,0.227398343989
1.0,5.0,6.0,5.0,0.0,1.0,3.0,False,False,0.0752963774476,False,0.1,False,0.235123111072
2.0,9.0,53.0,0.0,1.0,0.0,3.0,False,False,0.28055955634,False,0.0,False,0.072691201917
4.0,3.0,17.0,3.0,0.0,0.0,6.0,False,False,0.0152019584758,False,0.0,False,0.0712913396029
1.0,2.0,9.0,0.0,1.0,0.0,5.0,False,False,0.0383673781202,False,0.0,False,0.0138380141964
3.0,2.0,6.0,1.0,1.0,1.0,1.0,False,False,0.0301214394865,False,0.0,False,0.0372865920857
3.0,4.0,24.0,1.0,0.0,1.0,1.0,False,False,0.0500075510563,False,0.0,False,0.0509545011199
1.0,1.0,27.0,0.0,0.0,0.0,12.0,False,False,0.16528633079,False,0.1,False,0.113712897241
1.0,2.0,9.0,1.0,1.0,0.0,5.0,False,False,0.0349526749281,False,0.0,False,0.0600022069574
1.791603,13.292414,42.810083,0.626504,0.348503,0.0,2.610745,True,True,0.709575358613,True,1.0,True,0.974634060393
1.0,0.0,17.0,0.0,0.0,0.0,1.0,False,False,0.0239727346776,False,0.0,False,0.0504195049851
1.060205,13.900595,35.795487,0.078775,0.593986,0.0,1.752521,True,True,0.70025729381,True,0.7,True,0.664869546272
5.0,2.0,18.0,0.0,0.0,1.0,1.0,False,False,0.0199996018386,False,0.0,False,0.0262046044358
2.0,4.0,8.0,1.0,0.0,1.0,1.0,False,False,0.0607062834976,False,0.0,False,0.0919173684814
1.0,0.0,33.0,0.0,0.0,0.0,5.0,False,False,0.0344098255972,False,0.0,False,0.0483902729543
2.0,5.0,10.0,2.0,0.0,1.0,1.0,False,False,0.0691897992035,False,0.0,False,0.0666781495663
1.440747,12.446088,35.0,1.0,0.529367,0.0,1.0,True,True,0.602575939591,True,0.9,True,0.826432303514
2.0,5.0,19.0,0.0,0.0,0.0,2.0,False,False,0.0522976083942,False,0.2,False,0.129672584702
2.0,4.0,10.0,1.0,0.0,1.0,1.0,False,False,0.0616697525332,False,0.0,False,0.0931284410595
1.0,1.0,25.0,0.0,1.0,0.0,3.0,False,False,0.0350526329253,False,0.0,False,0.0127495251988
2.0,5.0,19.0,1.0,0.0,0.0,1.0,False,False,0.0466153362048,False,0.0,False,0.123063022047
