wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected
6,4,0,5,12,15,1,4,6,2.0,36,0.0,0,0.838709677,0.3666666670000001,0,0,5.0,1,0.8333,True,True,0.8,True,0.6,True,1.0,Accuracy
2,4,0,5,4,1,1,4,2,2.0,10,0.0,0,0.962962963,0.666666667,0,0,4.0,1,0.5,True,False,0.5,True,0.6,False,0.5,Accuracy
7,2,0,11,8,15,10,1,7,0.833333333,34,1.0,0,0.5,0.47619047600000003,0,0,3.428571429,1,0.8571,False,False,0.1,False,0.0,False,0.0,Accuracy
8,1,0,5,14,0,3,2,8,0.14285714300000002,47,1.0,1,0.0,0.325,0,0,4.75,1,0.875,True,True,0.8,True,0.7,True,0.8,Accuracy
2,3,0,1,4,1,0,1,2,2.0,9,1.0,0,0.980392157,1.0,1,1,3.0,1,0.5,True,False,0.2,False,0.3,False,0.1,Accuracy
86,3,0,13,157,3205,0,13,83,0.9550802140000001,861,1.0,6,0.37037037,0.124735729,1,2,8.627906977,5,1.0465,True,True,0.7,True,0.9,True,0.9,Accuracy
1,1,0,0,2,0,0,0,1,2.0,7,0.0,0,0.0,1.0,0,0,3.0,0,0.0,False,False,0.5,False,0.3,True,0.6,Accuracy
10,3,0,4,27,19,0,4,10,0.8666666670000001,115,1.0,2,0.847457627,0.433333333,1,1,10.0,1,0.9,True,False,0.4,False,0.4,True,0.6,GMean
4,4,0,5,8,6,1,4,4,2.0,22,0.0,0,0.896551724,0.5,0,0,4.5,1,0.75,True,False,0.5,True,0.7,False,0.4,Accuracy
7,4,0,6,14,21,1,5,7,2.0,39,0.0,0,0.8125,0.37142857100000004,0,0,4.571428571,1,0.8571,False,False,0.5,False,0.1,False,0.5,Accuracy
7,1,0,5,20,0,2,3,7,0.0,75,1.0,1,0.0,0.428571429,0,0,9.571428571,5,1.4286,True,True,0.7,True,0.8,True,0.9,Accuracy
4,4,0,6,8,6,1,5,4,2.0,22,0.0,0,0.896551724,0.5,0,0,4.5,1,0.75,False,False,0.0,False,0.1,False,0.0,Accuracy
6,4,0,5,12,15,1,4,6,2.0,35,0.0,0,0.838709677,0.3666666670000001,0,0,4.833333333,1,0.8333,True,True,0.8,True,0.7,True,0.9,Accuracy
14,3,10,19,42,91,12,9,2,2.0,170,0.0,0,0.5,0.28571428600000004,0,0,11.14285714,4,1.2143,False,False,0.0,True,0.6,True,0.7,Accuracy
6,4,0,6,12,15,1,5,6,2.0,34,0.0,0,0.838709677,0.4,0,0,4.666666667,1,0.8333,False,False,0.4,False,0.2,False,0.4,Accuracy
7,1,10,21,8,15,21,0,7,0.833333333,34,1.0,0,0.0,0.47619047600000003,0,0,3.428571429,1,0.8571,False,False,0.2,False,0.0,False,0.0,Accuracy
5,1,0,1,12,4,1,0,4,1.166666667,121,0.0,0,0.0,0.5,0,0,21.4,4,1.8,True,False,0.5,True,0.6,False,0.5,Accuracy
14,1,0,12,42,15,4,8,14,0.641025641,182,1.0,3,0.0,0.17857142899999998,0,0,11.78571429,3,1.2857,False,True,0.6,True,0.9,True,0.6,Accuracy
4,4,0,6,8,6,1,5,4,2.0,22,0.0,0,0.896551724,0.5,0,0,4.5,1,0.75,False,False,0.1,False,0.1,False,0.0,Accuracy
5,4,0,6,10,10,2,4,5,2.0,27,0.0,0,0.8666666670000001,0.45,0,0,4.4,1,0.8,False,False,0.4,False,0.1,False,0.5,Accuracy
24,1,0,13,67,94,3,10,24,0.739130435,274,1.0,4,0.0,0.175,0,0,10.25,6,1.2917,True,False,0.3,True,0.8,True,0.7,FMeasure
21,3,0,5,35,142,0,5,21,0.9,155,1.0,3,0.7142857140000001,0.23015873,1,1,5.952380952,1,0.9524,True,True,0.8,True,0.9,True,0.9,Accuracy
7,2,0,7,8,15,4,3,7,0.833333333,34,1.0,2,0.5,0.35714285700000004,0,0,3.428571429,1,0.8571,False,False,0.3,False,0.1,False,0.1,Accuracy
13,2,0,8,14,66,6,2,13,0.916666667,64,1.0,1,0.333333333,0.292307692,0,0,3.461538462,1,0.9231,False,False,0.4,True,0.7,True,0.6,Accuracy
7,2,0,6,10,7,5,1,7,0.666666667,42,1.0,0,0.5,0.47619047600000003,1,1,4.714285714,2,1.0,False,False,0.2,False,0.4,False,0.4,Accuracy
51,3,0,9,90,999,0,9,50,0.920952381,468,1.0,4,0.5,0.17401960800000002,1,1,7.764705882,1,0.9804,True,True,0.9,True,0.8,True,0.8,Accuracy
21,1,0,14,67,124,4,10,21,0.83,293,1.0,5,0.0,0.18095238100000002,0,0,12.71428571,6,1.4762,True,True,0.7,False,0.5,True,0.7,Accuracy
15,2,0,5,17,87,3,2,15,0.918367347,78,1.0,2,0.3,0.29333333300000003,0,0,3.733333333,1,0.9333,True,False,0.5,True,0.7,False,0.3,Accuracy
7,4,0,5,14,21,1,4,7,2.0,40,0.0,0,0.8125,0.37142857100000004,0,0,4.714285714,1,0.8571,True,True,0.6,True,0.6,True,0.9,Accuracy
2,5,0,1,3,1,0,1,2,2.0,7,0.0,0,0.99382716,1.0,0,0,2.5,1,0.5,False,True,0.8,True,0.6,True,0.7,Accuracy
15,3,0,3,24,43,0,3,15,0.833333333,112,1.0,1,0.78125,0.26666666699999997,1,1,6.066666667000001,1,0.9333,False,True,1.0,True,1.0,True,0.9,Accuracy
9,2,0,6,11,24,3,3,9,0.84375,48,1.0,2,0.428571429,0.288888889,0,0,3.888888889,1,0.8889,False,False,0.3,True,0.8,False,0.5,Accuracy
10,2,0,6,11,25,5,1,10,0.805555556,57,1.0,0,0.428571429,0.5,0,0,4.3,1,0.8,False,False,0.4,False,0.0,False,0.0,Accuracy
17,2,0,15,18,120,13,2,17,0.9375,84,1.0,1,0.272727273,0.367647059,0,0,3.470588235,1,0.9412,False,True,0.8,False,0.4,False,0.5,FMeasure
9,1,0,6,16,0,4,2,9,0.125,49,0.0,1,0.0,0.333333333,0,0,4.333333333,1,0.8889,True,True,0.7,False,0.3,False,0.3,Accuracy
17,2,7,11,22,88,7,4,16,0.857142857,122,0.857142857,2,0.68,0.235294118,0,0,5.764705882,2,1.0,True,True,0.8,False,0.4,False,0.3,Accuracy
15,2,0,11,17,83,7,4,15,0.908163265,82,1.0,3,0.3,0.20952381,0,0,4.0,1,0.9333,True,False,0.5,False,0.3,True,0.9,GMean
17,3,0,3,24,72,0,3,17,0.8660714290000001,115,0.857142857,1,0.757575758,0.270588235,1,1,5.352941176,1,0.9412,True,False,0.3,False,0.5,False,0.4,Accuracy
16,2,0,5,17,78,4,1,16,0.8666666670000001,99,1.0,0,0.3,0.40625,0,0,4.75,1,0.875,False,True,0.7,True,0.7,True,0.8,Accuracy
