wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,buggy,Accuracy_Pred,Accuracy_Pred_Prob,FMeasure_Pred,FMeasure_Pred_Prob,GMean_Pred,GMean_Pred_Prob,Function to be selected
3.0,1.0,0.0,2.0,11.0,1.0,1.0,1.0,3.0,0.5,68.0,1.0,0.0,0.0,0.666667,0.0,0.0,21.333333,3.0,1.3333,False,False,0.0,False,0.1,False,0.0,GMean
9.0,1.0,0.0,8.0,28.0,2.0,8.0,0.0,7.0,0.55,274.0,1.0,0.0,0.0,0.722222,0.0,0.0,28.888889,2.0,1.0,True,True,0.7,False,0.4,False,0.4,Accuracy
32.0,6.0,0.0,27.0,118.0,390.0,15.0,27.0,3.0,0.908113,992.0,0.666667,11.0,0.933045,0.46875,0.0,0.0,28.96875,2.0,1.25,True,True,0.9,True,0.7,False,0.5,GMean
2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,21.0,1.0,0.0,0.0,0.75,0.0,0.0,7.5,1.0,0.5,False,False,0.0,False,0.2,False,0.0,GMean
8.0,6.0,0.0,9.0,57.0,28.0,4.0,8.0,3.0,0.8857139999999999,245.0,0.8,0.0,0.984055,0.35,0.0,0.0,29.0,2.0,1.0,True,True,0.9,True,0.7,True,1.0,GMean
8.0,6.0,0.0,5.0,55.0,26.0,4.0,4.0,3.0,0.795918,387.0,1.0,0.0,0.984055,0.375,0.0,0.0,46.5,6.0,1.5,True,True,1.0,True,0.9,True,0.8,GMean
7.0,6.0,0.0,6.0,51.0,13.0,4.0,4.0,2.0,0.685185,265.0,1.0,2.0,0.988558,0.428571,0.0,0.0,35.57142899999999,1.0,0.7143,True,True,0.8,True,0.8,True,0.9,GMean
12.0,6.0,0.0,7.0,70.0,40.0,4.0,6.0,3.0,0.692308,412.0,0.769231,2.0,0.977376,0.31666700000000003,0.0,0.0,32.25,1.0,0.8333,True,True,0.6,True,0.6,True,0.8,GMean
7.0,6.0,0.0,7.0,35.0,21.0,5.0,5.0,2.0,0.833333,148.0,0.5,2.0,0.986301,0.428571,0.0,0.0,19.571429,1.0,0.8571,True,True,1.0,True,1.0,True,0.6,GMean
4.0,6.0,0.0,3.0,23.0,6.0,2.0,2.0,1.0,0.666667,88.0,1.0,0.0,0.993103,0.5,0.0,0.0,20.75,1.0,0.75,False,False,0.2,False,0.2,False,0.3,GMean
3.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,14.0,1.0,0.0,0.0,0.666667,0.0,0.0,3.0,1.0,0.6667,False,False,0.0,False,0.1,False,0.0,GMean
8.0,6.0,0.0,7.0,46.0,18.0,5.0,5.0,3.0,0.693878,227.0,1.0,2.0,0.986301,0.325,0.0,0.0,26.5,1.0,0.75,True,True,1.0,True,1.0,True,0.9,GMean
4.0,1.0,0.0,8.0,41.0,0.0,2.0,6.0,1.0,0.333333,355.0,1.0,1.0,0.0,0.625,0.0,0.0,85.5,5.0,2.0,True,False,0.4,True,0.7,False,0.5,GMean
2.0,2.0,0.0,2.0,15.0,0.0,1.0,1.0,2.0,0.0,103.0,0.0,0.0,0.666667,0.75,1.0,1.0,50.0,2.0,1.0,False,False,0.0,False,0.0,False,0.1,GMean
7.0,6.0,0.0,4.0,40.0,21.0,4.0,3.0,2.0,0.833333,251.0,1.0,0.0,0.986301,0.314286,0.0,0.0,33.714286,1.0,0.8571,True,True,0.9,True,0.8,True,0.9,GMean
7.0,1.0,0.0,18.0,57.0,0.0,1.0,17.0,7.0,0.5,639.0,1.0,1.0,0.0,0.571429,0.0,0.0,90.0,3.0,1.5714,True,True,0.9,True,0.8,True,0.8,GMean
8.0,6.0,0.0,4.0,52.0,18.0,3.0,3.0,1.0,0.532967,764.0,0.961538,1.0,0.984055,0.5,0.0,0.0,91.25,7.0,1.625,True,True,0.8,True,0.7,False,0.4,GMean
8.0,6.0,0.0,6.0,65.0,8.0,4.0,5.0,1.0,0.728571,432.0,0.9,1.0,0.984055,0.583333,0.0,0.0,51.75,1.0,0.875,False,True,1.0,True,1.0,True,1.0,GMean
3.100473,3.037199,0.0,2.658867,19.528876,1.763681,1.159578,1.554072,1.178099,0.5811810000000001,86.279258,1.0,0.0,0.8585010000000001,0.5767899999999999,0.0,0.0,20.889023,1.752055,0.820426,False,False,0.0,False,0.0,False,0.0,GMean
2.805228,1.0,0.523135,0.743984,3.142023,1.963457,0.544555,0.0,2.204914,1.0,19.70705,1.0,0.0,0.0,0.704967,0.0,0.0,5.724656,1.0,0.572016,False,False,0.0,False,0.0,False,0.0,GMean
2.958442,4.450998,0.0,2.887179,21.169584,0.048707,1.413752,1.037785,1.265155,0.424736,101.176433,0.709268,0.0,0.933189,0.6592180000000001,0.277937,0.340915,28.524345,1.11667,0.784208,False,False,0.0,False,0.0,False,0.1,GMean
3.0,1.0,0.790507,1.172649,7.842667999999999,1.889063,1.0,0.789191,3.0,0.897682,27.76511,1.0,0.0,0.0,0.666667,0.0,0.0,14.687453,1.017521,1.087451,False,False,0.0,False,0.1,False,0.0,GMean
2.910566,1.695764,0.808241,1.572648,14.393660999999998,0.418841,1.0,0.05274,2.509387,0.654316,40.008632,0.265903,0.0,0.272753,0.726333,0.474209,0.741008,36.79916400000001,1.357618,0.882232,False,False,0.0,False,0.0,False,0.0,GMean
3.751796,4.230884,0.0,4.831626,17.672097,2.790253,2.730302,3.496767,1.5425870000000002,0.561755,109.22503,0.90437,0.5423,0.135357,0.6584939999999999,0.0,0.0,38.740789,2.998367,0.90337,False,False,0.1,False,0.4,False,0.4,GMean
