dit,ca,moa,max_cc,buggy
1,1,1,1,FALSE
1,2.118203,0,3.32148,TRUE
1,3,4,4,FALSE
3,1,2,8,TRUE
2,4,1,1,FALSE
2,2,4,1,TRUE
2,0,0,0,FALSE
5,1,0,0,FALSE
5,1,0,0,FALSE
2,0,0,0,FALSE
1,5,2,3,FALSE
2,1,2,2,TRUE
3,1,0,2,FALSE
3,0,0,5,FALSE
2,12,0,4,FALSE
2.887381,0.143709,0,2.127529,TRUE
2,1,0,2,TRUE
3,2,0,7,TRUE
3.280251,1,1,1,TRUE
3,4,3,6,FALSE
4,2,0,2,FALSE
2.504334,2.441556,3.870651,1.119277,TRUE
1,1,1,1,FALSE
1,2,0,2,FALSE
1,0,0,1,FALSE
6,1,0,1,FALSE
4,4,0,1,FALSE
1,11,0,5,FALSE
2,10,1,4,FALSE
1,3,3,7,FALSE
1,12,0,1,FALSE
1,3,0,4,FALSE
1.962415,1,0,1.00876,TRUE
2,6,0,3,FALSE
2,0,0,4,TRUE
2.644552,1.305906,1.172905,3.979994,TRUE
2.906494,1,0,2,TRUE
3,2,1,2,FALSE
4,1,1,3,FALSE
1,2,0,8,TRUE
3,9,1,3,FALSE
1,0,0,3,FALSE
4,2,0,0,FALSE
3,1,1,1,FALSE
6,1,1,2,FALSE
1,1,0,4,FALSE
2,9,3,2,FALSE
4,4,0,1,FALSE
0,0,3,5,FALSE
2.099321,3.972238,1.805129,6.097056,TRUE
1,0,4,1,FALSE
3,1,0,1,TRUE
1,2,0,1,FALSE
6,1,1,1,FALSE
3.838793,1.603259,1.39612,3,TRUE
0,1,0,1,FALSE
1,1,0,5,FALSE
2,4,3,1,FALSE
3.292353,1.846465,2.9154,3,TRUE
1,13,0,1,TRUE
3,5,2,2,FALSE
1,13,0,1,FALSE
1.103531,1,1.257462,3.455583,TRUE
1,9,0,1,TRUE
5.885048,0.316878,0.856563,1,TRUE
6,1,0,1,FALSE
0,1,0,1,FALSE
6,1,0,0,FALSE
2.075408,1.958957,0,1,TRUE
1,0,0,1,FALSE
3,3,4,5,TRUE
2,1,1,3,TRUE
3,0,0,1,FALSE
1,3,0,4,FALSE
3,2,1,1,FALSE
0,1,0,6,FALSE
2.136472,1.746233,0,2,TRUE
1,7,0,1,TRUE
4,3,0,4,FALSE
1,1,0,6,FALSE
3,3,0,1,FALSE
1,0,0,5,FALSE
1,2.697518,0,4.720151,TRUE
3,4,0,4,FALSE
4,2,0,5,FALSE
3,1,0,2,FALSE
1,1,2,3,TRUE
2,3,4,3,TRUE
2.903726,1.781558,0,4.342863,TRUE
5,1,1,1,FALSE
2.979254,2,1.072846,1.219322,TRUE
1,2,3,4,FALSE
1,3,1,1,FALSE
1,1,0,1,FALSE
1,0,0,0,FALSE
3,2,0,1,FALSE
1.087567,3,0.128719,1,TRUE
2,3,0,1,TRUE
1,3,0,1,FALSE
1,4,0,5,FALSE
3,2,3,2,FALSE
3,1,1,3,FALSE
3,1,0,2,FALSE
1,1,0,1,FALSE
1,1,0,1,FALSE
1,1,0,5,TRUE
3,1,1,4,FALSE
2,1,1,1,TRUE
2,3,0,4,FALSE
4,1,1,1,TRUE
5,2,0,0,FALSE
4,0,0,2,FALSE
3,2,1,6,FALSE
1,0,3,1,FALSE
1,0,0,1,FALSE
2.562407,3.688036,0.543902,2.468811,TRUE
6,1,0,3,FALSE
4,1,2,3,TRUE
2,1,0,3,FALSE
1,1,0,6,FALSE
3,0,1,1,FALSE
3,1.210014,2.546711,5.330515,TRUE
6,1,0,1,FALSE
1,1,0,0,FALSE
2,1,0,2,FALSE
1,1,0,0,FALSE
1,1,0,0,FALSE
1,1,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
1,0,0,0,FALSE
4,4,1,1,FALSE
0,1,0,1,FALSE
3,4,0,4,TRUE
1,8,0,1,FALSE
4,1,0,1,FALSE
0,0,2,1,FALSE
0,1,0,4,FALSE
1,3,0,3,TRUE
2,3,0,2,TRUE
3,0,0,1,FALSE
1.456581,3,0,2.450453,TRUE
1,3,0,3,TRUE
3,1,1,1,FALSE
3,1,0,3,FALSE
1,0,0,1,FALSE
3,1,0,3,FALSE
2,7,1,1,FALSE
2.320812,2,2.874565,1.688302,TRUE
2,3,0,3,FALSE
3,0,0,3,FALSE
2,2,0,2,FALSE
5,7,0,1,TRUE
3,2,3,1,FALSE
1,1,0,1,FALSE
2.695764,0.596579,1.936551,2.357618,TRUE
2.225396,1.196689,0,1,TRUE
1,0,0,2,FALSE
1,11,0,1,FALSE
6,0,0,1,TRUE
1,2,3,3,FALSE
4,0,0,1,FALSE
4,3,0,1,FALSE
2,8,1,1,FALSE
1,11,0,1,FALSE
6,1,1,1,FALSE
1,1,0,0,FALSE
1,1,0,0,FALSE
1,2,0,1,FALSE
6,1,0,1,FALSE
3,1,0,3,FALSE
1,5,1,2,FALSE
4,0,0,1,FALSE
4,0,0,1,FALSE
0,1,0,4,FALSE
2,2,0,1,FALSE
3,2,0,2,FALSE
1,4,0,4,FALSE
3,3,1,3,FALSE
1,1,0,5,FALSE
2,0,1,3,FALSE
1,0,1,1,FALSE
1,1,0,1,FALSE
1.582614,1.802271,1.245802,3.924151,TRUE
3,3,1,3,TRUE
4,3,0,1,FALSE
2,1,3,2,TRUE
1,2,0,1,FALSE
2,3,1,3,FALSE
3,1,0,5,TRUE
1,1,0,4,FALSE
3,0,0,1,FALSE
4,0,0,0,FALSE
3,2,1,1,FALSE
1.387263,1.504166,0,1,TRUE
2.023565,1.74624,2,3,TRUE
4,2,1,3,TRUE
3,0,0,1,FALSE
0,2,0,2,FALSE
5.793489,1.379585,0.172992,1,TRUE
1,1,0,4,FALSE
1,3,3,1,FALSE
4,1,0,1,FALSE
5,4,0,2,TRUE
2.159658,1.666118,0,2,TRUE
4.389628,4,0,2,TRUE
1,1,0,5,FALSE
1,1,0,1,FALSE
2,1,0,0,FALSE
5,2,2,1,FALSE
3,0,0,4,FALSE
4,1,0,1,FALSE
2,1,0,3,FALSE
3,0.351534,0,1,TRUE
3,1,1,4,FALSE
1,1,0,1,TRUE
3,1,2,1,FALSE
1,1,0,1,TRUE
4,2,2,1,FALSE
1,9,0,1,FALSE
2,2,0,1,FALSE
0,1,2,1,FALSE
0,1,2,1,FALSE
2,8,1,2,FALSE
2,1,0,1,FALSE
5,4,0,1,TRUE
3,1,1,2,FALSE
3,1,1,2,FALSE
2,3,0,0,FALSE
5,1,0,0,FALSE
1,7.64057,0,1,TRUE
5,1,0,2,TRUE
4,2,0,1,FALSE
1,5,1,3,FALSE
5,1,2,1,FALSE
1.192955,1,1,1,TRUE
3,1,0,1,FALSE
2,3,0,1,FALSE
3,2.011576,0.364014,3.351926,TRUE
2,2,2,4,TRUE
4,1,0,1,FALSE
1,0,2,2,FALSE
3,1,2,1,FALSE
2,1,2,1,FALSE
2.123995,0.139597,0,2.967964,TRUE
1.702396,1.797021,0.288408,1.82806,TRUE
4,1,0,1,FALSE
1,0,0,1,FALSE
2.22966,2.6948,1.749347,3.32564,TRUE
3,1,0,2,TRUE
3,1,1,4,FALSE
3,0,2,3,TRUE
1.197255,2.395164,0.526209,2.705933,TRUE
1,1,1,1,TRUE
3,2,1,3,FALSE
4,6,0,1,FALSE
4,3,1,2,FALSE
4,4,0,2,TRUE
2,0,2,2,FALSE
2.872178,1.466653,1,1,TRUE
1,2.966704,0.017501,1,TRUE
1,1,0,1,FALSE
1,9,0,1,FALSE
1,9,0,1,TRUE
3,5,2,1,FALSE
1,2,0,1,FALSE
2,2,0,1,FALSE
1.574086,4.758926,0.751911,2.430195,TRUE
1,5,1,1,TRUE
3,2,1,1,FALSE
2,2,0,0,FALSE
2,2,0,1,FALSE
5,1,1,1,FALSE
4,0,0,1,FALSE
2,5,0,1,FALSE
3,1,0,1,FALSE
1,3,1,1,TRUE
2,2,0,1,FALSE
1,2,0,4,TRUE
5,1,0,1,TRUE
3.912984,2.406689,0,1,TRUE
5,2,1,1,TRUE
1,2,0,4,FALSE
1,1,0,1,FALSE
1,1,0,1,FALSE
1,0,0,0,FALSE
2,1,0,1,FALSE
2.163971,1.352087,0.291196,3.145875,TRUE
2.078224,1,0.797788,1.015282,TRUE
1,1,1,5,FALSE
1,1,0,1,FALSE
1,3,0,3,TRUE
5,0,0,2,FALSE
1,1,1,1,TRUE
3,0,1,2,FALSE
1,0,0,0,FALSE
5,4.900935,0.486203,1,TRUE
1,0,0,0,FALSE
2,1,0,1,FALSE
1,2,0,3,TRUE
1,1,0,3,FALSE
2,1,0,1,FALSE
3,2,0,2,TRUE
3,2,1,4,FALSE
2,4,2,2,FALSE
1,3,0,2,FALSE
3,5,1,1,TRUE
5,1,0,1,TRUE
5,1,0,1,FALSE
5,2,0,1,FALSE
1,4,0,1,FALSE
5,2,0,1,FALSE
0,1,0,1,FALSE
3,0,0,2,FALSE
3,4,0,2,TRUE
0,1,0,1,FALSE
2,0,0,0,FALSE
2,3,0,1,TRUE
5,2,0,1,FALSE
1,0,0,0,FALSE
5,1,0,1,FALSE
1.479139,1,1,1,TRUE
2,2,0,4,FALSE
2,1,0,0,FALSE
1,1,0,1,FALSE
3,1,1,1,FALSE
2,1,2,1,FALSE
3,0,0,1,FALSE
5,4,1,1,FALSE
1,8,0,1,FALSE
1,8,0,1,FALSE
1,3,0,4,FALSE
3,2,2,3,TRUE
2,2,0,1,FALSE
1,1.175763,0.797977,3.968032,TRUE
1.731645,1,0,1.193097,TRUE
4,1,2,2,FALSE
5,0,0,1,FALSE
4,1,0,0,FALSE
1,6,0,1,FALSE
2,2,0,1,FALSE
0,2,0,2,FALSE
1,1,2,3,FALSE
1,6,0,2,TRUE
5,0,0,1,FALSE
2,1,0,1,FALSE
1,1,2,1,FALSE
4,1,0,3,FALSE
2,3,0,1,FALSE
1,1,0,1,FALSE
1,0,0,2,FALSE
1,3,1,1,FALSE
2.527681,2.614105,2.100087,3.532454,TRUE
1,0,0,1,FALSE
3,1,1,1,TRUE
1,3,1,2,FALSE
2,0,0,1,FALSE
1,1,0,3,FALSE
3,0,1,1,FALSE
1,1,0,1,TRUE
3,3,1,4,TRUE
4,1,1,3,FALSE
3,0,0,0,FALSE
3,0.299159,0,0,TRUE
3,2,0,1,FALSE
3,0,0,0,TRUE
2,1,0,1,FALSE
3,0.254924,0,0,TRUE
5,2,0,1,FALSE
2,0,0,2,FALSE
1,5,0,1,FALSE
2,1,0,3,FALSE
3,3,0,1,FALSE
2,0,0,3,FALSE
5,1,1,1,TRUE
2,2,0,1,FALSE
3,4,0,2,TRUE
1,1,1,1,FALSE
2,1,0,2,TRUE
3,1,1,1,FALSE
3,1,0,0,TRUE
3,1,0,0,TRUE
3,6,1,1,FALSE
3,1.068941,1,1,TRUE
1,1,0,3,FALSE
1,8,0,1,FALSE
1,0,0,1,FALSE
2.597704,1,0,1,TRUE
3,1,1,1,TRUE
1.985457,3.535696,0,2.452163,TRUE
5,1,0.433603,1,TRUE
1,0,0,1,FALSE
4,3,0,2,FALSE
4,1,1,2,FALSE
4,1,1,2,FALSE
1,4,2,1,FALSE
3,1,0.456462,1,TRUE
3,1.519395,1.005913,2.635966,TRUE
3,1,1,1,TRUE
3,2,2,2,TRUE
1.173136,1.330422,0.073083,3.723328,TRUE
1,2,0,3,FALSE
1,2,1,3,TRUE
3,1,1,1,FALSE
3,1,0,1,TRUE
1,1,0,3,FALSE
2.738177,1.665921,0.004632,1,TRUE
4.673849,1,0.040792,1,TRUE
3,1,0,1,FALSE
1,1,0,1,TRUE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
2,0,0,1,FALSE
1,1,1,3,FALSE
1,1,0,3,FALSE
5,1,0,1,FALSE
2.26157,1,0,2,TRUE
3,0,0,0,FALSE
1,7,0,1,FALSE
1,7,0,1,FALSE
2,1,0,1,TRUE
4,1,1,3,FALSE
2,2,0,1,FALSE
1,5,0,1,FALSE
1,7,0,1,FALSE
1,3,1,1,TRUE
4,1,1,1,TRUE
3,1,0,1,TRUE
1.165251,3.507281,0,1.152488,TRUE
4,1,0,1,FALSE
1,7,0,1,FALSE
3,1,0,1,FALSE
4,1,0,1,FALSE
2,0,1,1,FALSE
1,2,1,4,TRUE
1,1,0,1,FALSE
3,0,0,2,FALSE
3,0,0,1,FALSE
2.815618,1.743412,0,0.196068,TRUE
3,1,1,1,TRUE
2,2,0,1,FALSE
3,1,0,1,FALSE
1,6.809062,0,1,TRUE
1,1,1,1,FALSE
0,0,0,1,FALSE
0,0,0,1,FALSE
2,1,1,4,TRUE
0,1,1,1,FALSE
1,1,1,3,FALSE
1,0,0,1,FALSE
1,1,0,1,FALSE
3,0,1,1,FALSE
1,4,0,1,FALSE
4,1,0,1,FALSE
3,1,0,2,FALSE
3,2,1,1,FALSE
1,1,0.540381,1,TRUE
4,3,0,1,FALSE
1,0,0,1,FALSE
1,0,0,2,FALSE
4,4,0,1,TRUE
2,0,0,2,FALSE
3,1,0,1,TRUE
1,7,0,1,TRUE
4,1,1,1,FALSE
1.166907,1,0,1,TRUE
1,4,0,1,FALSE
3,0.580523,0,0.483253,TRUE
2,2,0,1,FALSE
1.14742,1.696095,0,0.033994,TRUE
0,0,0,1,FALSE
1.679317,3.782934,0,1.340817,TRUE
3,1,1,1,FALSE
3,1,0,1,FALSE
1,1,0,1,FALSE
1,0,0,1,FALSE
3,1,1,1,FALSE
1,1,0,1,FALSE
3,1,1,1,FALSE
3,3,1,1,TRUE
1,1,0,1,FALSE
2,6,0,2,FALSE
4,2,0,1,TRUE
1,3,0,2,FALSE
1,1,0,1,TRUE
2,2,1,1,FALSE
1,3,1,1,FALSE
1,6,0,1,FALSE
4,0,0,1,FALSE
1,1,0,1,FALSE
1,2,0,1,FALSE
1,3,0,2,FALSE
3,1,0,1,FALSE
2.367405,1,0,1.313208,TRUE
1,0,0,1,FALSE
1,5,0,1,FALSE
3,0,0,1,FALSE
1.337182,2.444539,0,1,TRUE
3,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
1,0,0,1,FALSE
4,1,0,1,FALSE
1,0,0,1,TRUE
1,1,1,1,TRUE
1,1,1,1,FALSE
1,1,0,2,FALSE
1,1,0,1,FALSE
3,1,0,2,FALSE
1,0,0,1,FALSE
4,1,0,1,FALSE
4,1,0,1,FALSE
1,6,0,1,FALSE
1,1,1,1,FALSE
1,1,0,1,FALSE
1,1,1,1,FALSE
1,1,0,1,FALSE
3,1,0,1,FALSE
1,0,0,1,FALSE
1,2,0,1,FALSE
0,1,0,1,FALSE
2,0,1,1,FALSE
1,2,1,1,FALSE
1,2,1,1,FALSE
2,1,1,2,TRUE
1,5,0,1,FALSE
1,1,0,1,FALSE
2.581519,1.850911,0,1.397088,TRUE
1,1,0,1,FALSE
1,1,0,1,FALSE
1,1,0,1,FALSE
1,0,0,1,FALSE
1,2,0,1,FALSE
3,1,0,1,FALSE
1,0,0,1,FALSE
1,0,0,2,FALSE
1,6,0,1,TRUE
1,2,0,1,FALSE
3.318474,1.775426,0.81577,1,TRUE
3,0,0,1,FALSE
3,1,0,1,FALSE
3,2,0,2,FALSE
3,1,0,1,FALSE
1,0,0,1,FALSE
1,5,0,1,FALSE
1,5,0,1,FALSE
1,5,0,1,FALSE
3,1,0,1,FALSE
2,3,1,1,FALSE
1,4,0,1,FALSE
1,6,0,1,FALSE
1,1,0,1,FALSE
1,1,0,1,TRUE
1,2,1,1,FALSE
1,0,0,2,FALSE
1,1,1,1,TRUE
3,4.447072,1,1,TRUE
4,0,0,1,FALSE
3,0.721122,0,0.14693,TRUE
1,2,0,1,FALSE
1,2,0,1,FALSE
2,4,1,1,FALSE
1,5,0,1,FALSE
1,5,0,1,FALSE
1,5,0,1,FALSE
1,1,0,1,FALSE
1,1,0,1,FALSE
3,1,1,1,FALSE
1,5,0,1,FALSE
1,5,0,1,FALSE
2,0,0,1,FALSE
2.241051,0.782704,0,1,TRUE
3,1,1,1,FALSE
1,1,0,1,FALSE
1,1,1,1,FALSE
1,0,0,2,FALSE
1,1,0,1,FALSE
