cbo,lcom,ce,npm,loc,avg_cc,buggy
1,0,1,1,7,0,FALSE
8,0,8,8,362,0.7778,FALSE
3,10,1,5,149,1.8,FALSE
19,70,19,16,562,0.9,FALSE
21.109783,116.234028,21.360418,17.129142,668.958714,1.309663,TRUE
9,103,3,15,239,1.3333,FALSE
24.678207,153.792318,20.254433,16,480.150217,1.215778,TRUE
20.367267,218.415893,20.97822,18.653369,649.97105,1.409407,TRUE
16.830529,142.715355,17.861549,15.758327,680.9842,1.146786,TRUE
8.704108,24.233713,6.442247,4.115875,19.307214,1.019913,TRUE
4,3,0,3,36,1.3333,FALSE
28.754357,193.968053,29.813794,18.437098,588.689037,1.5208,TRUE
12.669182,66.533111,6.332088,11.58426,265.011772,1.020476,TRUE
5,231,0,23,114,0.9565,FALSE
2,1,2,3,74,0.6667,FALSE
25,238,25,27,487,1.25,FALSE
18,47,18,16,679,1.0909,TRUE
12,137,4,18,242,0.8947,FALSE
1,149,1,18,177,1.4737,FALSE
22.700014,69.890465,20.40764,18.012642,658.074576,1.263303,TRUE
24,238,24,19,641,1.4483,TRUE
13,190,6,20,20,1,TRUE
24.664989,182.265974,29.455335,17.914524,516.577526,1.462881,TRUE
11.860077,110.066031,3.169882,18.537435,17.235887,1,TRUE
19.192856,87.45299,22.713947,16,655.900554,1.331397,TRUE
26,222,26,22,653,1.88,FALSE
30,139,30,16,506,1.5789,TRUE
18.288252,149.835977,22.004821,16,404.312811,1.335087,TRUE
6,53,6,11,180,2.0909,FALSE
7,6,3,5,79,2,FALSE
4,0,1,5,38,0.8,FALSE
7,91,2,15,75,0.9333,FALSE
3,3,3,3,40,2,FALSE
1,0,1,1,8,0,FALSE
11,79,11,18,174,1.1111,FALSE
7,12,7,8,238,2.2222,FALSE
9,190,5,20,20,1,FALSE
2,20,2,7,127,1.25,FALSE
11,4,9,4,74,2,FALSE
6,8,4,4,118,1,FALSE
19.776505,146.308341,24.235723,16,410.805187,0.977215,TRUE
3,184,0,21,113,0.9524,FALSE
28.635047,219.062206,28.706802,17.657007,602.009929,1.552056,TRUE
18.616939,161.112389,21.360446,17.729759,673.016281,1.092552,TRUE
18.137634,57.126977,17.064126,14.752162,238.283503,1.132232,TRUE
17.774834,119.130067,18.366003,12.550358,287.063779,1.140763,TRUE
5,9,5,5,87,1.6667,FALSE
6,0,0,1,1,1,FALSE
17.447783,50.231367,15.810401,9.315261,181.746356,0.941717,TRUE
6,64,6,13,254,1,FALSE
19,54,19,11,224,1.1538,TRUE
23,159,23,21,439,1.2609,FALSE
8,77,8,18,314,1.2632,FALSE
1,0,0,0,0,0,FALSE
6.808628,30.831876,6.544855,9.562809,9.881766,1,TRUE
1,1,0,2,32,1,FALSE
4,0,1,0,0,0,FALSE
6,0,6,11,132,1,FALSE
2,0,1,0,0,0,FALSE
2,0,1,0,0,0,FALSE
3,0,1,0,0,0,FALSE
3,0,1,0,0,0,FALSE
3,0,1,0,0,0,FALSE
3,0,1,0,0,0,FALSE
