cbo,rfc,ca,npm,lcom3,buggy
9,39,7,34,0.794118,FALSE
5,28,4,41,0.94152,FALSE
12,97,8,12,0.917647,FALSE
6,52,5,1,0.79021,FALSE
1,4,1,1,1,FALSE
3,19,2,9,0.925,FALSE
9,45,6,8,0.5625,TRUE
9,24,8,3,0.851852,FALSE
12,13,12,24,0.878788,FALSE
4,45,3,4,0.875,FALSE
4,40,4,3,0.767857,FALSE
11,124,8,4,0.912088,FALSE
1,10,1,5,1,FALSE
9,4,9,2,1,FALSE
14,42,11,52,0.907407,TRUE
2,16,2,10,0.740741,FALSE
12.294336,42.867781,6.79789,48.081821,0.7305,TRUE
13.24744,49.818737,8.307069,8,0.618124,TRUE
9.041601,99.122132,7.605452,5.64922,0.612267,TRUE
10.910421,113.745332,14.836417,5.472892,0.956045,TRUE
9.398594,44.171254,9.788619,32.429064,0.621241,TRUE
14.416175,48.561365,10.009254,45.243887,0.778066,TRUE
12.151238,44.837976,9.877131,20.865004,0.89713,TRUE
