wmc,cbo,lcom,ca,ce,npm,lcom3,loc,dam,amc,max_cc,avg_cc,buggy
10.299146,19.775426,55.761737,4.310207,23.909935,7.591292,0.812245,917.13839,0.976866,69.593203,4.611437,2.072596,TRUE
28.082487,13.055467,148.8196,4.915037,19.883846,18.292786,0.856103,729.941705,0.997379,23.667112,5.910195,2.562231,TRUE
8,9,28,2,7,6,1.142857,544,1,66.875,4,1.625,TRUE
23.121672,10.074612,40.230281,1.196689,5.282524,16.108433,0.866344,619.808009,1,53.040233,9.162013,1.801836,TRUE
28.064722,15.796547,154.669017,2.290285,19.461696,19.743672,0.843307,724.252935,0.982335,24.095308,5.775024,2.69981,TRUE
25,6,276,5,1,25,0.958333,136,1,3.96,1,0.96,FALSE
27.223637,21.897157,19.970574,4.893238,12.576848,14.983772,0.874059,924.327403,0.971226,31.431393,4.760704,1.709464,TRUE
29.037483,20.359256,218.701462,2.576495,15.730079,24.441602,0.780322,719.7255,1,23.70704,5.862984,1.751088,TRUE
7.364694,24.305824,1.525028,5.736189,6.096212,5.052923,1.838742,39.504982,0.998907,2.73145,1.261627,1,TRUE
9,20,36,1,20,5,2,476,0,51.888889,9,3.1111,FALSE
2,3,1,2,1,1,2,98,0,48,7,3.5,FALSE
38.965997,20.189576,176.629468,2.279847,18.424705,34.355124,0.782258,732.090195,1,18.588271,5.283961,1.650278,TRUE
25,10,224,0,0,25,0.905303,304,1,10.72,1,0.96,FALSE
21,4,0,0,0,19,0.858333,233,0.5,9.809524,2,1,FALSE
21,12,160,2,0,15,0.9125,797,1,36.571429,3,1.0952,FALSE
5,5,0,1,4,5,0.75,334,1,65,11,3,FALSE
23,7,213,4,3,15,0.966403,284,0.478261,10.347826,5,1.4348,FALSE
10,20,45,6,16,9,2,192,0,18.2,3,1.7,FALSE
15.697192,10.270217,198.625081,1.041043,3.147794,14.785226,1.127801,620.415251,1,56.446372,7.08925,1.728279,TRUE
18,23,151,18,5,15,0.970588,638,1,34.333333,5,1.5556,FALSE
10.618923,37.398357,34.495296,22.303251,8.822847,8.155161,2,9.700816,0,0,1,1,TRUE
3,11,1,1,10,3,0,215,1,70.333333,4,1.6667,FALSE
3,4,3,1,3,0,1,95,0,30.333333,3,1,FALSE
10,27,15,25,2,10,0.755556,138,1,12.3,6,1.9,FALSE
30,27,267,16,12,30,0.873563,543,1,16.8,5,1.4667,FALSE
28,11,118,5,10,18,0.994026,719,0.967742,23.571429,6,2.7143,TRUE
25,10,234,6,4,23,0.591667,257,1,9.08,2,1.16,FALSE
5,4,8,1,0,4,0.875,76,1,13.8,3,1,FALSE
5,6,10,3,3,5,2,48,0,8.6,0,0,FALSE
13,22,0,15,8,11,0.416667,267,0.333333,19.307692,7,2.3077,FALSE
7,3,0,3,1,7,0.666667,77,1,9.285714,1,0.8571,FALSE
15,17,105,3,0,7,1.071429,583,1,37.8,1,0.9333,FALSE
15,19,39,2,18,6,0.827381,451,1,28.266667,6,1.9333,FALSE
4,15,0,15,0,2,0.5,68,0.25,15,4,1.25,FALSE
2,6,1,1,6,2,2,46,0,22,5,2.5,FALSE
17,15,84,0,0,15,0.851563,413,1,22.823529,6,1.2353,FALSE
19,8,99,2,7,3,0.788889,329,1,16.052632,5,1.5789,TRUE
7.803653,14.647902,2.980294,5.007657,7.074638,6.820199,1.808982,35.949045,0.990913,3.840248,1,0.828961,TRUE
1,3,0,2,1,1,2,5,0,4,0,0,FALSE
5.131888,10,8.510028,3.254924,7,4.835568,0.741656,306.147429,0.843793,55.906245,1,0.760965,TRUE
3,6,3,2,4,2,2,67,0,21.333333,7,3,FALSE
6.925457,11.507979,9.966917,3.231419,0.001085,5,0.547334,305.894528,1,44.701337,1.106602,1.003548,TRUE
11,23,31,21,4,8,0.8,77,0.833333,5.454545,1,0.8182,FALSE
12,3,66,0,0,12,2,67,0,4.583333,1,0.9167,FALSE
13.409389,12.385308,54.650786,3.336973,0,5.798197,0.772295,406.539568,1,26.994839,6.391231,1.246874,TRUE
2,2,0,1,1,2,0,99,1,47.5,3,1.5,FALSE
8,27,28,14,14,8,2,8,0,0,1,1,TRUE
10,17,11,1,0,5,0.766667,491,1,47.1,2,1.1,TRUE
13,8,4,0,0,13,0.666667,134,1,9.076923,1,0.9231,FALSE
18.381096,8.832349,59.892582,3.981492,7,3.153548,0.907766,337.7307,0.570483,28.62295,2.268629,1.157721,TRUE
15.989585,10.890217,35.486573,7.565894,1.759721,12.258284,0.819544,124.968618,1,8.36064,1.528196,1.032265,TRUE
5,10,0,3,7,5,0.5,305,1,59.4,1,0.8,TRUE
19,8,171,8,0,19,2,19,0,0,1,1,FALSE
