dit,ca,ce,lcom3,loc,moa,ic,buggy
6,2,10,0.833333,557,6,2,FALSE
6,4,3,0,162,1,3,FALSE
1,1,0,2,179,0,0,FALSE
1,28,0,2,3,0,0,FALSE
3,1,11,0.8,195,2,3,FALSE
5.092564,0.920374,5.814378,1.586564,320.20238,3.051786,0.400799,TRUE
2,1,11,1.125,136,4,1,FALSE
3.868466,2.326803,8.683463,1.392675,230.166786,2.62107,0.079552,TRUE
2,10,9,0.805556,193,1,1,FALSE
1,1,11,2,119,0,0,FALSE
2,0,29,2,441,0,0,FALSE
1,15,18,0.5,411,1,0,FALSE
3.779833,2.422761,7.162635,1.015864,342.451135,1.213469,0.266417,TRUE
1,1,11,0,204,1,0,FALSE
5,1,4,0,47,1,2,FALSE
6,0,2,0.571429,264,0,2,FALSE
7,3,8,0.777778,780,1,2,FALSE
1,1,2,0.795238,923,4,0,FALSE
1,26,2,2,218,0,0,FALSE
5,17,25,0.907143,564,4,0,FALSE
1,2,11,0.5,228,0,0,FALSE
6,1,9,0.480519,748,3,2,FALSE
4,24,0,2,5,0,0,FALSE
1,4,1,2,17,0,0,FALSE
1,2,17,0.977778,401,2,0,FALSE
3.116036,18.412051,10.308667,0.687067,747.692461,0.576779,0.560159,TRUE
2,1,7,0.8,541,4,1,FALSE
4.646176,1.486126,14.749885,1.95221,234.751845,1.968403,0.008205,TRUE
5,17,25,0.909722,590,3,0,FALSE
1.445741,2.402863,17.922338,1.204887,209.289276,0.208836,0.093365,TRUE
2,1,15,1,179,0,1,FALSE
2,1,9,0,172,1,1,FALSE
2,2,10,0.666667,94,4,1,FALSE
1.762699,4.182793,16.984619,1.431624,209.285172,0.330617,0.196583,TRUE
6,1,3,0.818182,269,0,2,FALSE
1,0,6,2,325,0,0,FALSE
2,1,21,0.8,455,0,1,FALSE
8,2,2,2,13,0,0,FALSE
2,1,2,2,74,0,0,FALSE
3,1,9,2,113,0,0,FALSE
5.005093,0.613468,9.036982,1.475966,310.40266,3.271526,0.365972,TRUE
2,1,6,0.5,155,0,0,FALSE
1,10,11,0.712121,533,3,0,FALSE
1,5,5,0.7,551,0,0,FALSE
2,4,23,0.75,519,4,0,FALSE
1,0,1,0.357143,473,0,0,FALSE
2.237951,4.462796,11.937363,1.844764,174.431616,0.525688,0.279245,TRUE
1,14,5,0.845865,603,5,0,FALSE
1,1,0,0.516667,258,0,0,FALSE
6,1,11,0.784314,522,2,2,FALSE
7,2,12,0.782051,799,0,0,FALSE
4.355171,4.190224,10.814675,0.762885,367.894093,0.39612,0,TRUE
2,3,8,1,61,0,1,FALSE
2.163952,2.720721,17.376982,1.759793,159.764487,0.633798,0.398097,TRUE
2,11,11,0,170,0,1,FALSE
4.618138,3.493065,16.737326,1.304291,530.363024,3.102316,0.857461,TRUE
2,1,4,2,86,0,1,FALSE
1,21,0,0.666667,28,0,0,FALSE
3.364374,2.948555,9.73594,0.887577,323.978408,0.620444,0.026981,TRUE
2,4,2,2,140,0,0,FALSE
1,3,0,0.1,514,0,0,FALSE
2,4,14,0.482143,252,4,1,FALSE
2,2,6,0.766234,378,2,1,FALSE
4,1,2,0.794872,427,0,1,FALSE
1,1,12,0.519481,675,3,0,FALSE
2,1,4,0.728395,278,1,1,FALSE
7,2,12,0.740741,814,3,1,FALSE
5,2,2,0.333333,148,1,0,FALSE
4.5057,1.096638,11.458574,1.075323,314.595251,1.151194,0.435658,TRUE
3.205609,0.971839,12.128419,1.467327,235.33044,0.982612,0.608845,TRUE
1.614513,0.522013,11.968757,1.233877,273.680724,0.691841,0.512874,TRUE
1,1,7,1,318,0,0,FALSE
2.454225,0.370937,13.283941,1.180243,246.172303,0.39848,0.483103,TRUE
5.354822,1.215487,9.033372,0.985774,350.778477,1.396585,0.695841,TRUE
1,4,6,0.269231,721,1,0,FALSE
