wmc,dit,cbo,lcom,ca,ce,npm,dam,mfa,amc,buggy
4,1,13,6,6,7,3,0,0,5.75,TRUE
14,2,9,27,1,8,7,0.777778,0.478261,36.214286,TRUE
10,1,8,39,1,7,6,1,0,31.3,TRUE
0,1,0,0,0,0,0,0,0,0,TRUE
6.026139,1.01005,4.743984,3.372098,1,4.154201,2.409827,0.003561,0.162436,25.101556,FALSE
10,1,8,13,2,6,6,0.5,0,38.1,TRUE
3.358328,1.377038,3.435459,7.944044,0.082086,1.349055,1,0,0.554016,91.803071,FALSE
4,4,3,4,2,1,4,0,0.953488,18.75,TRUE
7.923191,5.380023,3.665144,4.52183,1.860403,3,1.209069,0,0.168049,41.265795,FALSE
6,6,9,9,1,9,1,0.5,0.993661,44.833333,TRUE
6.824359,2.777239,3.248009,9.504233,1.694094,3,1.181199,0,0.839273,88.337637,FALSE
13,2,5,48,0,5,11,0,0.6,18.461538,TRUE
2,6,4,1,2,3,1,0,0.998418,91,FALSE
4.098105,5.839371,3.837915,7.037681,0.720153,3,1.726772,0,0.066797,59.594873,FALSE
10,2,9,1,1,8,5,0.666667,0.578947,44.8,TRUE
5,2,4,8,1,3,3,1,0.870968,22.8,TRUE
7,5,12,0,7,6,4,1,0.993506,15.857143,TRUE
2.74516,2.833588,3.707586,2.820158,1.253008,3,6.237724,0,0.96653,56.202245,FALSE
4.66853,4.873021,3.522395,1.497744,0.393379,2.263939,1,0,0.110099,92.065365,FALSE
4.845274,3.297964,2.248524,0.488843,1.990746,2.938729,1.846452,0,0.979974,55.396797,FALSE
3,3,1,1,1,0,3,1,0.95122,5.333333,TRUE
8,1,6,0,5,1,8,1,0,18.125,TRUE
3,6,4,1,1,3,2,1,0.996992,18,TRUE
8,2,4,4,1,3,4,1,0.708333,31.125,TRUE
8,1,10,6,0,10,2,0,0,42.625,TRUE
3,2,5,3,2,3,3,0,0.928571,18,TRUE
3.208064,4.395942,3.110831,6.24436,0.593467,3,1.638175,0,0.083039,86.099694,FALSE
4.917278,5.24077,3.815616,0.959682,1.81878,0.64443,1.166228,0,0.985916,36.109837,FALSE
2,1,3,1,0,3,2,0,0,41.5,TRUE
1,1,8,0,8,0,1,0,0,0,TRUE
1,1,8,0,8,0,1,0,0,0,TRUE
2.007891,3.917565,3.871851,2.759173,0.423505,3,1.143624,0,0.480848,88.561616,FALSE
1,1,8,0,8,1,1,0,0,0,TRUE
5,1,9,10,0,9,2,0,0,28.8,TRUE
10,1,3,0,2,1,9,0,0,23.4,TRUE
8.271387,1.08841,5.319709,8.062293,0,3.197141,6.453132,0,0.844504,36.337373,FALSE
10,3,5,0,1,4,10,1,0.652174,15.8,TRUE
4,4,3,0,1,2,4,1,0.875,8.25,TRUE
2,1,3,1,1,2,2,0,0,63,TRUE
4,4,3,0,1,2,4,0,0.875,8.75,TRUE
7,1,2,0,1,1,7,0,0,33.428571,TRUE
8,2,0,28,0,0,8,0,0.65,1.625,TRUE
9,2,3,22,1,2,5,1,0.787879,11.222222,TRUE
2.917513,4.24695,0.822187,2.477634,0.042482,2.965154,1.926803,0,0.351166,51.384279,FALSE
8,2,10,18,6,4,7,0.75,0.571429,10.875,TRUE
2,1,2,1,2,0,2,0,0,28.5,TRUE
4.369825,1.799562,4.038639,5.536394,1,3.02639,2.478419,0.069228,0.870696,17.285269,FALSE
4,1,1,2,1,0,2,0,0,13.5,TRUE
9,3,2,0,1,1,8,1,0.876923,8.666667,TRUE
12,2,5,18,1,5,11,0.8,0.642857,15.666667,TRUE
11,1,9,29,5,5,8,0,0,16.636364,TRUE
6,2,5,3,0,5,6,1,0.615385,38.166667,TRUE
8,1,6,22,0,6,8,0,0,18.25,TRUE
2,1,2,0,1,1,1,1,0,8,TRUE
5,2,4,4,1,3,1,0.833333,0.85,37.8,TRUE
6,2,5,5,2,4,1,0.75,0.938462,14,TRUE
