dit,cbo,ce,ic,max_cc,buggy
1,8,7,0,1,FALSE
1,15,15,0,1,TRUE
2,17,17,0,5,TRUE
4,14,14,0,1,TRUE
2,8,7,2,14,TRUE
2,13,11,0,14,FALSE
2,24,20,1,1,TRUE
2,12,11,0,6,FALSE
3,5,4,1,16,TRUE
1,7,0,1,5,TRUE
1,10,8,0,7,TRUE
1,17,0,0,2,TRUE
2,9,9,1,2,TRUE
1,5,3,0,10,TRUE
2,19,19,0,15,TRUE
1,3,1,0,2,FALSE
1,7,6,0,6,TRUE
4,8,6,1,5,TRUE
2,12,12,0,1,TRUE
2,14,3,0,0,FALSE
1,9,1,0,7,TRUE
2,11,7,1,1,FALSE
2,9,9,1,3,FALSE
3,7,7,0,5,TRUE
1,0,0,0,1,FALSE
2,19,15,0,3,TRUE
2,8,3,1,8,FALSE
2,5,2,1,6,FALSE
1,17,0,0,1,TRUE
2,2,1,1,1,FALSE
3,2,0,1,14,TRUE
5,5,0,0,0,FALSE
3,13,12,2,6,TRUE
2,11,2,1,2,FALSE
2,10,10,1,1,TRUE
1,16,3,0,1,FALSE
1,14,0,0,1,TRUE
2,24,18,0,4,FALSE
2,6,6,1,3,TRUE
1,5,4,0,7,TRUE
3,3,2,1,1,FALSE
1,8,0,0,1,FALSE
1,15,1,0,1,TRUE
1,9,6,0,4,FALSE
1,1,0,0,4,FALSE
2,9,8,2,13,TRUE
1,2,1,0,8,TRUE
2,3,2,1,1,FALSE
1,1,0,0,4,FALSE
2,6,5,2,15,TRUE
3,2,2,0,1,TRUE
2,11,1,1,3,TRUE
1,5,0,0,4,FALSE
2,13,12,0,1,FALSE
1,3,2,0,7,TRUE
3,8,7,1,2,TRUE
3,16,16,2,1,TRUE
2,16,6,2,4,TRUE
1,10,9,0,1,FALSE
1,5,1,0,4,FALSE
3,10,9,2,7,TRUE
2,6,5,0,5,FALSE
2,14,13,0,9,TRUE
1,2,1,0,1,FALSE
5,3,1,1,1,TRUE
4,8,0,0,0,FALSE
3,6,4,1,1,TRUE
1,2,1,0,0,FALSE
1,4,1,1,7,FALSE
3,11,10,1,3,TRUE
1,2,2,0,2,FALSE
2,4,2,1,2,FALSE
1,15,14,0,4,TRUE
2,2,1,1,1,FALSE
3,4,3,1,6,TRUE
1,5,3,0,2,TRUE
4,6,5,1,1,TRUE
2,2,1,1,1,FALSE
1,1,0,0,0,TRUE
1,2,0,0,1,TRUE
3,4,4,2,2,TRUE
3,5,3,2,1,TRUE
2,10,9,2,2,TRUE
1,11,0,1,5,TRUE
2,9,8,1,1,TRUE
2,12,12,0,6,FALSE
1,1,0,0,5,TRUE
4,1,0,0,0,FALSE
2,7,5,2,3,TRUE
2,6,2,1,4,TRUE
4,3,0,0,0,FALSE
4,2,0,0,0,FALSE
1,7,5,0,1,TRUE
2,4,3,0,1,TRUE
2,4,1,0,0,TRUE
2,14,13,0,1,FALSE
4,6,5,1,4,TRUE
3,10,9,1,2,TRUE
3,7,7,2,6,TRUE
1,4,1,1,6,FALSE
1,7,5,0,1,TRUE
1,0,0,0,2,FALSE
4,8,6,1,1,TRUE
2,3,1,1,1,FALSE
3,10,7,2,7,TRUE
2,4,3,0,4,FALSE
4,3,2,2,3,FALSE
2,8,8,0,1,FALSE
1,2,2,0,3,FALSE
1,0,0,0,6,TRUE
2,13,10,2,7,TRUE
1,4,2,0,1,FALSE
1,6,2,0,1,TRUE
2,10,7,2,9,TRUE
3,7,7,2,6,TRUE
2,3,2,1,2,FALSE
2,7,6,2,6,TRUE
3,8,8,1,3,TRUE
2,9,8,2,4,TRUE
3,4,4,2,1,FALSE
1,8,0,0,1,FALSE
2,5,3,1,4,FALSE
2,10,8,2,5,TRUE
1,2,0,0,1,FALSE
2,12,12,0,3,TRUE
1,2,2,0,1,FALSE
1,3,1,0,3,FALSE
1,4,4,0,5,FALSE
2,4,4,0,3,TRUE
2,7,7,1,1,FALSE
1,5,5,0,1,FALSE
2,10,10,0,1,TRUE
3,4,3,1,1,TRUE
1,7,4,0,5,TRUE
3,4,3,1,1,TRUE
3,3,2,2,2,FALSE
1,2,1,0,1,FALSE
1,4,0,0,5,TRUE
2,5,3,0,2,TRUE
2,3,2,1,2,FALSE
2,6,6,2,3,FALSE
2,11,10,0,5,FALSE
2,4,3,0,3,FALSE
2,2,0,1,3,FALSE
1,4,1,0,1,FALSE
2,4,4,1,1,TRUE
1,1,1,0,8,FALSE
2,9,8,0,8,FALSE
1,7,2,1,4,FALSE
2,3,3,0,1,FALSE
3,4,3,1,1,TRUE
4,2,1,1,2,TRUE
2,6,6,2,3,FALSE
2,3,2,1,1,FALSE
1,4,0,0,2,TRUE
2,5,3,0,2,TRUE
1,2,2,0,2,FALSE
1,3,1,0,7,FALSE
2,3,3,0,4,FALSE
1,5,1,0,2,FALSE
1,6,3,0,3,TRUE
2,4,4,1,1,TRUE
2,4,4,1,1,TRUE
1,5,1,0,1,FALSE
2,4,3,0,1,TRUE
1,7,6,0,4,FALSE
2,8,6,2,5,TRUE
1,1,1,0,3,FALSE
2,9,9,0,3,FALSE
1,6,5,0,1,TRUE
2,4,3,0,1,FALSE
3,8,7,1,2,TRUE
2,2,2,1,2,TRUE
3,3,3,2,1,TRUE
2,4,3,0,1,FALSE
2,5,4,1,1,TRUE
3,3,3,1,1,TRUE
2,10,8,0,1,FALSE
1,4,2,0,2,FALSE
3,5,5,1,1,TRUE
1,4,4,0,2,TRUE
3,3,3,1,1,FALSE
3,4,4,1,1,FALSE
2,10,10,0,1,TRUE
2,5,4,0,1,FALSE
3,4,3,1,1,FALSE
1,4,3,0,2,FALSE
3,7,6,2,6,TRUE
3,7,6,2,6,TRUE
3,7,6,2,6,TRUE
3,7,6,2,6,TRUE
2,2,1,1,1,FALSE
3,3,2,1,1,TRUE
3,5,4,1,1,FALSE
3,4,4,1,1,FALSE
3,3,2,1,1,TRUE
3,3,2,1,1,TRUE
