dit,cbo,lcom,ce,lcom3,loc,moa,ic,cbm,max_cc,buggy
1,10,110,1,0.877193,204,0,1,1,12,FALSE
1.123995,14.022834,2.719335,18.624147,1.295006,297.767808,1.152497,0.272419,2.03804,5,TRUE
1.61201,12.671104,0.266035,12.516443,0.273163,241.520464,1.582393,0.417445,0.623365,8.284708,TRUE
2,5,1,4,2,76,0,2,2,5,FALSE
1,11.078337,104.744584,15.217128,0.869199,283.176365,1,0.406897,0.172513,4.438317,TRUE
2,9.508943,75.087365,11.834828,2,100.516574,0,0.579681,0.356349,1,TRUE
1,12.331817,20.464406,3.733694,0.775492,250.1651,0,0.37503,0.955093,6.74261,TRUE
1,11.358265,136.289567,3,0.82282,307.864502,1.210963,1,1,7,TRUE
1,5,0,4,0.775,254,1,0,0,3,TRUE
1,5,0,4,0.775,254,1,0,0,3,FALSE
1,5,0,4,0.775,254,1,0,0,3,FALSE
2,13,9,13,1.0625,366,4,1,1,4,FALSE
1,17,10,16,0.730159,525,3,0,0,3,FALSE
2,7,1,7,1,125,0,0,0,1,FALSE
2,7,1,7,1,125,0,0,0,1,FALSE
2,2,11,1,0.8,105,4,1,1,3,FALSE
2,2,11,1,0.8,105,4,1,1,3,FALSE
2,2,11,1,0.8,105,4,1,1,3,FALSE
2,2,11,1,0.8,105,4,1,1,3,FALSE
2,2,11,1,0.8,105,4,1,1,3,FALSE
2,2,11,1,0.8,105,4,1,1,3,FALSE
1.868746,6.884759,64.665812,7.554501,1.961304,109.404774,0.179739,0.943392,0.50594,6.287048,TRUE
1,7.798957,13.237673,4.084525,0.746574,254.996454,0.832574,0,0,4.545286,TRUE
3,2,1,2,2,70,0,1,2,3,FALSE
1,2.568942,0.332788,0.203978,0.698124,146.282609,0.459619,1,1,11.17526,TRUE
2,21.122346,0.522366,10.151,0.935763,268.33504,1,1,1.917117,5.089805,TRUE
1,9.899137,9.998431,6.578381,0.667018,239.353098,0.774978,0,0,3.017521,TRUE
2,5,1,4,2,81,0,1,2,2,FALSE
1.921776,15.402782,3.589086,8.157134,1.266674,280.225758,1,0.812469,0.072401,5,TRUE
1,16.29938,5.13995,6.812416,0.769935,254.985779,0.052808,0,0,4.806038,TRUE
1.304236,9.282057,0.279228,10.683561,1.019745,243.200986,1,0.525791,0.258992,6.211912,TRUE
1,5,11,4,0.6,169,0,0,0,4,FALSE
1,20,0,4,0,43,0,0,0,1,FALSE
1.096274,20.58259,7.806214,17.975495,1.18392,400.686127,0.724844,0.163108,2.127547,7.671432,TRUE
1.403066,11.215423,64.637291,2.198388,1.550139,150.376225,0.836129,0.194894,0.492179,5.226013,TRUE
1,17,10,16,0.732143,495,3,0,0,3,FALSE
1,17,10,16,0.732143,495,3,0,0,3,TRUE
1.093506,24,11.593034,23.403397,0.650722,330.632735,1,0.872753,0.373597,3.911687,TRUE
1.813298,20.577663,2.812951,17.627724,0.683045,255.887745,0.445818,0.161886,0.362943,5,TRUE
1.17143,11.750223,72.482315,11.888885,1.582096,116.817184,0.137446,0.497676,0.761524,1.568286,TRUE
1.08841,0.907054,2.986652,3.737145,1.571187,38.918377,0,0.608501,0.488236,0.403636,TRUE
3,8,10,8,1.25,135,0,2,2,1,FALSE
3,8,10,8,1.25,135,0,2,2,1,FALSE
3,8,10,8,1.25,135,0,2,2,1,FALSE
1,22,76,2,0.783333,171,2,1,1,7,FALSE
2,6,51,5,0.836735,183,0,2,2,3,FALSE
2,6,51,5,0.836735,183,0,2,2,3,FALSE
1,11,21,11,0.8,190,4,0,0,3,FALSE
1,11,21,11,0.8,190,4,0,0,3,FALSE
1,17.916033,24.682279,13.014612,1.100797,430.380585,1,0,0,3.298616,TRUE
1,23,36,9,2,207,0,0,0,7,FALSE
2,7,91,7,2,53,0,1,4,1,FALSE
2,7,91,7,2,54,0,1,4,1,FALSE
2,7,91,7,2,54,0,1,4,1,FALSE
2,8,91,8,2,86,0,1,4,1,FALSE
1,21,95,5,0.909091,235,3,1,1,7,FALSE
1,17.100261,25.212195,14.665287,0.785207,531.652594,3,0,0,5.698866,TRUE
1,18,143,3,0.850649,309,2,1,1,7,FALSE
1,18,143,3,0.850649,309,2,1,1,7,TRUE
1,20,36,1,0.795455,122,1,1,1,7,FALSE
1,12,25,11,0.714286,411,0,0,0,5,FALSE
1,12,25,11,0.714286,411,0,0,0,5,FALSE
1,22,36,9,2,207,0,0,0,7,FALSE
1,3,1,3,1,26,1,0,0,0,FALSE
1,3,1,3,1,26,1,0,0,0,FALSE
1,3,1,3,1,26,1,0,0,0,FALSE
