cbo,ce,lcom3,dam,cam,ic,cbm,avg_cc,buggy
16.291966,19.508141,0.73072,0.306227,0.5,0.517706,6.098374,1.340664,TRUE
16,15,0.538462,1,0.333333,0,0,2.1429,FALSE
7,2,0.333333,1,0.666667,1,4,3.5,FALSE
16,2,0.625,1,0.5,1,4,1.8,FALSE
13.816171,14.651897,0.744595,0.230532,0.5,0.026166,8.300308,1.496489,TRUE
21,6,0.535714,1,0.214286,0,0,2.2,FALSE
5,3,0.583333,0.666667,0.583333,1,4,3.4,FALSE
7,6,0.666667,1,0.555556,2,5,1,FALSE
10,1,0.721805,1,0.438596,0,0,2.5,FALSE
19.878084,20.312193,0.604829,0.264375,0.5,0.270731,5.297626,1.440208,TRUE
6,6,1.041667,0.333333,0.375,0,0,0.6,FALSE
6,3,1.066667,1,0.666667,2,5,2.25,FALSE
16.160489,10.798055,1.073149,0.254003,0.508132,1,9,0.75,TRUE
4,3,0.625,1,0.5,2,6,1.8,FALSE
1,1,0.638889,1,0.305556,1,1,2.1,FALSE
14.888334,15.964912,0.661974,0.32945,0.637973,0.03829,2.93972,1.073052,TRUE
8,1,0.625,1,0.25,0,0,1.8,FALSE
14,2,0.666667,1,0.666667,1,4,1.25,FALSE
11.840562,3.405616,0.980803,0.617232,0.661503,1,5.145857,0.871442,TRUE
14.661058,15.723099,0.710503,0.32613,0.48366,0.000231,8.568373,1.04031,TRUE
5,5,0.444444,1,0.395833,0,0,2,FALSE
3,3,0.52381,1,0.47619,0,0,1.5,FALSE
4,3,1.066667,1,0.666667,2,5,1.5,FALSE
18.018575,19.504945,1.052902,0.261102,0.5,1,11,1.631595,TRUE
17,16,1.2,0.2,0.666667,1,9,0.75,TRUE
0,0,2,0,0,0,0,0,FALSE
6.391521,7.398727,0.770748,0.98636,0.666667,1,6.744239,0.75,TRUE
22,21,1.066667,0.222222,0.5,1,11,1.6667,TRUE
6,3,0.65,1,0.34375,1,4,1.4444,FALSE
19.32984,19.752307,1.053048,0.273978,0.5,1,11,1.617897,TRUE
2,2,0.666667,1,0.333333,0,0,0.75,FALSE
2,0,2,0,0,0,0,0,FALSE
14,13,0.545455,1,0.345455,0,0,1.4167,FALSE
0,0,2,0,0,0,0,0,FALSE
18.293175,17.223868,1.195695,0.187435,0.581915,1,9.148326,0.766544,TRUE
0,0,2,0,0,0,0,0,FALSE
0,0,2,0,0,0,0,0,FALSE
0,0,2,0,0,0,0,0,FALSE
0,0,2,0,0,0,0,0,FALSE
23,22,1.145833,0.166667,0.5,1,10,1.2,TRUE
6,2,0.666667,1,0.666667,1,4,1.25,FALSE
10,2,0.5625,1,0.583333,1,4,1.6,TRUE
3,2,0.583333,1,0.666667,1,2,2.2857,FALSE
3,2,0.583333,1,0.666667,1,2,2.2857,FALSE
11.717729,5.597479,1.040374,0.983244,0.663817,1,5.585124,1.047584,TRUE
5.678591,7.669655,0.965298,0.822688,0.666667,1,8.168519,0.75,TRUE
20,19,0.5625,1,0.458333,0,0,1.3333,FALSE
11,10,0.541667,1,0.35,0,0,1.3077,FALSE
14,13,0.545455,1,0.345455,0,0,1.3333,FALSE
6.096813,5.022783,1.04346,0.827994,0.666667,1,8.168412,0.75,TRUE
3,2,0.666667,1,0.666667,1,2,0.75,FALSE
3,2,0.583333,1,0.666667,1,2,2,FALSE
3,2,0.55,1,0.433333,0,0,1.4545,FALSE
5,2,0.666667,1,0.666667,1,2,0.75,TRUE
12,11,0.5625,1,0.458333,0,0,1.7778,FALSE
12,11,0.5625,1,0.458333,0,0,1.7778,FALSE
8.939131,7.506902,1.066667,0.754686,0.666667,1,7.231983,0.896857,TRUE
17,16,1.028571,0.285714,0.5,1,11,1.5,TRUE
