wmc,cbo,npm,loc,max_cc,buggy
3,5,2,40,1,FALSE
7,6,7,104,1,TRUE
4,7,4,123,1,FALSE
4,5,4,117,1,FALSE
3,5,3,101,1,FALSE
3,7,3,68,1,FALSE
5,8,5,136,1,FALSE
9,9,9,247,1,FALSE
3,10,3,61,1,FALSE
5,7,5,245,7,FALSE
14,9,14,326,3,TRUE
2,5,2,31,1,FALSE
14,7,14,274,2,FALSE
3,5,3,101,2,FALSE
3,5,3,101,1,FALSE
10,9,10,68,1,TRUE
3,7,3,123,1,FALSE
3,6,3,107,1,FALSE
6,2,6,34,1,FALSE
6,8,6,156,1,FALSE
2,2,2,6,1,FALSE
12,17,12,414,3,TRUE
2,1,2,13,1,FALSE
3,4,2,65,1,FALSE
11,5,11,86,1,FALSE
9,5,9,49,1,FALSE
5,7,5,109,1,FALSE
4,7,4,127,1,FALSE
2,5,2,20,1,FALSE
8.978743,8.482054,9.106954,269.410102,2.982479,TRUE
13.398563,9,11.085173,296.780061,2.998367,TRUE
11.77902,9.955211,11.684739,282.996485,2.147114,TRUE
