wmc,loc,cam,buggy
3,230,0.666667,FALSE
2,31,0.75,FALSE
5,88,0.8,TRUE
6,225,0.416667,FALSE
8,509,0.291667,TRUE
1,1,1,FALSE
2,2,0.833333,FALSE
5,430,0.6,TRUE
2,81,0.75,FALSE
7,217,0.333333,FALSE
4,48,0.625,FALSE
2,2,0.75,FALSE
2,16,0.666667,FALSE
4,55,0.333333,TRUE
3,172,0.555556,TRUE
4,4,0.666667,FALSE
7,34,0.142857,FALSE
1,5,1,FALSE
4,114,0.5,TRUE
1,1,1,FALSE
2,16,0.666667,FALSE
2,72,1,FALSE
2,16,0.666667,FALSE
2,16,0.666667,FALSE
7,693,0.333333,TRUE
2,2,0.666667,FALSE
3,168,0.666667,FALSE
4,151,0.75,FALSE
1,40,1,FALSE
13,215,0.338462,TRUE
