dit,cbo,rfc,ca,moa,ic,max_cc,buggy
1,2,4,1,0,0,0,FALSE
2,5,66,1,0,0,16,FALSE
2,12,81,4,5,1,3,FALSE
3,3,21,2,1,1,14,FALSE
1,13,60,13,0,0,8,TRUE
1,7,66,1,1,0,6,FALSE
1,2,25,1,0,0,3,FALSE
2,15.415937,65.903873,7.317078,2.82505,1,8.106042,TRUE
2.755534,8.409193,48.300549,0,3.332747,1.710371,1.988618,TRUE
1,3,11,1,0,0,2,FALSE
1,1,22,0,0,0,1,FALSE
1.907809,17,63.091413,2.898057,5,0.172956,4.568545,TRUE
2,3,16,2,5,0,1,FALSE
1.488743,15.581262,82.68233,2.871927,2.474314,0.015759,5.21773,TRUE
2,8,60,1,1,0,2,FALSE
2,10.970802,65.076823,2.140195,3.328381,1,10.975096,TRUE
2,7,28,2,1,1,3,FALSE
2,5,31,0,0,0,5,FALSE
1.14503,18.700368,64.56422,1.29683,1,0.222591,11.719567,TRUE
1,16,74,4,7,0,7,FALSE
2.975131,9.510381,17.133176,0.635335,0,0.69091,3.142675,TRUE
1,17,53,2,1,0,16,TRUE
1,1,9,1,0,0,1,FALSE
1,1.100261,13.195816,1,0,0,9.221588,TRUE
2,7,12,2,0,1,1,FALSE
1,1,3,1,0,0,0,FALSE
1,17,57.927669,2,2.06108,0,15.568043,TRUE
1,17,59,2,5,0,11,TRUE
1.292023,14.84288,96.897148,2.289086,0.690614,0.319296,7.139658,TRUE
1,2,11,0,0,0,2,FALSE
1,9,48,5,5,0,10,TRUE
1,8,0,8,0,0,0,FALSE
3,1,22,1,0,1,14,FALSE
2.389628,17.183633,100.501695,0.542165,2.753408,0.198644,6.052479,TRUE
2.889204,10.470502,27.721245,0.20129,0,1.315697,1,TRUE
1,16,73,2,5,0,3,FALSE
2,17,67,9,5,1,3,TRUE
1,9,34,8,1,0,17,FALSE
1.59554,14.636887,77.616291,7.248589,3.413151,0.754126,9.608251,TRUE
2,5,12,1,0,1,1,FALSE
5,2,7,2,0,0,0,FALSE
5,2,37,0,0,1,12,FALSE
1.834749,17.612616,67.779844,12.323626,4.451695,0.12453,11.475123,TRUE
1.010708,19.227503,81.717081,9.851558,1.464269,0.364799,7.677132,TRUE
1,18,68,13,4,0,13,TRUE
1,15,89,6,5,0,10,TRUE
1,15,16,15,0,0,1,FALSE
2,6,14,1,0,1,1,FALSE
1.864991,5.782682,23.55482,1.608265,0.461345,1.045135,2.153632,TRUE
1,14,71,2,6,0,6,FALSE
1,2,52,1,0,0,18,FALSE
1,17,1,15,0,0,1,FALSE
1,6,17,5,1,0,10,FALSE
1,12.097037,67.917948,9.637043,1.992533,0,8.523437,TRUE
1,16,89,7,1,0,5,FALSE
1,1,15,1,0,0,1,FALSE
1,0,0,0,0,0,0,FALSE
1,0,0,0,0,0,0,FALSE
2,5,8,1,0,0,1,FALSE
1,16,1,15,0,0,1,FALSE
1,6,9,4,2,0,1,FALSE
1,1,0,1,0,0,0,FALSE
1,3,30,0,0,0,15,FALSE
1,5,13,1,1,0,7,FALSE
2,18,83,3,2,1,8,TRUE
1,2,74,0,1,0,6,FALSE
1,3,0,3,0,0,0,FALSE
1,0,17,0,3,0,12,FALSE
1,13,34,13,0,0,3,FALSE
3,5,11,3,0,1,10,FALSE
1,14.664366,19.98923,2.75321,0.152055,0,3,TRUE
1,12.707318,19.512397,1,0.252082,0,2.951712,TRUE
1.322414,10.509353,15.198758,0.698371,0,0.012215,1.776476,TRUE
1,11.76161,45.26952,1.200959,2.897573,0,15.538443,TRUE
2,9,57,0,1,0,2,FALSE
1,14.359575,87.557649,9.719381,1.761892,0,9.537297,TRUE
1.679317,10.29456,66.092125,4.870759,2.562936,0.74946,14.318367,TRUE
1,12,95,5,2,0,12,TRUE
1,2,7,1,4,0,1,FALSE
1,15.097694,56.932969,1.851875,4.819269,0,12.127745,TRUE
2,3,12,2,0,1,1,FALSE
2,9,49,1,0,0,10,FALSE
2,3,25,1,0,1,1,FALSE
1,2,34,2,1,0,1,FALSE
1,11,75,5,1,0,4,FALSE
1,14,16,13,0,0,4,FALSE
1,8,29,4,4,0,2,TRUE
1,5,52,0,1,0,1,FALSE
1.425914,17,61.351243,5.289061,5,0.965501,6.813853,TRUE
1,15.400224,46.200975,2.656531,0,0,1.454714,TRUE
1,7,71,3,2,0,14,FALSE
1,10.174901,51.887426,6.225351,4.127896,0,12.989786,TRUE
3,13,7,13,0,0,1,FALSE
