cbo,ca,npm,dam,mfa,max_cc,buggy
1,1,0,0,0,0,TRUE
4,3,0,0,0,0,TRUE
4,3,0,0,0,0,TRUE
2,2,0,0,0,0,TRUE
6,3,7,0,0,1,TRUE
7,1,1,1,0,1,TRUE
5,2,6,1,0.85,2,TRUE
20,2,6,1,0.888889,9,TRUE
3,2,9,0,0,7,TRUE
4,1,3,1,0.989529,2,TRUE
13,6,1,1,0,6,TRUE
1.280052,1.277089,0,0.180152,0,9.069754,FALSE
3,1,8,1,0.590909,2,TRUE
1.730543,1.019588,0,0.167878,0.344886,6.994584,FALSE
7,0,3,0,0.96,1,TRUE
8,8,4,0.086957,0,1,TRUE
1.474594,1,0,0.306248,0.285621,8.651238,FALSE
8,8,11,0.8,0,4,TRUE
1,0,7,1,0,1,TRUE
3,2,0,0,0,3,TRUE
19,5,4,1,0.949153,4,TRUE
12,0,4,0,0.941176,1,TRUE
5,1,4,0,0.75,1,TRUE
15,1,8,1,0.925532,2,TRUE
3,0,10,1,0.590909,4,TRUE
1,1,1,0,1,0,TRUE
4,2,8,0,0.708333,2,TRUE
17,1,7,1,0.922078,2,TRUE
8,8,1,0,0,1,TRUE
8,8,1,0,0,1,TRUE
2,0,2,0.75,0,1,TRUE
12,5,7,0,0,4,TRUE
7,1,2,0,0.727273,1,TRUE
9,1,4,1,0,1,TRUE
2,1,6,0,1,0,TRUE
21,2,4,1,0.933333,4,TRUE
14,4,4,1,0.947368,1,TRUE
7,3,2,0,0,1,TRUE
14,0,7,0.444444,0.922078,3,TRUE
16,2,4,1,0,5,TRUE
4,4,13,1,0,2,TRUE
11,1,7,1,0.958333,1,TRUE
4,1,3,1,0,6,TRUE
10,2,2,1,0,1,TRUE
0,0,12,1,0,2,TRUE
3,2,0,1,0,1,TRUE
2,2,2,0,0,0,TRUE
5,1,0,0,0,4,TRUE
13,1,7,0.5,0.5,1,TRUE
1.745427,1.127443,0,0.151295,0.351269,7.451196,FALSE
4,0,9,1,0.619048,3,TRUE
11,7,9,1,0,3,TRUE
1,1,11,1,0,4,TRUE
1.447899,1,0,0.488753,0.36436,8.135672,FALSE
8,3,5,0.5,0,4,TRUE
1.787422,1,0,0.289927,0.387808,7.103251,FALSE
9,1,2,1,0.923077,4,TRUE
18,1,6,1,0.9,5,TRUE
5,0,2,0,0.984615,1,TRUE
2,0,9,1,0,3,TRUE
9,0,3,0,0.96,1,TRUE
3,0,10,1,0.590909,2,TRUE
6,5,3,0,0,0,TRUE
2,1,1,0,1,0,TRUE
10,1,1,0,0.990566,1,TRUE
9,1,5,0.5,0.904762,8,TRUE
19,1,3,0,0.949153,5,TRUE
7,7,2,0,0,1,TRUE
1,0,1,0,1,0,TRUE
7,2,2,1,0.954545,1,TRUE
3,2,5,1,0,3,TRUE
17,0,5,1,0.903226,3,TRUE
6,2,5,0,0,1,TRUE
1.52601,1.150854,0,0.053488,0.337545,6.350129,FALSE
1.537568,1.892196,0,0.110671,0,7.262188,FALSE
3,3,6,1,0,3,TRUE
9,3,4,0.75,0.986364,1,TRUE
8,0,3,0,0.955224,1,TRUE
3,2,11,0.5,0.583333,3,TRUE
4,4,5,0,0,0,TRUE
4,2,8,1,0.722222,4,TRUE
5,4,3,0,0,1,TRUE
3,1,10,1,0.590909,2,TRUE
6,1,8,1,0.65,6,TRUE
8,1,3,0,0.990868,1,TRUE
4,3,6,0,0,7,TRUE
1,1,5,0,0.888889,4,TRUE
15,3,6,1,0.903226,5,TRUE
2,1,8,1,0.932692,5,TRUE
5,0,2,0,0.982143,1,TRUE
13,0,7,1,0.922078,1,TRUE
5,5,3,0.5,0.944444,1,TRUE
9,2,4,1,0.978723,2,TRUE
1.845395,1,0,0.215779,0.375577,6.825483,FALSE
6,6,1,0,0,1,TRUE
2,2,3,0,0.95,5,TRUE
0,0,4,0,0.963855,1,TRUE
17,3,4,1,0.933333,5,TRUE
6,0,3,0,0,6,TRUE
1.702616,1.04976,0,0.162925,0.031205,7.242567,FALSE
10,0,3,0,0.99,1,TRUE
9,0,3,0,0.99,1,TRUE
9,0,3,0,0.99,1,TRUE
8,1,4,1,0.8,3,TRUE
4,4,3,1,0,3,TRUE
5,1,3,0,0.976563,4,TRUE
2.04525,1,1.710092,0.961091,0.049361,3.243794,FALSE
16,3,10,0.75,0.951456,4,TRUE
11,0,4,1,0.959459,1,TRUE
11,0,4,1,0.959459,1,TRUE
4,3,6,0.5,0.975124,3,TRUE
1.194882,1.199456,0.474797,0.176922,0,6.196324,FALSE
4,2,3,0.5,0.986486,1,TRUE
2.110844,1,0,0.045017,0.375471,6.627483,FALSE
1,0,2,1,0,2,TRUE
0,0,2,1,0,1,TRUE
1,0,3,0,0.989899,1,TRUE
8,3,4,0,0.976563,4,TRUE
6,6,5,0,0,1,TRUE
7,3,2,0.333333,0.904762,2,TRUE
1.259831,1,0.424228,0.29604,0.352393,5.95634,FALSE
